scenario_id,method,action,candidate_id,sample,time,ax,ay,az,record_basis
required09_test_000,adaptive_rollout_adp,1,cand_0005,37,114.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,38,117.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,39,120.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,40,123.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,41,126.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,42,129.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,43,132.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,44,135.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,45,138.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,46,141.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,47,144.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,48,147.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,1,cand_0005,49,150.0,5.458954939813855e-05,0.0,1.9880939039036497e-05,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,0,153.0,-0.026011419425760168,0.02804890804422496,0.002677211442081444,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,1,156.0,-0.024152449485350336,0.02616764404293969,0.002494246229788349,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,2,159.0,-0.02230712740843044,0.024273807292193743,0.0023112522840194167,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,3,162.0,-0.02047547445293272,0.022367490508653567,0.002128231712847245,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,4,165.0,-0.018657511719322437,0.020448786552754342,0.001945186624651147,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,5,168.0,-0.016853260150354814,0.018517788427630306,0.0017621191280928726,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,6,171.0,-0.015062740530833792,0.016574589278043325,0.0015790313320923131,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,7,174.0,-0.013285973487372578,0.014619282389309905,0.0013959253458032082,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,8,177.0,-0.011522979488156027,0.01265196118622653,0.0012128032785888474,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,9,180.0,-0.009773778842704852,0.010672719231993418,0.00102966723999777,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,10,183.0,-0.008038391701641672,0.008681650227136713,0.000846519339739467,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,11,186.0,-0.006316838056458853,0.0066788480084290155,0.000663361687660072,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,12,189.0,-0.004609137739288236,0.00466440654780843,0.00048019639371805947,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,13,192.0,-0.0029153104226726516,0.0026384199512959955,0.0002970255679599367,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,14,195.0,-0.0012353756193393137,0.000600982457911615,0.00011385132049593913,planned_command_not_execution
required09_test_000,adaptive_rollout_adp,2,cand_0000,15,198.0,0.00043064731802498215,-0.0014478115614115835,-6.932423852428274e-05,planned_command_not_execution
