method,time,rx,ry,rz,vx,vy,vz,ax,ay,az
certified_graph_search,5.0,0.4044522074962542,-34.776843697696506,9.889852433955692,0.16194991536610454,0.08895714717428145,-0.04405890892754424,0.03228847700841104,0.017974462931072542,-0.008799028876531364
certified_graph_search,10.0,1.5740671987744002,-34.14089532848893,9.57235169944104,0.3060434945151641,0.16515049677808563,-0.08294104621372916,0.02852735133680072,0.015767975280239092,-0.007763951002058612
certified_graph_search,15.0,3.418966698265389,-33.154933118973084,9.073387939774657,0.4320425978790723,0.22899680235144065,-0.11664392542970158,0.024744241809122144,0.013604164223866115,-0.006728624683659297
certified_graph_search,20.0,5.848090737208178,-31.879641725983696,8.41886290198976,0.5397126913480688,0.28091673146027724,-0.1451653915308521,0.020939269483659404,0.011483277795825232,-0.005693083051441502
certified_graph_search,25.0,8.769215743509536,-30.37359278584807,7.634688279649999,0.6288228712657232,0.321334817896029,-0.16850362096022545,0.017112556118298983,0.009405562656413815,-0.004657359242403273
certified_graph_search,30.0,12.08897275604534,-28.693225703445364,6.746784055188015,0.6991458892103419,0.3506794135541899,-0.18665712173602172,0.013264224166633655,0.007371264084461921,-0.003621486399372263
certified_graph_search,35.0,15.712865762332102,-26.89282868267007,5.781076841846273,0.7504581765614461,0.3693826399944732,-0.19962473352318422,0.00939439677404398,0.005380625969483468,-0.002585497669945161
certified_graph_search,40.0,19.54529015849073,-25.024519999885094,4.763498225299745,0.7825398688499834,0.37788033968523393,-0.20740562768907142,0.005503197773757696,0.0034338908038718426,-0.0015494262054269875
certified_graph_search,45.0,23.489551330417854,-23.138229521936353,3.719983105040024,0.7951748298909425,0.3766120269348328,-0.20999930734321037,0.0015907516828870746,0.0015312996751402053,-0.0005133051597702547
certified_graph_search,50.0,27.447883355073447,-21.28168047028754,2.676468035600476,0.7881506756970513,0.36602083851263495,-0.2074056073611298,-0.002342816301555555,-0.00032690774179319976,0.0005228323114859421
certified_graph_search,55.0,31.321467820786868,-19.500371432820042,1.6588895677020317,0.7612587981722511,0.3465534839623543,-0.19962469439227226,-0.0062973803066640995,-0.002140493192274594,0.0015589530522768947
certified_graph_search,60.0,35.01045276547695,-17.837558624829505,0.6931825893992126,0.7142943885836448,0.31866019561046977,-0.18665706685198435,-0.010272813787666564,-0.003909219849538719,0.0025950239070732673
certified_graph_search,65.0,38.41397173167531,-16.334238400736844,-0.19472133269398262,0.6470564608106347,0.28279467827245464,-0.16850355489758614,-0.014268989531974478,-0.005632852322287229,0.003631011721942052
certified_graph_search,70.0,41.430162937235586,-15.029130018017723,-0.9788956120187419,0.5593478743699676,0.23941405865957754,-0.14516532038852015,-0.018285779663253614,-0.007311156662221127,0.0046668833456075
certified_graph_search,75.0,43.95618856060499,-13.958658654840743,-1.6334203004470504,0.4509753572154221,0.18897883448904806,-0.11664385683058189,-0.022323055645516045,-0.008943900371527043,0.005702605630511937
certified_graph_search,80.0,45.88825413952824,-13.156938682890624,-2.1323837463386632,0.3217495283108799,0.1319528233002958,-0.08294098930423435,-0.026380688287233205,-0.010530852410317072,0.006738145433876486
certified_graph_search,85.0,47.12162808204768,-12.655757196838731,-2.4498842521998676,0.17148491997553433,0.0688031109801873,-0.04405887437700945,-0.030458547745469983,-0.012071783204022005,0.007773469618761617
certified_graph_search,90.0,47.5506612886571,-12.484557801909197,-2.560031731864475,-8.326672684688674e-17,-1.8041124150158794e-16,-7.632783294297951e-17,-0.0345565035300397,-0.01356646465073761,0.008808545055127525
certified_graph_search,95.0,47.45499612634599,-12.355264701756802,-2.209889446417051,-0.03816871699875746,0.051789211222128,0.1400565406956466,-0.007874725139006986,0.01031454929460516,0.02800818071615224
certified_graph_search,100.0,47.18161732069471,-11.980870409123938,-1.2006030354330008,-0.0710964870318089,0.09803059463116781,0.2636569471349006,-0.006936738527646253,0.009124560016000816,0.02471783266930192
certified_graph_search,105.0,46.756386164019766,-11.389392652184501,0.3855268354260397,-0.09892081398350078,0.13861297386188642,0.3707933093523915,-0.006012940821797157,0.007924038905848328,0.021426693659782853
certified_graph_search,110.0,46.20447416775062,-10.609399134514277,2.4661625841187202,-0.1217801040734815,0.17342753682022322,0.46145877080097364,-0.00510336158268817,0.006713146660344638,0.01813486900298129
certified_graph_search,115.0,45.550358590242354,-9.669995684213713,4.958934980151899,-0.139813650053149,0.20236784746202224,0.5356475286808351,-0.004208029916561413,0.005492044307559658,0.01484246403622393
certified_graph_search,120.0,44.817818043735535,-8.600814344648963,7.78144841402771,-0.15316161535044498,0.22532985736691102,0.5933548342180339,-0.0033269744737412683,0.004260893202283431,0.011549584115407227
certified_graph_search,125.0,44.02992818071935,-7.432001407836998,10.851286167956836,-0.1619650181638679,0.24221191710669465,0.6345769928924483,-0.0024602234477175814,0.003019855020862861,0.008256334611625987
certified_graph_search,130.0,43.20905745994984,-6.194205391503784,14.086015687585064,-0.16636571550657922,0.25291478740764356,0.659311364615133,-0.0016078045742434757,0.001769091756028076,0.004962820907801577
certified_graph_search,135.0,42.37686299237045,-4.918564960847585,17.403193854480108,-0.1665063872014793,0.2573416501060651,0.6675563638550722,-0.0007697451304478162,0.0005087657117087407,0.0016691483953096622
certified_graph_search,140.0,41.55428646717797,-3.6366967960424565,20.720372259125682,-0.16253051982813274,0.255398118896559,0.6593114597153253,5.3928066037640596e-05,-0.000760960502159614,-0.0016245775293922474
certified_graph_search,145.0,40.76155015827233,-2.380683406520011,23.95510247416977,-0.1545823906224235,0.24699224987236867,0.6345771759585612,0.0008631886579364193,-0.002039923974839076,-0.004918251468137489
certified_graph_search,150.0,40.01815301132442,-1.1830608930704167,27.024941327674046,-0.1428070513298241,0.23203455185724942,0.5933550909819804,0.0016580107491707347,-0.0033279615000024244,-0.008211768024422916
certified_graph_search,155.0,39.342866811691685,-0.07680665880645665,29.84745617611137,-0.12735031201316424,0.21043799652828732,0.5356478377416257,0.0024383689056901633,-0.004624909580955695,-0.01150502180678159
certified_graph_search,160.0,38.753732433406704,0.9046729299626979,32.340230176858306,-0.1083587248157863,0.18211802832911228,0.46145910362608605,0.0032042381562855265,-0.005930604435870007,-0.014797907432155229
certified_graph_search,165.0,38.26805616945966,1.727554931898607,34.42086755992969,-0.08597956768097813,0.14699257417295974,0.3707936302795962,0.003955593993387957,-0.007244882003022537,-0.01809031952926647
certified_graph_search,170.0,37.902406143591094,2.3576122667894794,36.00699889870214,-0.06036082802857455,0.10498205293504692,0.26365721337454295,0.004692412373853139,-0.008567577946046446,-0.021382152741990706
certified_graph_search,175.0,37.67260880380678,2.760226198640146,37.01628637937371,-0.031651186389621735,0.05600938473374006,0.140056702333385,0.0054146697197306765,-0.009898527659189572,-0.02467330173272743
certified_graph_search,180.0,37.593745497822276,2.900398864638758,37.36642906890661,-6.245004513516506e-17,-7.632783294297951e-17,0.0,0.006122342919018582,-0.011237566272581784,-0.027963661185771028
set_cover_cw_tour,5.0,0.4044522074962542,-34.776843697696506,9.889852433955692,0.16194991536610454,0.08895714717428145,-0.04405890892754424,0.03228847700841104,0.017974462931072542,-0.008799028876531364
set_cover_cw_tour,10.0,1.5740671987744002,-34.14089532848893,9.57235169944104,0.3060434945151641,0.16515049677808563,-0.08294104621372916,0.02852735133680072,0.015767975280239092,-0.007763951002058612
