method,time,rx,ry,rz,vx,vy,vz,ax,ay,az
set_cover_cw_tour,2.0,0.001555728518143065,-35.00259424345843,10.007970511570665,0.0015537729326839068,-0.00259541538251766,0.00797050816993689,0.0007798195143124483,-0.0012959475918913313,0.003998057390745303
set_cover_cw_tour,4.0,0.005956806695678534,-35.00996653622087,10.030593971897808,0.002845664788378818,-0.0047778517817440025,0.014652942504603418,0.0006542730968832212,-0.0010862389665231727,0.0033540403278938193
set_cover_cw_tour,6.0,0.012718623852757373,-35.02134822603776,10.065476845015635,0.003914783176169409,-0.006604644411392896,0.020229915729979384,0.0005474008858856001,-0.0009057462203751131,0.002801346812858782
set_cover_cw_tour,8.0,0.021429051415783953,-35.03607755562373,10.110565437858279,0.004794508553856249,-0.008125348702259286,0.02485865787501416,0.0004564619611366897,-0.0007504974581496925,0.0023272826563344442
set_cover_cw_tour,10.0,0.03173782314119234,-35.05358515216651,10.164098651520451,0.0055133279489743454,-0.00938279000582213,0.028674532946498674,0.00037911558887132114,-0.0006170576512116066,0.0019209124104575459
set_cover_cw_tour,12.0,0.04334746176254198,-35.07338147509766,10.224567278913005,0.006095547769600283,-0.01041397206120017,0.03179406864630963,0.0003133630198815468,-0.0005024562696923511,0.0015728158338090474
set_cover_cw_tour,14.0,0.056005527733741296,-35.09504595859555,10.290678942321183,0.006561903183593955,-0.011250863182512593,0.034317566554444956,0.0002574977233343921,-0.00040412464691718807,0.0012748780759101277
set_cover_cw_tour,16.0,0.06949799817723824,-35.11821762066921,10.36132788988501,0.00693007902561518,-0.011921076585609574,0.03633135086606596,0.00021006283743793888,-0.0003198417704138851,0.00102010891253276
set_cover_cw_tour,18.0,0.08364361190583916,-35.14258694131188,10.435568978155098,0.007215155034091537,-0.012448459073958766,0.03790970572807358,0.0001698147937214434,-0.0002476873685071947,0.0008024870095520178
set_cover_cw_tour,20.0,0.09828904014275458,-35.167888838748645,10.512595261039078,0.0074299863733658655,-0.012853600398079212,0.039116544291616685,0.00013569222206045398,-0.00018600131292512362,0.0006168257499753371
set_cover_cw_tour,22.0,0.11330476289242661,-35.19389659578192,10.59171868571694,0.007585528815022062,-0.013154273952169063,0.040006846627181104,0.00010678937232897541,-0.00013334848904607809,0.0004586576385847054
set_cover_cw_tour,24.0,0.12858154830794705,-35.22041660813667,10.67235346525373,0.007691116598746028,-0.013365818041540583,0.04062789850570687,8.233339879674202e-05,-8.848839909226863e-05,0.00032413471199726216
set_cover_cw_tour,26.0,0.14402744728191036,-35.24728384393665,10.754001757213855,0.007754699834353044,-0.01350146571572646,0.0410203586180873,6.166494776640844e-05,-5.0348862058751396e-05,0.000209942738085769
set_cover_cw_tour,28.0,0.15956522821818023,-35.27435791836059,10.836241328908374,0.007783047314810632,-0.013572630089139066,0.04121917798782192,4.422156973867659e-05,-1.8003259483894817e-05,0.00011322729552723423
set_cover_cw_tour,30.0,0.1751301878321302,-35.30151970044201,10.91871493412724,0.007781919761224606,-0.01358915114182658,0.0412543920425809,2.9523546553053516e-05,9.349149928268444e-06,3.1530088592849736e-05
set_cover_cw_tour,32.0,0.1906682831417696,-35.32866838015739,11.001121164306344,0.007756217794289984,-0.01355950918799769,0.04115180297680896,1.7161783148775668e-05,3.240025980840106e-05,-3.7265919962961146e-05
