method,sequence,candidate_id,viewpoint_x,viewpoint_y,viewpoint_z,boresight_x,boresight_y,boresight_z,yaw_rad,pitch_rad,qx,qy,qz,qw,new_target_count,cumulative_coverage
set_cover_cw_tour,0,cand_0350,0.9747743928905603,-36.619934489864164,14.997571738431628,-4.2982157326200615e-07,0.9238797929064162,-0.38268280371479035,1.5707967920302839,0.3926984012526393,-0.1379494857794855,0.13794942160051793,0.6935201309196937,0.6935198082696622,12,0.06666666666666667
set_cover_cw_tour,1,cand_0016,-14.596743045700334,-25.780527945854118,24.59290011897844,5.3809341975649846e-08,0.7345050544451805,-0.6786032161686825,1.570796253535575,0.7458592932773431,-0.2576309987680238,0.2576310176418967,0.6585030234130516,0.6585030716545379,5,0.09444444444444444
set_cover_cw_tour,2,cand_0162,5.20494117842263,-29.399625542958884,35.7544967543118,-0.0023203779298507313,0.8665522758851995,-0.49908092430430934,1.573474032974468,0.522537843124914,-0.18289473920646068,0.18240565535227365,0.6840236588455351,0.6821944923595289,9,0.14444444444444443
set_cover_cw_tour,3,cand_0143,6.215553840588,-8.435062455742827,57.036025946304136,1.3699762655599805e-05,0.5553277891124658,-0.8316315569119398,1.5707716571080532,0.9820392604562851,-0.33341462205276956,0.3334228473885431,0.6235562163574255,0.6235715994837615,13,0.21666666666666667
set_cover_cw_tour,4,cand_0049,-7.045264923198928,5.883516855980156,50.12560193454411,0.08715622115438798,3.3702496223873913e-07,-0.9961946562364072,3.866906547497687e-06,1.48352938396035,-0.5213338386801497,0.4777142040758118,0.47771437977835635,0.521333999681791,2,0.22777777777777777
set_cover_cw_tour,5,cand_0121,6.228394759787885,39.70554988149035,50.64770695455147,1.1917322357443204e-06,-0.9999999986642212,-5.1673372374197285e-05,-1.5707951350626592,5.167337239719312e-05,1.8269285126326196e-05,1.8269306898435207e-05,-0.7071063596094399,0.707107202291386,14,0.3055555555555556
set_cover_cw_tour,6,cand_0108,-5.0987407723577105,46.57470631682915,50.22344983842683,7.710369600355008e-07,-0.9999999944565873,-0.00010529117137501146,-1.5707955557579323,0.00010529117156955852,3.72260363394265e-05,3.7226065042087614e-05,-0.7071065076038686,0.7071070528093341,12,0.37222222222222223
set_cover_cw_tour,7,cand_0110,-22.96949392665867,46.57470453945264,50.22343795525263,-3.087984894245025e-11,-0.9999999944704346,-0.00010516240181195661,-1.5707963268257765,0.00010516240200579074,3.71805237755216e-05,3.718052377437346e-05,-0.707106780219967,0.7071067801981316,1,0.37777777777777777
set_cover_cw_tour,8,cand_0054,13.21589837372303,48.03019804194512,33.79690906869484,0.0,-0.9999999944704525,-0.00010516223148538897,-1.5707963267948966,0.00010516223167922216,3.718046355541178e-05,3.718046355541178e-05,-0.7071067802090524,0.7071067802090524,10,0.43333333333333335
set_cover_cw_tour,9,cand_0163,-7.097221879659249,37.171116282966615,15.713141910503165,0.37523440197981317,-0.9269299561286201,1.4988181094675297e-06,-1.186146685311178,-1.4988181094680908e-06,-4.188538311008184e-07,-6.214301243820075e-07,-0.5589121567918408,0.8292268694330468,4,0.45555555555555555
set_cover_cw_tour,10,cand_0308,35.755323414717424,34.49044165648442,4.498457471144148,-0.7524475575892298,-0.658652163951506,-3.0561854634316073e-08,-2.4225665693106753,3.056185463431608e-08,-1.4303990974886837e-08,-5.376112151231847e-09,0.9360682554144302,-0.35181844921121586,12,0.5222222222222223
set_cover_cw_tour,11,cand_0242,30.85118206313429,46.61557093919158,-33.79687488906741,-1.5402071152861717e-10,-0.9999999944975095,0.00010490462731755063,-1.5707963269489174,-0.00010490462750996287,-3.708938673092107e-05,-3.708938672520852e-05,-0.7071067802682899,0.707106780159381,20,0.6333333333333333
set_cover_cw_tour,12,cand_0262,4.873724918775352,49.79132385068917,-38.62367541313248,-0.003010435866282864,-0.9999954686121768,5.568464615296739e-06,-1.5738067672083695,-5.5684646153255175e-06,-1.9717107153372327e-06,-1.96578391438057e-06,-0.708170331155773,0.7060416291288857,13,0.7055555555555556
