method,sequence,candidate_id,viewpoint_x,viewpoint_y,viewpoint_z,new_target_count,cumulative_coverage,score,transfer_delta_v,transfer_min_clearance,transfer_tracking_error,transfer_dynamic_cost,coverage_gain_area,coverage_per_delta_v,transfer_feasible
set_cover_cw_tour,0,cand_0350,0.9747743928905603,-36.619934489864164,14.997571738431628,12,0.06666666666666667,65.62505527989721,0.05928555511649011,23.797561869667412,4.022345831517532,1.0204500252556064,1157.164961735165,19518.497540614288,True
set_cover_cw_tour,1,cand_0016,-14.596743045700334,-25.780527945854118,24.59290011897844,5,0.09444444444444444,23.554487128533655,0.2410275570854142,24.48296783985499,16.295902104512333,4.138400164239291,482.1520673896521,2000.4022495186694,True
set_cover_cw_tour,2,cand_0162,5.20494117842263,-29.399625542958884,35.7544967543118,9,0.14444444444444443,45.7812027727821,0.26921007738875186,24.494505099892084,15.709784588314452,4.17381161284036,867.8737213013737,3223.7787296800325,True
set_cover_cw_tour,3,cand_0143,6.215553840588,-8.435062455742827,57.036025946304136,13,0.21666666666666667,65.43821001958752,0.3515603756797361,29.287792163419727,26.888853499578843,6.597795508322872,1253.5953752130954,3565.803947015615,True
set_cover_cw_tour,4,cand_0049,-7.045264923198928,5.883516855980156,50.12560193454411,2,0.22777777777777777,6.051798044063805,0.28566180630946236,29.629031897585534,19.583329209047278,4.953308289175822,192.86082695586083,675.136902085298,True
set_cover_cw_tour,5,cand_0121,6.228394759787885,39.70554988149035,50.64770695455147,14,0.3055555555555556,69.48693927343854,0.4044111709683747,29.575712337619443,33.36596910232867,8.027930293261033,1350.0257886910258,3338.250487636997,True
set_cover_cw_tour,6,cand_0108,-5.0987407723577105,46.57470631682915,50.22344983842683,12,0.37222222222222223,61.786493513699924,0.23863727483041808,35.87567202726082,19.628120268225388,4.72624802243266,1157.164961735165,4849.0537052833715,True
set_cover_cw_tour,7,cand_0110,-22.96949392665867,46.57470453945264,50.22343795525263,1,0.37777777777777777,1.0075063748947213,0.24365421781259913,46.4349483089878,17.867161547052188,4.43436016753239,96.43041347793041,395.7674705721597,True
set_cover_cw_tour,8,cand_0054,13.21589837372303,48.03019804194512,33.79690906869484,10,0.43333333333333335,48.81951341597411,0.44049721514332835,49.70753558967631,24.870266395040705,6.679134026823968,964.3041347793041,2189.1265180088376,True
set_cover_cw_tour,9,cand_0163,-7.097221879659249,37.171116282966615,15.713141910503165,4,0.45555555555555555,16.613712678244653,0.3539438083581493,38.01928704721817,20.96367155272486,5.543179921281221,385.72165391172166,1089.7821767273774,True
set_cover_cw_tour,10,cand_0308,35.755323414717424,34.49044165648442,4.498457471144148,12,0.5222222222222223,57.661660586197655,0.510146583996053,28.754235307701816,34.82209872242401,8.818710690016585,1157.164961735165,2268.2989517854303,True
set_cover_cw_tour,11,cand_0242,30.85118206313429,46.61557093919158,-33.79687488906741,20,0.6333333333333333,101.57151861227443,0.49314633393838747,28.472893358398426,37.83503581541566,9.276038116466754,1928.6082695586083,3910.823495647367,True
set_cover_cw_tour,12,cand_0262,4.873724918775352,49.79132385068917,-38.62367541313248,13,0.7055555555555556,65.68821546787638,0.3689275180238399,35.60429296358318,25.291483411252507,6.39710460414465,1253.5953752130954,3397.944891527687,True
set_cover_cw_tour,13,cand_0212,-6.504154582846726,48.06838415390501,-50.223446252734206,5,0.7333333333333333,22.46214607296973,0.21329558354327158,43.24622106010609,22.312246853174795,5.082682351287821,482.1520673896521,2260.487814047201,True
set_cover_cw_tour,14,cand_0186,18.448438283205032,46.61339219602971,-56.18041844964068,3,0.75,12.081373695930399,0.3101393738918119,51.973385208574676,16.7236773758451,4.560958797111177,289.29124043379124,932.7781790605753,True
set_cover_cw_tour,15,cand_0334,5.8899579990705435,17.100434236679217,-41.0055803164055,17,0.8444444444444444,88.0068824083902,0.39530278484957027,45.590480912274224,24.2817544832798,6.347229731238215,1639.317029124817,4146.990843357321,True
set_cover_cw_tour,16,cand_0277,6.335760291887705,9.894038962647318,-61.759992976337664,4,0.8666666666666667,17.16956309109951,0.28528316548601884,44.25076040675108,19.557632345893172,4.946789649690865,385.72165391172166,1352.0659491231884,True
set_cover_cw_tour,17,cand_0022,-24.98787832630346,4.123517627069733,-32.37328951367099,6,0.9,25.05202719531241,0.479295838840068,34.674603565175545,31.820613913303273,8.124189698594929,578.5824808675825,1207.1510619991936,True
