time,ax_nom,ay_nom,az_nom,ax_safe,ay_safe,az_safe,control_norm,acceleration_norm,delta_v_increment,cumulative_delta_v,is_saturated
0.19108591400000002,-0.0197790170225661,-0.003435267293105791,0.007770898208969823,-0.0197790170225661,-0.003435267293105791,0.007770898208969823,0.02152666798945467,0.02152666798945467,0.0,0.0,False
0.241553433,-0.019467451762184874,-0.0033812019726864916,0.007648702230403791,-0.019467451762184874,-0.0033812019726864916,0.007648702230403791,0.021187657980590444,0.021187657980590444,0.0010692885317009496,0.0010692885317009496,False
0.29089101300000003,-0.019159890525710724,-0.0033278615378829965,0.00752807859244229,-0.019159890525710724,-0.0033278615378829965,0.00752807859244229,0.02085301020635938,0.02085301020635938,0.0010288370592970728,0.0020981255909980224,False
0.34169697200000004,-0.018856284460831645,-0.0032752366648503015,0.007409008079685445,-0.018856284460831645,-0.0032752366648503015,0.007409008079685445,0.0205226713564152,0.0205226713564152,0.0010426739995045052,0.0031407995905025276,False
0.391890773,-0.018556585302030686,-0.003223318148039953,0.007291471707974081,-0.018556585302030686,-0.003223318148039953,0.007291471707974081,0.020196588762046216,0.020196588762046216,0.0010137435572009838,0.004154543147703511,False
0.44139910600000004,-0.018260745363572542,-0.0031720968987079398,0.007175450721620359,-0.018260745363572542,-0.0031720968987079398,0.007175450721620359,0.01987471038849197,0.01987471038849197,0.0009839637801920202,0.005138506927895531,False
0.49193012500000005,-0.01796871753257384,-0.003121563943441515,0.007060926590671383,-0.01796871753257384,-0.003121563943441515,0.007060926590671383,0.01955698482735186,0.01955698482735186,0.0009882343718936287,0.00612674129978916,False
0.541298524,-0.017680455262156107,-0.003071710422704487,0.0069478810082056475,-0.017680455262156107,-0.003071710422704487,0.0069478810082056475,0.0192433612890846,0.0192433612890846,0.000950013938220682,0.007076755238009842,False
0.59240433,-0.01739591256468041,-0.003022527589400954,0.006836295887661719,-0.01739591256468041,-0.003022527589400954,0.006836295887661719,0.0189337895955975,0.0189337895955975,0.0009676265779174249,0.008044381815927266,False
0.6416695640000001,-0.01711504400506278,-0.002974006807456786,0.006726153360198967,-0.01711504400506278,-0.002974006807456786,0.006726153360198967,0.01862822017292448,0.01862822017292448,0.0009177236258226459,0.008962105441749912,False
