time,minimum_distance,safety_margin,clearance,is_safe,in_caution_zone,nearest_primitive,filter_active,filter_reason,ax_nom,ay_nom,az_nom,ax_safe,ay_safe,az_safe
1788926638.0239654,25.792359897723177,2.0,22.992359897723176,True,False,module_2,False,pass_through,-0.0197790170225661,-0.003435267293105791,0.007770898208969823,-0.0197790170225661,-0.003435267293105791,0.007770898208969823
1788926638.0736883,25.792367225061053,2.0,22.992367225061052,True,False,module_2,False,pass_through,-0.019467451762184874,-0.0033812019726864916,0.007648702230403791,-0.019467451762184874,-0.0033812019726864916,0.007648702230403791
1788926638.1233206,25.792389220546113,2.0,22.992389220546112,True,False,module_2,False,pass_through,-0.019159890525710724,-0.0033278615378829965,0.00752807859244229,-0.019159890525710724,-0.0033278615378829965,0.00752807859244229
1788926638.1739194,25.79242564773143,2.0,22.99242564773143,True,False,module_2,False,pass_through,-0.018856284460831645,-0.0032752366648503015,0.007409008079685445,-0.018856284460831645,-0.0032752366648503015,0.007409008079685445
1788926638.223956,25.792476273318933,2.0,22.992476273318932,True,False,module_2,False,pass_through,-0.018556585302030686,-0.003223318148039953,0.007291471707974081,-0.018556585302030686,-0.003223318148039953,0.007291471707974081
1788926638.2735455,25.79254086711885,2.0,22.992540867118848,True,False,module_2,False,pass_through,-0.018260745363572542,-0.0031720968987079398,0.007175450721620359,-0.018260745363572542,-0.0031720968987079398,0.007175450721620359
1788926638.3242054,25.792619202009742,2.0,22.99261920200974,True,False,module_2,False,pass_through,-0.01796871753257384,-0.003121563943441515,0.007060926590671383,-0.01796871753257384,-0.003121563943441515,0.007060926590671383
1788926638.373658,25.79271105389901,2.0,22.992711053899008,True,False,module_2,False,pass_through,-0.017680455262156107,-0.003071710422704487,0.0069478810082056475,-0.017680455262156107,-0.003071710422704487,0.0069478810082056475
1788926638.4248102,25.792816201683937,2.0,22.992816201683937,True,False,module_2,False,pass_through,-0.01739591256468041,-0.003022527589400954,0.006836295887661719,-0.01739591256468041,-0.003022527589400954,0.006836295887661719
1788926638.4737988,25.79293442721323,2.0,22.99293442721323,True,False,module_2,False,pass_through,-0.01711504400506278,-0.002974006807456786,0.006726153360198967,-0.01711504400506278,-0.002974006807456786,0.006726153360198967
1788926638.5237477,25.793065515249086,2.0,22.993065515249086,True,False,module_2,False,pass_through,-0.01683780469416936,-0.002926139550418826,0.006617435772089712,-0.01683780469416936,-0.002926139550418826,0.006617435772089712
1788926638.573793,25.793209253429723,2.0,22.993209253429722,True,False,module_2,False,pass_through,-0.016564150282290364,-0.0028789174000722942,0.006510125682142723,-0.016564150282290364,-0.0028789174000722942,0.006510125682142723
1788926638.6241987,25.793365432232388,2.0,22.993365432232387,True,False,module_2,False,pass_through,-0.016294036952691937,-0.002832332045075329,0.006404205859157445,-0.016294036952691937,-0.002832332045075329,0.006404205859157445
1788926638.6750197,25.79353384493691,2.0,22.99353384493691,True,False,module_2,False,pass_through,-0.016027421415244957,-0.002786375279609992,0.006299659279408575,-0.016027421415244957,-0.002786375279609992,0.006299659279408575
1788926638.7236664,25.793714287589637,2.0,22.993714287589636,True,False,module_2,False,pass_through,-0.01576426090012981,-0.0027410390020515415,0.006196469124160966,-0.01576426090012981,-0.0027410390020515415,0.006196469124160966
1788926638.7734964,25.79390655896792,2.0,22.993906558967918,True,False,module_2,False,pass_through,-0.015504513151616377,-0.002696315213653217,0.006094618777213979,-0.015504513151616377,-0.002696315213653217,0.006094618777213979
1788926638.8234138,25.794110460545,2.0,22.994110460545,True,False,module_2,False,pass_through,-0.015248136421918166,-0.0026521960172482227,0.005994091822475412,-0.015248136421918166,-0.0026521960172482227,0.005994091822475412
1788926638.8736124,25.794325796455396,2.0,22.994325796455396,True,False,module_2,False,pass_through,-0.014995089465119828,-0.0026086736159678593,0.005894872041564324,-0.014995089465119828,-0.0026086736159678593,0.005894872041564324
1788926638.923432,25.794552373460704,2.0,22.994552373460703,True,False,module_2,False,pass_through,-0.014745331531177127,-0.0025657403119759134,0.005796943411442497,-0.014745331531177127,-0.0025657403119759134,0.005796943411442497
1788926638.9737499,25.794790000915867,2.0,22.994790000915867,True,False,module_2,False,pass_through,-0.014498822359988499,-0.0025233885052185464,0.005700290102074405,-0.014498822359988499,-0.0025233885052185464,0.005700290102074405
1788926639.0234876,25.79503849073586,2.0,22.99503849073586,True,False,module_2,False,pass_through,-0.01425552217553738,-0.0024816106921904386,0.005604896474115002,-0.01425552217553738,-0.0024816106921904386,0.005604896474115002
1788926639.0737102,25.79529765736282,2.0,22.99529765736282,True,False,module_2,False,pass_through,-0.014015391680104416,-0.00244039946471604,0.005510747076625156,-0.014015391680104416,-0.00244039946471604,0.005510747076625156
1788926639.1234946,25.795567317733603,2.0,22.995567317733602,True,False,module_2,False,pass_through,-0.013778392048548763,-0.0023997475087463166,0.00541782664481453,-0.013778392048548763,-0.0023997475087463166,0.00541782664481453
1788926639.1736538,25.795847291247746,2.0,22.995847291247745,True,False,module_2,False,pass_through,-0.013544484922657609,-0.0023596476031707385,0.005326120097811332,-0.013544484922657609,-0.0023596476031707385,0.005326120097811332
1788926639.2233872,25.79613739973586,2.0,22.996137399735858,True,False,module_2,False,pass_through,-0.013313632405563158,-0.002320092618643885,0.005235612536458879,-0.013313632405563158,-0.002320092618643885,0.005235612536458879
1788926639.2736313,25.79643746742841,2.0,22.99643746742841,True,False,module_2,False,pass_through,-0.013085797056226214,-0.002281075516427062,0.005146289241138318,-0.013085797056226214,-0.002281075516427062,0.005146289241138318
1788926639.3234239,25.796747320924936,2.0,22.996747320924936,True,False,module_2,False,pass_through,-0.012860941883985618,-0.002242589347244435,0.00505813566961757,-0.012860941883985618,-0.002242589347244435,0.00505813566961757
1788926639.3736517,25.79706678916362,2.0,22.99706678916362,True,False,module_2,False,pass_through,-0.012639030343172711,-0.002204627250153572,0.004971137454925894,-0.012639030343172711,-0.002204627250153572,0.004971137454925894
1788926639.4233646,25.797395703391274,2.0,22.997395703391273,True,False,module_2,False,pass_through,-0.012420026327790112,-0.002167182451430154,0.004885280403253954,-0.012420026327790112,-0.002167182451430154,0.004885280403253954
1788926639.4735062,25.79773389713374,2.0,22.997733897133738,True,False,module_2,False,pass_through,-0.012203894166253941,-0.00213024826346663,0.004800550491878864,-0.012203894166253941,-0.00213024826346663,0.004800550491878864
