time,event,state,current_waypoint_id,current_waypoint_index,coverage_ratio,position_error,terminal_speed,credited,credited_actions,failed_actions,success,reason
150.03780316700002,observation_credited,executing,cand_0005,1,0.04142284395801456,9.997412691812777e-05,7.613491973813597e-06,True,0,0,False,
300.037839677,observation_credited,executing,cand_0000,2,0.062134265937021836,0.05027784134263539,0.0038290517315868167,True,0,0,False,
450.037833589,observation_credited,executing,cand_0070,3,0.1337234496671767,0.00022988943989396565,1.7507289004779493e-05,True,0,0,False,
600.0378350540001,observation_credited,executing,cand_0068,4,0.2467354773553461,0.0009801436008235306,7.464446932506943e-05,True,0,0,False,
750.037813927,observation_credited,executing,cand_0021,5,0.40117034900153004,0.0002589928740997189,1.972691697616663e-05,True,0,0,False,
900.037812299,observation_credited,executing,cand_0015,6,0.46330461493855196,0.00012116491773837028,9.227595182202937e-06,True,0,0,False,
1050.0378037950002,observation_credited,executing,cand_0052,7,0.5970280646057285,0.0005421009451158167,4.1290905835952626e-05,True,0,0,False,
1200.037802113,observation_credited,executing,cand_0062,8,0.6893286703148908,0.014800473642385995,0.0011272698836549825,True,0,0,False,
1350.037800792,observation_credited,executing,cand_0045,9,0.7721743582309198,0.0004375567380676278,3.3325353548265225e-05,True,0,0,False,
1350.037800792,mission_complete,complete,,9,0.7721743582309198,0.0,0.0,False,9,0,True,all_execution_gates_passed
