ros_header_time_s,safe_acceleration_norm_mps2
1788926638.023042,0.02152666798945467
1788926638.072835,0.021187657980590444
1788926638.1227527,0.02085301020635938
1788926638.173007,0.0205226713564152
1788926638.2229228,0.020196588762046216
1788926638.2728071,0.019874710388491975
1788926638.32291,0.01955698482735186
1788926638.3727875,0.0192433612890846
1788926638.423983,0.0189337895955975
1788926638.4728856,0.01862822017292448
1788926638.5229745,0.01832660404399161
1788926638.5729356,0.018028892821469467
1788926638.6231794,0.017735038700711015
1788926638.6728158,0.01744499445277392
1788926638.722896,0.017158713417526658
1788926638.7728527,0.016876149496837016
1788926638.8227935,0.016597257147842267
1788926638.8728092,0.01632199137629999
1788926638.9228334,0.01605030773001849
1788926638.972835,0.01578216229236599
1788926639.0228717,0.015517511675857656
1788926639.0728798,0.015256313015819357
1788926639.1228662,0.014998523964127543
1788926639.172866,0.014744102683024101
1788926639.2228422,0.014493007839005423
1788926639.272785,0.01424519859678473
1788926639.3228388,0.014000634613326901
1788926639.3729541,0.013759276031954855
1788926639.42277,0.013521083476526705
1788926639.4728858,0.01328601804568276
1788926639.5229604,0.013054041307161687
1788926639.5728705,0.012825115292185036
1788926639.6229327,0.012599202489909023
1788926639.6730096,0.012376265841943282
1788926639.7228196,0.012156268736935384
1788926639.7728784,0.011939175005220569
1788926639.8229082,0.011724948913535935
1788926639.872812,0.011513555159798192
1788926639.922799,0.011304958867944451
1788926639.9729264,0.011099125582835205
1788926640.0229902,0.010896021265218811
1788926640.0729685,0.01069561228675679
1788926640.1228647,0.010497865425109188
1788926640.1728516,0.010302747859079553
1788926640.2228503,0.010110227163818477
1788926640.273006,0.00992027130608547
1788926640.3228955,0.0097328486395682
1788926640.3728192,0.009547927900258643
1788926640.42292,0.009365478201885505
1788926640.4729292,0.009185469031402244
1788926640.5227995,0.009007870244530222
1788926640.572891,0.008832652061356302
1788926640.6227913,0.008659785061984322
1788926640.6728206,0.00848924018224007
1788926640.7228515,0.008390377523478307
1788926640.772874,0.008428754321327813
1788926640.8227785,0.008465052230956647
1788926640.872814,0.008501118782970067
1788926640.922868,0.008536162129018312
1788926640.9728293,0.008570250884137449
1788926641.0230818,0.00860328161028789
1788926641.0729089,0.008635637248229442
1788926641.1230392,0.008667048776145178
1788926641.1729095,0.008697498418290955
1788926641.2229369,0.008727480231497789
1788926641.2728808,0.008756148994620565
1788926641.32277,0.008784561353994308
1788926641.3729272,0.008811149637087932
1788926641.422814,0.008836897888776235
1788926641.4729729,0.0088631861815958
1788926641.5227873,0.00888700841471799
1788926641.5730598,0.008911284212973956
1788926641.6228275,0.008933633614273226
1788926641.6728258,0.0089565829665471
1788926641.7227883,0.0089784026482692
1788926641.7728648,0.008998315103439472
1788926641.822959,0.00901884756262422
1788926641.8727994,0.009037758800691258
1788926641.922873,0.0090563342649495
1788926641.9729073,0.009074346288471176
1788926642.0228283,0.009092892763091744
1788926642.0728252,0.009107964839149132
1788926642.1229799,0.009124756659607174
1788926642.1728463,0.009139329679231
1788926642.222864,0.009153527298912079
1788926642.2728057,0.009167376496491247
1788926642.322873,0.009180913825828496
1788926642.3728478,0.009194055417468597
1788926642.4228299,0.009205876532050844
1788926642.4728997,0.009216753277034096
1788926642.5230508,0.009228649738072858
1788926642.57286,0.009237926210920205
1788926642.6228447,0.009247337900978541
1788926642.6728477,0.009256557891507648
1788926642.7230766,0.009264975509552192
1788926642.772839,0.009273444602708701
1788926642.8229537,0.009280237419440557
1788926642.8728695,0.009287199915961573
1788926642.9228218,0.009294425682098545
1788926642.973039,0.009299288715766556
1788926643.02277,0.009304883750456287
1788926643.0728042,0.009309967691881103
1788926643.1229725,0.009313970473429078
1788926643.172863,0.009317537987258739
1788926643.2228458,0.009320838019591176
1788926643.2728946,0.009323836413830354
