split,method,n,success_rate,mean_coverage,mean_successful_cost,median_successful_cost,mean_successful_delta_v,worst_min_clearance,peak_input,mean_penalized_cost,median_online_time_s,p95_online_time_s,mean_safe_action_evaluations,training_time_s
validation,adaptive_rollout_adp,12,1,0.807910925348052,102.44354537247361,101.58476812425036,12.417568280005517,0.8473828811905011,0.059191843568645916,102.44354537247361,0.30603675000020303,0.6679837499978021,144748.91666666666,0.0
validation,frozen_adp,12,0.75,0.7446590803881987,169.56359431713318,169.78075265881037,20.58897677707035,0.9222599166818104,0.05941307125935591,248.94941047156289,0.11670139548368752,0.15615262498613447,3251.8333333333335,0.14503791701281443
validation,search_only,12,0.08333333333333333,0.7176266064341325,132.2491891662725,132.2491891662725,16.05153041570006,0.8638926780564298,0.05951490068870389,393.46427549125985,0.12865691649494693,0.167458959040232,3735.4166666666665,0.0
validation,incumbent,12,1,0.8407504812983669,113.78056097428907,110.41812008038298,13.795144796312082,1.149157587355644,0.05941307125935591,113.78056097428907,0.00010289598139934242,0.00011670798994600773,10.583333333333334,0.0
validation,rollout,12,1,0.8121249324454781,107.07362508415451,107.16866844218484,12.98151487335227,0.3126404740316717,0.05941307125935591,107.07362508415451,0.003421145520405844,0.003863082965835929,378.5833333333333,0.0
validation,local_search,12,1,0.8307220126001381,109.3433174198735,109.08237735299323,13.257144467784665,1.0871041962737076,0.05941307125935591,109.3433174198735,0.0019202709663659334,0.0043333750218153,426.8333333333333,0.0
validation,frozen_adp_safeguard,12,1,0.8407504812983669,113.78056097428907,110.41812008038298,13.795144796312082,1.149157587355644,0.05941307125935591,113.78056097428907,0.11721972902887501,0.16054675000486895,3262.4166666666665,0.14503791701281443
