method,sequence,candidate_id,viewpoint_x,viewpoint_y,viewpoint_z,boresight_x,boresight_y,boresight_z,yaw_rad,pitch_rad,qx,qy,qz,qw,new_target_count,cumulative_coverage
safe_graph_adp,0,cand_0012,-0.8662280960933155,5.883517442184143,50.17988047095117,0.08715513431574722,2.9737933436008493e-07,-0.9961947513224088,3.412069027185244e-06,1.4835304749506766,-0.5213335875588719,0.47771449879518024,0.4777146538290366,0.5213337296213144,12,0.13333333333333333
safe_graph_adp,1,cand_0015,16.09830129444599,48.03037917015,41.478375860508145,0.0,-0.9999999944568885,0.00010529113535218654,-1.5707963267948966,-0.00010529113554673336,-3.722603795476788e-05,-3.722603795476788e-05,-0.7071067802066545,0.7071067802066546,13,0.2777777777777778
safe_graph_adp,2,cand_0058,28.257025352716443,38.614731344920116,-39.754714018188714,0.0,-0.9999999944704384,-0.00010516236568178404,-1.5707963267948966,0.00010516236587561796,3.718051100100246e-05,3.718051100100246e-05,-0.7071067802090498,0.7071067802090499,9,0.37777777777777777
safe_graph_adp,3,cand_0075,29.057205196336707,37.70409602829488,1.486281695834873,-0.5827030807240566,-0.8126851295026217,1.5486041761106216e-08,-2.1928471775779017,-1.548604176110622e-08,6.888032006015831e-09,3.536861241380975e-09,0.8895794176812031,-0.45678053771802885,7,0.45555555555555555
safe_graph_adp,4,cand_0063,-9.089786171923746,48.06888446006213,-33.79691562527829,-1.700466222857921e-10,-0.9999999944568884,0.00010529113535218655,-1.5707963269649432,-0.00010529113554673339,-3.722603795793298e-05,-3.7226037951602804e-05,-0.7071067802667751,0.707106780146534,6,0.5222222222222223
safe_graph_adp,5,cand_0051,-27.536088684176768,48.06754273739971,-50.22346008325944,-1.8507329002659387e-10,-0.9999999944704471,0.00010516228309921328,-1.5707963269799698,-0.00010516228329304676,-3.7180481807095014e-05,-3.718048180021389e-05,-0.7071067802744847,0.7071067801436182,4,0.5666666666666667
safe_graph_adp,6,cand_0044,5.083574832422295,1.8301748904979456,-50.04148705788724,-0.08714177563911442,-0.0015213565189354209,0.9961947582741061,-3.1241360207834052,-1.483530554713052,0.4773213422887519,0.520966939089126,0.5216937187619419,-0.47811447204211144,10,0.6777777777777778
safe_graph_adp,7,cand_0079,22.848791811399927,-13.194116716119785,-37.42292863443598,-0.11557565575751211,0.2790265955379548,0.9533029040020383,1.9634925196032644,-1.2639897843205257,0.5388466029229613,0.5900368542390988,0.4578693465590207,-0.3896877091205577,3,0.7111111111111111
safe_graph_adp,8,cand_0005,-14.216049847602841,-36.53834050628878,15.53200695987428,0.0,0.9238795005218702,-0.3826835095943639,1.5707963267948966,0.3926991652910896,-0.1379497186279568,0.13794971862795677,0.6935199168953026,0.6935199168953028,6,0.7777777777777778
safe_graph_adp,9,cand_0030,4.143465138077736,-30.61234038114548,53.22086807250977,0.0,1.0,0.0,1.5707963267948966,-0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2,0.8
safe_graph_adp,10,cand_0027,-2.5045481326292975,46.57488789068318,57.904914088160254,6.175945469319035e-11,-0.999999994470449,0.00010516226503434093,-1.570796326733137,-0.0001051622652281743,-3.7180475415609434e-05,-3.718047541790567e-05,-0.7071067801872165,0.707106780230887,5,0.8555555555555555
safe_graph_adp,11,cand_0016,29.06902539737309,40.031036391104735,39.75474212287525,1.5402267696545626e-11,-0.9999999944975146,0.0001049045784040375,-1.5707963267794944,-0.00010490457859644948,-3.708936943424068e-05,-3.7089369434811935e-05,-0.7071067802083907,0.707106780219282,1,0.8666666666666667
safe_graph_adp,12,cand_0009,47.418921929442895,25.245130518419753,3.9077469340009117,-0.9068561680045869,-0.4214039410802866,-0.005532539565039587,-2.7065926654580217,0.00553256778967345,-0.002701106730558413,-0.0005969334113765159,0.9764362384061727,-0.21578836859325082,1,0.8777777777777778
safe_graph_adp,13,cand_0007,-0.38656135084674204,47.83582549452614,1.869051073393751,-2.015340788379711e-07,-0.99999999999996,-1.9823278531370748e-07,-1.5707965283289755,1.9823278531370878e-07,7.008588043675577e-08,7.008586631206383e-08,-0.7071068524395974,0.7071067099334836,1,0.8888888888888888
safe_graph_adp,14,cand_0066,-1.9901332043138265,40.31533880047447,-28.838666896894576,0.1950905759752885,-0.9807852298875784,0.0,-1.3744465270110136,-0.0,-0.0,0.0,-0.6343931840840945,0.773010535495891,1,0.9
safe_graph_adp,15,cand_0082,18.10868760383598,-31.920621285655468,0.4859411843203348,-4.719401245017038e-06,0.9999999999888495,-1.6858496748431918e-07,1.5708010461961417,1.6858496748431998e-07,-5.9603927504065074e-08,5.960364620987917e-08,0.7071084497448881,0.7071051126242647,1,0.9111111111111111
safe_graph_adp,16,cand_0054,-27.916797214824633,-16.67598246342849,-48.2406843783462,0.9667828450835124,0.25559915465669053,-5.090201016746137e-05,0.2584673935039711,5.0902010189442675e-05,-3.279979639190907e-06,2.523876767510971e-05,0.12887426749063774,0.9916609413156283,2,0.9333333333333333
