method,action,sample,time_s,rx,ry,rz,vx,vy,vz,ux,uy,uz
adaptive_rollout_adp,1,0,3.0,0.1402882562797711,-34.7961403067586,9.980353242433651,0.09367941352069722,0.13580047649708596,-0.01309782580372192,0.03107253171429701,0.04537263713572744,-0.0043531504120873695
adaptive_rollout_adp,1,1,6.0,0.5536832986234634,-34.2001567573828,9.922765956474729,0.18206019883847346,0.2614218987751792,-0.025293661313316715,0.029009496926024836,0.042185608336481585,-0.004052536698767321
adaptive_rollout_adp,1,2,9.0,1.2240978615144447,-33.242468795399446,9.829944536427341,0.26501482674627447,0.37694289053651475,-0.036587225979710376,0.026925878140701062,0.039012653707478556,-0.0037518763006156317
adaptive_rollout_adp,1,3,12.0,2.1350627245689253,-31.953258067707313,9.704596187066413,0.3424161905914741,0.4824433586861846,-0.04697826003861829,0.024821699361413038,0.03585391289567072,-0.0034511726812110734
adaptive_rollout_adp,1,4,15.0,3.2697279877267804,-30.362464580024962,9.549428861276526,0.4141376112928608,0.5780044899554952,-0.05646652451503139,0.022696984828097195,0.0327095253842686,-0.0031504293046303172
adaptive_rollout_adp,1,5,18.0,4.610864361479683,-28.49978286252684,9.367151197677849,0.48005284234851037,0.66370874748648,-0.06505180122734314,0.020551759017259884,0.029579630491134136,-0.0028496496354080353
adaptive_rollout_adp,1,6,21.0,6.14086447210906,-26.394658145784007,9.160472458240209,0.5400360748344455,0.7396398673776325,-0.0727338927911172,0.018386046641695394,0.026464367367175667,-0.0025488371384969864
adaptive_rollout_adp,1,7,24.0,7.841744181906078,-24.076282547125764,8.932102465886414,0.5939619423939846,0.8058828551909316,-0.07951262262249581,0.016199872650201293,0.02336387499474498,-0.0022479952792281033
adaptive_rollout_adp,1,8,27.0,9.695143924345592,-21.573591267538156,8.684751542085884,0.6417055262176808,0.8625239824202257,-0.08538783494124878,0.013993262227290932,0.020278292186036245,-0.0019471275232705691
adaptive_rollout_adp,1,9,30.0,11.682330054185663,-18.915258799215213,8.421130444439669,0.6831423600137538,0.9096507829210474,-0.09035939477346303,0.011766240792903435,0.017207757581486835,-0.0016462373365918933
adaptive_rollout_adp,1,10,33.0,13.784196212463991,-16.129695143878504,8.143950304257949,0.7181484349689156,0.9473520493019293,-0.09442718795387264,0.009518834002110798,0.014152409648180382,-0.0013453281854179855
adaptive_rollout_adp,1,11,36.0,15.981264706362293,-13.245042041980405,7.855922564131073,0.7466002046994935,0.9757178292772916,-0.09759112112782951,0.007251067744822319,0.011112386678251394,-0.0010444035361932271
adaptive_rollout_adp,1,12,39.0,18.25368790390937,-10.289169212906248,7.55975891549523,0.7683745901927524,0.9948394219819748,-0.09985112175291433,0.004962968145486403,0.00808782678729237,-0.0007434668555405324
adaptive_rollout_adp,1,13,42.0,20.581249643493315,-7.289670606290322,7.258171236193826,0.7833489847383184,1.0048093742474904,-0.10120713810018808,0.002654561562789616,0.0050788679127625885,-0.00044252161022141634
adaptive_rollout_adp,1,14,45.0,22.943366658153018,-4.273860664560435,6.953871528035645,0.7914012588496061,1.0057214768400615,-0.10165913925508398,0.0003258745893529825,0.0020856478123991856,-0.00014157126709606147
adaptive_rollout_adp,1,15,48.0,25.319090014618837,-1.2687705968255938,6.649571854350872,0.7924097651751552,0.9976707606605311,-0.10120711511793973,-0.0020230659485742947,-0.0008916959373699573,0.00015938070691662656
adaptive_rollout_adp,1,16,51.0,27.687106567072032,1.6988553357789509,6.347984277546062,0.786253343399775,0.9807534929062094,-0.09985107640417026,-0.00439223299142396,-0.0038530259430109015,0.0004603308448789551
adaptive_rollout_adp,1,17,54.0,30.025740425592197,4.602563523175201,6.051820796659132,0.7728113251354045,0.955067173194739,-0.09759105464408087,-0.006781599246620307,-0.006798204995466545,0.0007612756798743778
adaptive_rollout_adp,1,18,57.0,32.31295443926174,7.416194697740625,5.763793284915444,0.7519635388015878,0.9207105296500524,-0.09442710218232064,-0.009191137188894706,-0.009727096071737183,0.0010622117450474438
adaptive_rollout_adp,1,19,60.0,34.52635169389608,10.113887613907492,5.486613427286075,0.7235903144954713,0.8777835149505003,-0.09035929217697646,-0.011620819060602609,-0.012639562336459045,0.0013631355736437255
adaptive_rollout_adp,1,20,63.0,36.64317702436802,12.670082715849931,5.222992658049345,0.687572488851224,0.8263873023392284,-0.08538771859830724,-0.014070616872043362,-0.015535467143480572,0.0016640436990497621
adaptive_rollout_adp,1,21,66.0,38.64031854149435,15.059525793145601,4.9756420983566745,0.6437914098887872,0.7666242815968808,-0.0795124962271188,-0.01654050240178262,-0.018414674037436626,0.0019649326548329907
adaptive_rollout_adp,1,22,69.0,40.49430917345261,17.257271624299065,4.747272493803862,0.5921289418518556,0.6985980549767099,-0.07273376065277905,-0.01903044719697744,-0.021277046755320418,0.00226579897478168
adaptive_rollout_adp,1,23,72.0,42.181328221695516,19.238687608014196,4.540594152008858,0.532467470034995,0.622413433102173,-0.06505166827087372,-0.02154042257370413,-0.02412244922805322,0.0025666391929448644
adaptive_rollout_adp,1,24,75.0,43.67720293133028,20.979457382103217,4.358316880197103,0.4646899055998011,0.5381764308270957,-0.056466396280502665,-0.02407039961728858,-0.026950745582051898,0.002867449843672266
adaptive_rollout_adp,1,25,78.0,44.95741007592992,22.455584429920172,4.203149922795519,0.38867969038000477,0.4459942630584839,-0.046978142681216674,-0.026620349182639436,-0.029761800140794173,0.003168227461654219
adaptive_rollout_adp,1,26,81.0,45.99707755674313,23.64339567420692,4.077801899036236,0.3043208016754263,0.34597534054206747,-0.03658712626959496,-0.02919024189458381,-0.03255547742638157,0.0034689685819615955
adaptive_rollout_adp,1,27,84.0,46.77098601626917,24.519545058239963,3.984980740571114,0.21149775703468637,0.23822926561065666,-0.025293586635463293,-0.03178004814820569,-0.035331642161100116,0.0037696697400857147
adaptive_rollout_adp,1,28,87.0,47.253570466163936,25.061017114166653,3.9273936290981597,0.11009561902657716,0.1228668278953961,-0.01309778415775285,-0.034389738109186996,-0.03809015926897875,0.004070327471978258
adaptive_rollout_adp,1,29,90.0,47.41892192944298,25.245130518419643,3.9077469340008975,-2.220446049250313e-16,6.38378239159465e-16,8.673617379884035e-17,-0.037019281714151246,-0.040830893877345356,0.00437093831409117
adaptive_rollout_adp,2,0,93.0,47.35715356485899,25.28142465066094,3.899938010414978,-0.04115160102227899,0.024242645665132144,-0.005205944059600969,-0.013926583208345493,0.008034293443084893,-0.00173031613934848
