method,action,candidate_id,weighted_coverage,cumulative_delta_v,cumulative_graph_cost
adaptive_rollout_adp,0,initial,0.0,0.0,0.0
adaptive_rollout_adp,1,cand_0009,0.10334730274839285,2.5741561269566513,21.168050777139374
adaptive_rollout_adp,2,cand_0068,0.14380321923159486,3.3225376809315987,27.35353109837554
adaptive_rollout_adp,3,cand_0014,0.24494301043959987,4.600826696809558,37.90568500369937
adaptive_rollout_adp,4,cand_0019,0.38874622967119477,5.672587768031857,46.742806413061544
adaptive_rollout_adp,5,cand_0082,0.46965806263759874,6.658827606447721,54.8878811895752
adaptive_rollout_adp,6,cand_0059,0.5505698956040027,9.113112941913554,75.1009194893669
adaptive_rollout_adp,7,cand_0051,0.6741451565939965,10.19192794455184,83.99798113199729
adaptive_rollout_adp,8,cand_0063,0.7774924593423894,11.550613731202143,95.20125965398458
adaptive_rollout_adp,9,cand_0038,0.7977204175839904,11.90011213995833,98.12048795569507
adaptive_rollout_adp,10,cand_0061,0.8179483758255914,12.026030012448231,99.20364786441237
local_search,0,initial,0.0,0.0,0.0
local_search,1,cand_0005,0.040455916483202,0.5136259428055561,4.262164001319721
local_search,2,cand_0073,0.10113979120800501,3.297599627648662,27.14746888007211
local_search,3,cand_0009,0.18425913571479685,4.295964853279738,35.38898345254297
local_search,4,cand_0051,0.32806235494639174,5.949018267674315,49.01402205098317
local_search,5,cand_0063,0.4314096576947846,7.307704054324619,60.217300572970466
local_search,6,cand_0038,0.45163761593638563,7.6572024630808055,63.136528874680955
local_search,7,cand_0061,0.47186557417798664,7.7831203355707075,64.21968878339825
local_search,8,cand_0059,0.5325494489027897,9.533618925082497,78.64258070089637
local_search,9,cand_0013,0.6741451565939965,11.968681348098595,98.69660067950674
local_search,10,cand_0019,0.7572645011007885,12.587549493541612,103.82057612377085
local_search,11,cand_0082,0.8381763340671924,13.573789331957476,111.9656509002845
