criterion,target_id,position_x,position_y,position_z,visible_node_count,observable_in_selection_scenarios
min_x,mesh_00010,-19.535295100212096,9.276899007558823,16.242956390790642,3,50
max_x,mesh_00015,24.66450081573286,-27.133142238102455,39.7583108252287,5,50
min_y,mesh_00059,23.2825708853252,-27.647872935913814,-39.75828767657279,2,50
max_y,mesh_00019,-13.48911227155204,36.042552825726695,39.758293051123616,3,50
min_z,mesh_00053,-7.871667548018455,29.218841159490427,-57.909347450137126,2,50
max_z,mesh_00028,-8.41712626704057,27.255299675852168,57.90932971835136,4,50
