goal_coverage,requirement,scenario_id,scenario_seed,available_node_count,static_upper_bound,static_visible_target_count,required_target_count,required_targets_available,sentinel_target_count,sentinels_available,structurally_feasible,status,success,coverage,unweighted_inspectable_coverage,whole_surface_coverage,required_targets_covered,required_targets_covered_count,sentinels_covered,sentinels_covered_count,selected_count,graph_cost,total_delta_v,min_clearance,peak_input,online_time_s,safe_action_evaluations,shield_rejections,route_node_ids
0.98,coverage_only,test_016,20759,24,1.0,41,0,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,True,0,False,0,0,0.0,0,nan,nan,0.30175033101113513,84373,50023,
0.98,six_spatial_sentinels,test_016,20759,24,1.0,41,6,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,False,0,False,0,0,0.0,0,nan,nan,0.3020798450161237,84373,50023,
0.98,coverage_only,test_017,20760,23,1.0,41,0,True,6,True,True,success,True,0.9800689994884622,0.975609756097561,0.4444444444444444,True,0,True,6,14,170.04679610946735,20.63194417822535,0.8473828811905011,0.0514317555366367,0.749867278005695,207734,131021,cand_0066;cand_0016;cand_0021;cand_0009;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,six_spatial_sentinels,test_017,20760,23,1.0,41,6,True,6,True,True,success,True,0.9800689994884622,0.975609756097561,0.4444444444444444,True,6,True,6,14,170.04679610946735,20.63194417822535,0.8473828811905011,0.0514317555366367,0.7605463129875716,207734,131021,cand_0066;cand_0016;cand_0021;cand_0009;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,coverage_only,test_018,20761,23,1.0,41,0,True,6,True,True,success,True,0.9818841464291101,0.975609756097561,0.4444444444444444,True,0,True,6,13,155.83524707757255,18.90736087990963,1.0871041962737076,0.048074778454512024,0.6158456660050433,166798,101178,cand_0016;cand_0021;cand_0009;cand_0066;cand_0052;cand_0062;cand_0063;cand_0045;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,six_spatial_sentinels,test_018,20761,23,1.0,41,6,True,6,True,True,success,True,0.9818841464291101,0.975609756097561,0.4444444444444444,True,6,True,6,13,155.83524707757255,18.90736087990963,1.0871041962737076,0.048074778454512024,0.6142030060000252,166798,101178,cand_0016;cand_0021;cand_0009;cand_0066;cand_0052;cand_0062;cand_0063;cand_0045;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.98,coverage_only,test_019,20762,23,1.0,41,0,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,True,0,False,0,0,0.0,0,nan,nan,0.33158298302441835,80431,48535,
0.98,six_spatial_sentinels,test_019,20762,23,1.0,41,6,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,False,0,False,0,0,0.0,0,nan,nan,0.28715744701912627,80431,48535,
0.98,coverage_only,test_020,20763,24,1.0,41,0,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,True,0,False,0,0,0.0,0,nan,nan,0.30407326298882253,84615,50069,
0.98,six_spatial_sentinels,test_020,20763,24,1.0,41,6,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,False,0,False,0,0,0.0,0,nan,nan,0.3084924989962019,84615,50069,
