time,minimum_distance,safety_margin,clearance,is_safe,in_caution_zone,nearest_primitive,filter_active,filter_reason,ax_nom,ay_nom,az_nom,ax_safe,ay_safe,az_safe
1788945856.03968,0.0,0.0,0.0,True,False,,False,no_state_yet,0.040114465836699496,0.035759970139357874,0.026684343092317302,0.040114465836699496,0.035759970139357874,0.026684343092317302
1788945856.0895123,0.0,0.0,0.0,True,False,,False,no_state_yet,0.040114364864220015,0.035759998767105276,0.02668445651904605,0.040114364864220015,0.035759998767105276,0.02668445651904605
1788945856.1398363,25.79223811011472,2.0,22.99223811011472,True,False,module_2,False,pass_through,0.04011422715900666,0.035760067427129186,0.026684571516941914,0.04011422715900665,0.03576006742712918,0.02668457151694191
1788945856.1899817,25.792086355891172,2.0,22.99208635589117,True,False,module_2,False,pass_through,0.040114051822529556,0.03576017709752692,0.026684688125082606,0.04011405182252955,0.035760177097526914,0.026684688125082602
1788945856.2401118,25.79187396150865,2.0,22.99187396150865,True,False,module_2,False,pass_through,0.0401138379219687,0.03576032879350592,0.026684806383977692,0.0401138379219687,0.03576032879350592,0.026684806383977692
1788945856.290023,25.79160094059618,2.0,22.99160094059618,True,False,module_2,False,pass_through,0.04011358448848622,0.035760523569246146,0.026684926335638782,0.04011358448848622,0.035760523569246146,0.026684926335638782
1788945856.3399324,25.79126730759761,2.0,22.99126730759761,True,False,module_2,False,pass_through,0.04011329051538942,0.035760762519879925,0.026685048023653984,0.04011329051538942,0.035760762519879925,0.026685048023653984
1788945856.389878,25.79087307776912,2.0,22.99087307776912,True,False,module_2,False,pass_through,0.04011295495617628,0.03576104678359819,0.026685171493267084,0.04011295495617628,0.03576104678359819,0.026685171493267084
1788945856.4398708,25.790418267176687,2.0,22.990418267176686,True,False,module_2,False,pass_through,0.04011257672245404,0.035761377543892796,0.02668529679146175,0.04011257672245404,0.035761377543892796,0.02668529679146175
1788945856.489925,25.789902892693494,2.0,22.989902892693493,True,False,module_2,False,pass_through,0.040112154681721225,0.03576175603194574,0.02668542396705103,0.040112154681721225,0.03576175603194574,0.02668542396705103
1788945856.5397315,25.78932697199719,2.0,22.98932697199719,True,False,module_2,False,pass_through,0.04011168765500237,0.03576218352917646,0.026685553070772767,0.04011168765500237,0.03576218352917646,0.026685553070772767
1788945856.5897946,25.788690523567183,2.0,22.988690523567183,True,False,module_2,False,pass_through,0.040111174414322964,0.035762661369960536,0.026685684155391156,0.040111174414322964,0.035762661369960536,0.026685684155391156
1788945856.6398137,25.787993566681735,2.0,22.987993566681734,True,False,module_2,False,pass_through,0.04011061368001251,0.03576319094453307,0.026685817275805157,0.04011061368001251,0.03576319094453307,0.026685817275805157
1788945856.6898687,25.787236121415013,2.0,22.987236121415012,True,False,module_2,False,pass_through,0.040110004117820904,0.035763773702092175,0.026685952489164225,0.040110004117820904,0.035763773702092175,0.026685952489164225
1788945856.7396693,25.78641820863405,2.0,22.98641820863405,True,False,module_2,False,pass_through,0.0401093443358326,0.035764411154119664,0.026686089854991744,0.0401093443358326,0.035764411154119664,0.026686089854991744
1788945856.7914097,25.785539849995565,2.0,22.985539849995565,True,False,module_2,False,pass_through,0.04010863288116185,0.03576510487793631,0.02668622943531735,0.04010863288116185,0.03576510487793631,0.02668622943531735
1788945856.840342,25.784601067942695,2.0,22.984601067942695,True,False,module_2,False,pass_through,0.040107868236409425,0.03576585652051305,0.026686371294818156,0.04010786823640942,0.03576585652051304,0.026686371294818153
1788945856.8898256,25.783601885701568,2.0,22.983601885701567,True,False,module_2,False,pass_through,0.04010704881586102,0.03576666780255902,0.026686515500970318,0.04010704881586102,0.03576666780255902,0.026686515500970318
1788945856.9397185,25.78254232727778,2.0,22.98254232727778,True,False,module_2,False,pass_through,0.04010617296140365,0.03576754052291209,0.02668666212421134,0.04010617296140365,0.03576754052291209,0.02668666212421134
1788945856.9896715,25.781422417452717,2.0,22.981422417452716,True,False,module_2,False,pass_through,0.0401052389381353,0.03576847656325786,0.026686811238114398,0.0401052389381353,0.03576847656325786,0.026686811238114398
1788945857.04024,25.780242181779677,2.0,22.980242181779676,True,False,module_2,False,pass_through,0.04010424492963976,0.03576947789320754,0.026686962919575567,0.04010424492963975,0.03576947789320753,0.026686962919575563
1788945857.0904102,25.7790016465799,2.0,22.9790016465799,True,False,module_2,False,pass_through,0.040103189032895545,0.03577054657576773,0.026687117249015048,0.040103189032895545,0.03577054657576773,0.026687117249015048
1788945857.1399093,25.777700838938365,2.0,22.977700838938365,True,False,module_2,False,pass_through,0.04010206925278521,0.035771684773238326,0.026687274310593968,0.04010206925278521,0.035771684773238326,0.026687274310593968
1788945857.1900747,25.776339786699445,2.0,22.976339786699445,True,False,module_2,False,pass_through,0.04010088349616601,0.0357728947535797,0.02668743419244776,0.04010088349616601,0.0357728947535797,0.02668743419244776
1788945857.2402706,25.774918518462304,2.0,22.974918518462303,True,False,module_2,False,pass_through,0.040099629565460856,0.03577417889729384,0.026687596986938202,0.040099629565460856,0.03577417889729384,0.026687596986938202
1788945857.289824,25.773437063576097,2.0,22.973437063576096,True,False,module_2,False,pass_through,0.04009830515172138,0.035775539704869956,0.026687762790925513,0.04009830515172137,0.03577553970486995,0.02668776279092551
1788945857.3396862,25.77189545213494,2.0,22.97189545213494,True,False,module_2,False,pass_through,0.04009690782711084,0.03577697980485104,0.026687931706062543,0.04009690782711084,0.03577697980485104,0.026687931706062543
1788945857.3901649,25.77029371497264,2.0,22.97029371497264,True,False,module_2,False,pass_through,0.04009543503674831,0.03577850196258363,0.026688103839113318,0.04009543503674831,0.03577850196258363,0.026688103839113318
1788945857.4399903,25.768631883657115,2.0,22.968631883657114,True,False,module_2,False,pass_through,0.040093884089847966,0.03578010908972117,0.026688279302298373,0.040093884089847966,0.03578010908972117,0.026688279302298373
1788945857.490256,25.766909990484542,2.0,22.96690999048454,True,False,module_2,False,pass_through,0.04009225215007968,0.035781804254560005,0.02668845821366951,0.04009225215007967,0.03578180425456,0.026688458213669507
1788945857.5402799,25.765128068473206,2.0,22.965128068473206,True,False,module_2,False,pass_through,0.04009053622506819,0.0357835906932958,0.026688640697517137,0.04009053622506819,0.0357835906932958,0.026688640697517137
1788945857.58984,25.763286151356947,2.0,22.963286151356947,True,False,module_2,False,pass_through,0.04008873315493722,0.03578547182230068,0.026688826884813825,0.04008873315493722,0.03578547182230068,0.026688826884813825
1788945857.6397789,25.76138427357832,2.0,22.961384273578318,True,False,module_2,False,pass_through,0.0400868395997928,0.03578745125153318,0.026689016913697287,0.0400868395997928,0.03578745125153318,0.026689016913697287
1788945857.6895938,25.75942247028129,2.0,22.95942247028129,True,False,module_2,False,pass_through,0.04008485202602732,0.03578953279920775,0.02668921092999801,0.04008485202602732,0.03578953279920775,0.02668921092999801
1788945857.7412405,25.757400777303534,2.0,22.957400777303533,True,False,module_2,False,pass_through,0.0400827666913087,0.03579172050786776,0.02668940908781594,0.0400827666913087,0.03579172050786776,0.02668940908781594
1788945857.7897642,25.755319231168283,2.0,22.955319231168282,True,False,module_2,False,pass_through,0.03951125719653326,0.035285584454503076,0.02631050040240057,0.03951125719653326,0.035285584454503076,0.02631050040240057
1788945857.8398623,25.753178299038666,2.0,22.953178299038665,True,False,module_2,False,pass_through,0.038823016358853116,0.03467526758247671,0.025853879744806626,0.038823016358853116,0.03467526758247671,0.025853879744806626
1788945857.890084,25.750978966417218,2.0,22.950978966417217,True,False,module_2,False,pass_through,0.03814376289278949,0.03407302707736731,0.025403256951710643,0.03814376289278949,0.03407302707736731,0.025403256951710643
1788945857.9401278,25.748722300051696,2.0,22.948722300051696,True,False,module_2,False,pass_through,0.03747338722740407,0.03347876263389736,0.02495855829191096,0.03747338722740407,0.03347876263389736,0.02495855829191096
1788945857.9898646,25.746409353011877,2.0,22.946409353011877,True,False,module_2,False,pass_through,0.03681178110047405,0.03289237516964597,0.024519710923102858,0.03681178110047405,0.03289237516964597,0.024519710923102858
1788945858.0401974,25.744041164825852,2.0,22.94404116482585,True,False,module_2,False,pass_through,0.036158837542963694,0.032313766810227455,0.02408664288122673,0.036158837542963694,0.032313766810227455,0.02408664288122673
1788945858.0903976,25.741618761615758,2.0,22.941618761615757,True,False,module_2,False,pass_through,0.03571787604657886,0.031921429834659704,0.02379365307989089,0.03571787604657886,0.031921429834659704,0.02379365307989089
1788945858.1403005,25.739143005912688,2.0,22.939143005912687,True,False,module_2,False,pass_through,0.035680353221140874,0.031883442971084044,0.02376720493713406,0.035680353221140874,0.031883442971084044,0.02376720493713406
1788945858.1901655,25.736614305176357,2.0,22.936614305176356,True,False,module_2,False,pass_through,0.03564200433814801,0.03184489682015122,0.02374026598530371,0.03564200433814801,0.03184489682015122,0.02374026598530371
1788945858.2399824,25.734032769536913,2.0,22.934032769536913,True,False,module_2,False,pass_through,0.03560337958779099,0.03180627223674408,0.02371319892713505,0.03560337958779099,0.03180627223674408,0.02371319892713505
1788945858.2896824,25.731398510278844,2.0,22.931398510278843,True,False,module_2,False,pass_through,0.03556191033276849,0.031765312053193766,0.023684306371218718,0.03556191033276849,0.031765312053193766,0.023684306371218718
1788945858.3400755,25.72871164133279,2.0,22.92871164133279,True,False,module_2,False,pass_through,0.035520726084486434,0.03172476157608564,0.023655654772324605,0.035520726084486434,0.03172476157608564,0.023655654772324605
1788945858.3898845,25.725972278860947,2.0,22.925972278860947,True,False,module_2,False,pass_through,0.03547812232018083,0.03168312229846774,0.02362611753499578,0.03547812232018083,0.03168312229846774,0.02362611753499578
1788945858.440087,25.723180540205526,2.0,22.923180540205525,True,False,module_2,False,pass_through,0.03543372324670925,0.03164006223669198,0.02359544574560163,0.03543372324670925,0.03164006223669198,0.02359544574560163
1788945858.49015,25.72033654542469,2.0,22.92033654542469,True,False,module_2,False,pass_through,0.03538905378466547,0.03159691808207702,0.023564645990224037,0.03538905378466547,0.03159691808207702,0.023564645990224037
1788945858.539785,25.717440416443914,2.0,22.917440416443913,True,False,module_2,False,pass_through,0.035345240044534036,0.03155467643374771,0.023534461435354006,0.035345240044534036,0.03155467643374771,0.023534461435354006
1788945858.5898628,25.714492275101176,2.0,22.914492275101175,True,False,module_2,False,pass_through,0.03529723550297502,0.0315089049042163,0.0235015579999589,0.03529723550297502,0.0315089049042163,0.0235015579999589
1788945858.640123,25.71149224603992,2.0,22.91149224603992,True,False,module_2,False,pass_through,0.03524924867968944,0.0314632962027561,0.02346871490812097,0.03524924867968944,0.0314632962027561,0.02346871490812097
1788945858.6900034,25.70844045732489,2.0,22.90844045732489,True,False,module_2,False,pass_through,0.03520103883184467,0.031417637019575145,0.023435772490082815,0.03520103883184467,0.031417637019575145,0.023435772490082815
1788945858.739893,25.705337037516106,2.0,22.905337037516105,True,False,module_2,False,pass_through,0.03515616742836547,0.03137505206669249,0.02340508258804122,0.03515616742836547,0.03137505206669249,0.02340508258804122
1788945858.790176,25.702182113224314,2.0,22.902182113224313,True,False,module_2,False,pass_through,0.03510163145519102,0.031324123973444536,0.023368055592159494,0.03510163145519102,0.031324123973444536,0.023368055592159494
1788945858.840007,25.698975816069435,2.0,22.898975816069434,True,False,module_2,False,pass_through,0.0350510117107269,0.0312767735318222,0.023333661491462942,0.0350510117107269,0.0312767735318222,0.023333661491462942
