ros_header_time_s,safe_acceleration_norm_mps2
1788945856.0389466,0.060000000000000005
1788945856.0889142,0.06
1788945856.1388936,0.06
1788945856.1889122,0.05999999999999999
1788945856.238975,0.05999999999999999
1788945856.2889063,0.06
1788945856.3389068,0.05999999999999999
1788945856.3889127,0.06
1788945856.4389296,0.06
1788945856.4889736,0.05999999999999999
1788945856.5389292,0.06
1788945856.5888515,0.06
1788945856.6389437,0.06
1788945856.6889477,0.06
1788945856.7389312,0.05999999999999999
1788945856.7891607,0.06
1788945856.8389602,0.05999999999999999
1788945856.888899,0.06
1788945856.9389408,0.05999999999999999
1788945856.9889307,0.05999999999999999
1788945857.039153,0.05999999999999999
1788945857.0890944,0.059999999999999984
1788945857.1390789,0.06
1788945857.1888673,0.05999999999999999
1788945857.2390385,0.06
1788945857.2889245,0.05999999999999999
1788945857.3389044,0.06
1788945857.3889527,0.06
1788945857.4391062,0.06
1788945857.489064,0.06
1788945857.539008,0.05999999999999999
1788945857.5889416,0.06
1788945857.6389363,0.06
1788945857.6888964,0.05999999999999999
1788945857.739798,0.06
1788945857.78892,0.059147733236119805
1788945857.8388836,0.05812076977273321
1788945857.888933,0.05710729625530337
1788945857.9389968,0.056107146869204906
1788945857.9889467,0.05512015779950644
1788945858.0391245,0.05414616720703275
1788945858.0890455,0.053487216032002224
1788945858.1389103,0.05342772288053718
1788945858.1890018,0.05336712617126397
1788945858.2389455,0.0533062416141683
1788945858.2889981,0.05324125171930497
1788945858.338953,0.053176803978200855
1788945858.3889427,0.0531103646355663
1788945858.4390285,0.05304137386418036
1788945858.4888952,0.05297209549096593
1788945858.5389364,0.052904200907833494
1788945858.5889888,0.05283019166008068
1788945858.6391642,0.05275631829329653
1788945858.6890845,0.052682221697093766
1788945858.7389336,0.05261319122988037
1788945858.788923,0.052529908582426024
1788945858.8389418,0.052452547536841226
1788945858.888979,0.05237256095947294
1788945858.938921,0.05229231897339482
1788945858.9889505,0.052210625032161874
1788945859.0389273,0.05212855025772544
1788945859.0890224,0.052047412434220924
