time,event,state,current_waypoint_id,current_waypoint_index,coverage_ratio,position_error,terminal_speed,credited,credited_actions,failed_actions,success,reason
150.035320156,observation_credited,executing,cand_0016,1,0.1035571098950364,0.001965704529330649,0.0001497309710916519,True,0,0,False,
300.03530800600004,observation_credited,executing,cand_0021,2,0.2372805595622131,0.00021064622414030358,1.6041579953622094e-05,True,0,0,False,
450.035305767,observation_credited,executing,cand_0068,3,0.3502925872503825,0.00026006999065616575,1.980844767805658e-05,True,0,0,False,
600.035397823,observation_credited,executing,cand_0045,4,0.4331382751664116,0.00035964235559134047,2.7391477402179037e-05,True,0,0,False,
750.0353351910001,observation_credited,executing,cand_0063_safe,5,0.4952725411034335,0.0003036080223553138,2.3121587106675363e-05,True,0,0,False,
900.035335422,observation_credited,executing,cand_0062,6,0.546150302854581,0.0021597853524174433,0.00016450508665322372,True,0,0,False,
1050.0353433760001,observation_credited,executing,cand_0055,7,0.6798737525217577,0.0004518991235415613,3.4422044743747814e-05,True,0,0,False,
1200.0353407310001,observation_credited,executing,cand_0052,8,0.700585174500765,0.00010104760859272859,7.695459166330542e-06,True,0,0,False,
1350.03535439,observation_credited,executing,cand_0066,9,0.7627194404377868,0.0001506631754802334,1.1476645560499554e-05,True,0,0,False,
1500.035336036,observation_credited,executing,cand_0005,10,0.8041422843958014,0.0006925017274763456,5.2743717858846734e-05,True,0,0,False,
1650.0353107550002,observation_credited,executing,cand_0000,11,0.8248537063748087,0.05046971143033561,0.0038436600120051673,True,0,0,False,
1800.0352973630002,observation_credited,executing,cand_0013_safe,12,0.9585771560419855,0.0004487494709604017,3.4174334653722555e-05,True,0,0,False,
1800.0352973630002,mission_complete,complete,,12,0.9585771560419855,0.0,0.0,False,12,0,True,all_execution_gates_passed
