method,time,boresight_x,boresight_y,boresight_z,yaw_rad,pitch_rad,qx,qy,qz,qw
safe_graph_adp,2.0,0.5188530831523677,0.8293182422023364,-0.20741921621129816,1.0117382899813405,0.2089360603734069,-0.05052982786468615,0.0912176603273453,0.4819261321698806,0.8699846424346519
safe_graph_adp,4.0,0.5199673077644521,0.8285986474413415,-0.20750489226658472,1.010382526061758,0.2090236419349851,-0.05048905949612926,0.09129000414158779,0.4813340640985248,0.8703071347251052
safe_graph_adp,6.0,0.5217813937888028,0.8274223773344256,-0.20764485686397735,1.0081725302876765,0.20916672296137165,-0.05042251936725235,0.09140803869852819,0.4803684768663395,0.8708319392598439
safe_graph_adp,8.0,0.5242553717759939,0.8258089962693641,-0.20783600949931638,1.0051533739238783,0.20936213879134324,-0.05033128144974641,0.09156920874577869,0.47904842565410344,0.8715471576430178
safe_graph_adp,10.0,0.527346955752665,0.8237779326621973,-0.208074760404026,1.0013719834742125,0.20960622585182878,-0.05021632530283517,0.09177068249293956,0.4773936153306279,0.8724401403817986
safe_graph_adp,12.0,0.531012043951115,0.8213485956841546,-0.20835712981927473,0.996876761334336,0.20989492267101342,-0.050078561094756134,0.09200940632107261,0.47542428121929803,0.8734976586655722
safe_graph_adp,14.0,0.535205193397415,0.8185404944380613,-0.20867884398167857,0.9917172312166959,0.2102238675258312,-0.049918854691571236,0.09228215720783971,0.4731610790865623,0.874706067570695
safe_graph_adp,16.0,0.5398800673481902,0.8153733521175315,-0.20903542651123397,0.985943707039826,0.210588491413543,-0.04973805181361447,0.09258559253562981,0.4706249827418124,0.8760514596049033
safe_graph_adp,18.0,0.5449898547095567,0.8118672090775934,-0.20942228412519925,0.9796069841343942,0.21098410526991085,-0.049537000439634715,0.0929162970018114,0.46783718791551065,0.8775198077207271
safe_graph_adp,20.0,0.550487660587881,0.8080425101465596,-0.2098347858114301,0.9727580518759968,0.2114059805650912,-0.049316570817831036,0.09327082638502174,0.4648190213959779,0.8790970971040175
safe_graph_adp,22.0,0.5563268670791062,0.8039201728729423,-0.21026833478649345,0.9654478271575117,0.21184942259855533,-0.04907767261695368,0.09364574794702077,0.46159185472870934,0.8807694451955382
safe_graph_adp,24.0,0.5624614633567944,0.7995216346923971,-0.2107184327422033,0.9577269084191105,0.2123098359910144,-0.048821268915696665,0.09403767727259975,0.45817702209383787,0.8825232095417426
safe_graph_adp,26.0,0.5688463441102226,0.794868878188644,-0.2111807360522283,0.9496453502285811,0.21278278203797982,-0.04854838688154835,0.09444331137522949,0.45459574226049476,0.8843450832035596
safe_graph_adp,28.0,0.5754375754400396,0.789984434685086,-0.21165110376979843,0.9412524586246951,0.2132640277481639,-0.04826012512838462,0.09485945792673715,0.45086904475892536,0.8862221775844996
safe_graph_adp,30.0,0.5821926274539698,0.7848913673219381,-0.21212563739855098,0.9325966075872385,0.2137495865408018,-0.047957657863132476,0.09528306050685303,0.44701770060419593,0.8881420926739525
safe_graph_adp,32.0,0.5890705730207146,0.7796132355340848,-0.2126007125602418,0.9237250770723991,0.21423575071824089,-0.04764223603406316,0.09571121981305203,0.4430621580450539,0.8900929748380402
safe_graph_adp,34.0,0.5960322524286022,0.7741740434404265,-0.21307300281356106,0.9146839130519222,0.21471911596191648,-0.04731518577554018,0.09614121082160804,0.4390224838974128,0.8920635624266509
safe_graph_adp,36.0,0.6030404040412564,0.7685981750848937,-0.21353949599530656,0.9055178099250478,0.2151965982186788,-0.04697790450585235,0.09657049594518438,0.4349183110565396,0.8940432195978376
safe_graph_adp,38.0,0.6100597614252466,0.7629103197371689,-0.21399750355623756,0.89627001554433,0.21566544344777214,-0.046631855076303845,0.09699673428804481,0.4307687927703574,0.8960219588853645
safe_graph_adp,40.0,0.6170571178215133,0.757135390577515,-0.21444466344686836,0.8869822589236325,0.21612323078422518,-0.046278558391901974,0.09741778715430129,0.4265925642052408,0.8979904531474285
safe_graph_adp,42.0,0.6240013592202722,0.7512984400697628,-0.2148789371715943,0.8776947004941025,0.21656786974014094,-0.04591958492831307,0.09783172001479572,0.4224077117534793,0.8999400376303677
safe_graph_adp,44.0,0.630863467656664,0.745424575188081,-0.2152986016719061,0.8684459045573418,0.21699759211024053,-0.04555654555832223,0.09823680118181002,0.41823175042700134,0.9018627029571211
safe_graph_adp,46.0,0.6376164966532987,0.7395388754279099,-0.21570223672089298,0.8592728333692272,0.21741093927170252,-0.045191082076323816,0.09863149747586421,0.41408160956388684,0.903751079903875
