method,sequence,candidate_id,viewpoint_x,viewpoint_y,viewpoint_z,boresight_x,boresight_y,boresight_z,yaw_rad,pitch_rad,qx,qy,qz,qw,new_target_count,cumulative_coverage
safe_graph_adp,0,cand_0000,-33.54224661460412,-30.38154565087348,10.206137039557655,0.3830332172328619,0.8660151295338744,-0.3214083849476703,1.1543692373478456,0.3272164127049575,-0.08887781743279642,0.13649320102380913,0.5383799749784933,0.8268115517969095,13,0.07222222222222222
safe_graph_adp,1,cand_0027,0.584410031429691,-31.24581462769256,0.8230480412836024,8.47131254539815e-07,0.9999999999995751,3.636461988656153e-07,1.570795479663642,-3.636461988656233e-07,1.285682921281524e-07,-1.2856840104241715e-07,0.7071064816803451,0.7071070806925998,5,0.1
safe_graph_adp,2,cand_0263,4.979320015981793,-30.101111456751134,-36.64389412442733,0.0,0.9999999999999797,2.0142276176383186e-07,1.5707963267948966,-2.0142276176383324e-07,7.121370036426435e-08,-7.121370036426432e-08,0.7071067811865438,0.707106781186544,3,0.11666666666666667
safe_graph_adp,3,cand_0181,5.065151452973264,5.899295876977585,-50.095757612033914,-0.08715615887720148,-3.7667674595140584e-07,0.9961946616849692,-3.141588331729459,-1.4835294464752649,0.4777142100355178,0.52133381427686,0.521333994220731,-0.47771440640987645,20,0.22777777777777777
safe_graph_adp,4,cand_0344,-2.149501039681054,34.3330217735885,-33.93897713792997,0.0,-0.7933530437347217,0.6087618154884986,-1.5707963267948966,-0.6544989566450633,-0.2272921887490188,-0.2272921887490188,-0.6695806605134892,0.6695806605134892,6,0.2611111111111111
safe_graph_adp,5,cand_0212,-6.504154582846726,48.06838415390501,-50.223446252734206,7.71105019033092e-07,-0.9999999944972231,0.00010490452464463287,-1.5707955556898734,-0.00010490452483704454,-3.708933612781148e-05,-3.70893647275959e-05,-0.7071065075869897,0.70710705284058,24,0.39444444444444443
safe_graph_adp,6,cand_0232,19.321627589464185,46.614732189067794,-39.75387179714283,0.0,-0.9999999944568893,-0.00010529112677711995,-1.5707963267948966,0.00010529112697166675,3.722603492302402e-05,3.722603492302401e-05,-0.7071067802066547,0.7071067802066549,10,0.45
safe_graph_adp,7,cand_0281,38.067537059700825,5.69386992409271,-26.769762533884343,-0.9999999999887901,6.090675960442294e-07,4.695635832372686e-06,3.141592044522197,-4.695635832389942e-06,2.3478179161927055e-06,-7.149899070904803e-13,0.9999999999971976,3.045337980246469e-07,10,0.5055555555555555
safe_graph_adp,8,cand_0309,52.011079627956526,0.13432077182919241,2.826866960760392,-0.9999999996518848,-2.638444436193308e-05,3.026619717986822e-07,-3.1415662691454282,-3.026619717986868e-07,1.5133098588617444e-07,1.9963919890226574e-12,0.9999999999129713,-1.3192222182114947e-05,16,0.5944444444444444
safe_graph_adp,9,cand_0158,34.80264919142245,-26.932138765148977,17.295700132186067,-0.6781622938907141,0.7349121737620342,-1.116294114668546e-06,2.31605548791665,1.1162941146687779e-06,-5.112703658657122e-07,2.2389897408998134e-07,0.916013726395684,0.4011469220302974,4,0.6166666666666667
