target_id,position_x,position_y,position_z,candidate_observable,graph_bit_index,required06,required09,required12
mesh_00000,-20.341997742652893,4.9180366420745845,-0.7444964909553528,False,-1,False,False,False
mesh_00001,-26.521647393032907,0.7326406312361359,12.979334961238782,True,0,True,True,True
mesh_00002,-32.837592594623565,-0.17610902816057203,2.0546548068523407,False,-1,False,False,False
mesh_00003,-9.028126538991927,-3.1127270743250848,-0.0011753550171851868,False,-1,False,False,False
mesh_00004,-14.216049847602841,2.264598515629768,-0.5407004430890083,False,-1,False,False,False
mesh_00005,-14.239999015331266,-1.16928833425045,-0.8291029661893844,True,1,False,False,False
mesh_00006,-0.38656981527805323,5.835825494527817,1.869042747616768,True,2,False,False,False
mesh_00007,-2.3535197818279263,4.104564012289047,0.22354549080133437,True,3,True,True,True
mesh_00008,9.330962873250245,7.5461649930477135,3.675380272269249,True,4,False,False,False
mesh_00009,4.529234293401242,8.736816235780715,17.209527805529614,True,5,False,False,False
mesh_00010,-19.535295100212096,9.276899007558823,16.242956390790642,True,6,False,False,False
mesh_00011,-4.062099220752716,1.6547733294963836,16.30925735224038,True,7,False,False,False
mesh_00012,2.09704647064209,5.883527553081511,16.30925892598927,True,8,False,False,False
mesh_00013,23.780209159753948,-25.602821123609587,41.48279863834381,False,-1,False,False,False
mesh_00014,11.223587341939686,-3.8541084935762595,41.482798088192936,False,-1,False,False,False
mesh_00015,24.66450081573286,-27.133142238102455,39.7583108252287,True,9,True,True,True
mesh_00016,17.709518349511672,-15.08675658584437,39.75830887854099,True,10,False,False,False
mesh_00017,-13.04798180372604,35.27681269582932,39.75829296648502,False,-1,False,False,False
mesh_00018,-8.276963599593145,27.01316868826521,39.75829757928849,False,-1,False,False,False
mesh_00019,-13.48911227155204,36.042552825726695,39.758293051123616,True,11,False,True,True
mesh_00020,0.8032869610975252,11.287395193463254,39.75829741001129,True,12,False,False,False
mesh_00021,7.933295117789029,2.0809756554336865,57.90932074666023,False,-1,False,False,False
mesh_00022,14.25299814206423,-9.104245904220448,50.21904174387455,False,-1,False,False,False
mesh_00023,20.594251972224566,-20.087621893960982,56.18485739409923,False,-1,False,False,False
mesh_00024,14.109605085809799,-8.854202117032079,50.21904005110264,True,13,False,False,True
mesh_00025,21.03049986648159,-20.841546163721485,50.219039797186845,True,14,False,False,False
mesh_00026,0.6616704453051524,11.528686214953638,57.909330903291696,False,-1,False,False,False
mesh_00027,-5.391347179475573,22.01281887851728,48.49454225063324,False,-1,False,False,False
mesh_00028,-8.41712626704057,27.255299675852168,57.90932971835136,True,15,False,False,False
mesh_00029,-2.36426412704864,16.771074506604613,50.21902684748173,True,16,False,False,False
mesh_00030,2.957506936023306,5.1777235523511385,53.22086807250977,False,-1,False,False,False
mesh_00031,3.2403839569987185,4.174221638903577,50.48412208080291,True,17,False,False,False
mesh_00032,6.661985184758273,5.318006451492972,38.944829649589956,False,-1,False,False,False
mesh_00033,6.516484717919547,6.770467838456272,34.313535680472846,True,18,True,True,True
mesh_00034,5.88404477302769,4.039078972912336,31.88264122009277,True,19,False,False,False
mesh_00035,5.422137111863154,3.970179116073748,33.5700035405159,False,-1,False,False,False
mesh_00036,6.549516160488128,12.430870300233364,27.67966214671731,True,20,False,False,False
mesh_00037,4.411905711889267,0.7607688534259798,22.833380466103552,False,-1,False,False,False
mesh_00038,5.410860142318415,3.9303948795795436,24.247655469179154,False,-1,False,False,False
mesh_00039,6.347066839635372,6.707341051399708,12.350338602066039,True,21,False,False,False
mesh_00040,5.877162392139435,6.956931890547275,7.2725315451622,False,-1,False,False,False
mesh_00041,5.892490362450481,7.395647438764571,17.581520062088966,True,22,False,False,False
mesh_00042,4.50641282916069,5.981005654335021,-14.58717375397682,False,-1,False,False,False
mesh_00043,-4.062053515911102,9.02832281589508,-16.17086472377181,False,-1,False,False,False
mesh_00044,2.1207544606924054,1.7784487688541413,-16.170865276567636,False,-1,False,False,False
mesh_00045,-13.372391116619111,5.905034939646721,-16.31811008118093,True,23,False,False,True
mesh_00046,20.213495803531696,-22.33643714329163,-50.219019695520394,False,-1,False,False,False
mesh_00047,12.424065304602395,-8.844382348355607,-48.49453878045082,False,-1,False,False,False
mesh_00048,19.787547194509767,-21.596631396596507,-48.494532644152635,True,24,False,False,False
mesh_00049,13.001116789211641,-9.842548745719453,-50.219025620222084,True,25,False,False,False
mesh_00050,-10.60609378190536,33.95296407461681,-50.21904326736927,False,-1,False,False,False
mesh_00051,1.927724542876368,12.244119846442876,-57.90934330284595,False,-1,False,False,False
mesh_00052,-14.84645485393847,41.299524911876574,-57.9093481272459,True,26,True,True,True
mesh_00053,-7.871667548018455,29.218841159490427,-57.909347450137126,True,27,False,False,False
