depth,scenario_count,success_count,common_success_count,mean_common_graph_cost,mean_common_delta_v,mean_penalized_cost_all,median_online_time_s_all,mean_online_time_s_all,total_online_time_s_all,median_online_time_s_common,mean_safe_action_evaluations_all,mean_base_policy_time_s_all,max_process_peak_rss_bytes,graph_cost_difference_vs_depth3,graph_cost_change_pct_vs_depth3,median_online_time_ratio_vs_depth3,screen_evaluation_ratio_vs_depth3
1,12,9,9,135.71432911804592,16.48369880258316,351.78574683853446,0.02721310398192145,0.021487176908218924,0.2578461228986271,0.028262499952688813,7131.833333333333,0.00038261457909053814,43302912,17.193892749705725,14.507112255535581,0.026960581082977785,0.02212457098775964
2,12,9,9,133.44970044918608,16.207566761341464,350.08727533688955,0.22070445847930387,0.1830809341627173,2.1969712099526078,0.235290625016205,65928.25,0.00036109725867087644,43565056,14.929264080845883,12.596362735662247,0.21865644037368787,0.20452444400323871
3,12,9,9,118.5204363683402,14.38497546119908,338.89032727625516,1.0093663744919468,0.9070362186660835,10.884434623993002,1.1930394179653376,322349.0,0.0003775590885197744,45793280,0.0,0.0,1.0,1.0
4,12,9,9,115.27161054974506,13.988315621548187,336.4537079123088,4.675954999984242,4.352297722240716,52.22757266688859,5.973531791009009,1527408.1666666667,0.0004653958361207818,57737216,-3.2488258185951366,-2.7411524275006593,4.632564664478576,4.738367938683435
5,12,9,9,115.27161054974506,13.988315621548187,336.4537079123088,17.660147916030837,16.676022833349027,200.11227400018834,22.94037191598909,5757081.0,0.000421062499905626,111460352,-3.2488258185951366,-2.7411524275006593,17.49627128694462,17.85977620529302
6,12,9,9,115.27161054974506,13.988315621548187,336.4537079123088,53.01330527101527,51.10080643042844,613.2096771651413,71.66393199993763,17454611.083333332,0.000470190755246828,295387136,-3.2488258185951366,-2.7411524275006593,52.52137044658232,54.148178165073666
