time,rx,ry,rz,vx,vy,vz,qx,qy,qz,qw,tracking_error_norm
0.14781654200000002,0.0,-24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.16515138991168
0.14861048000000002,0.0,-24.0,7.999999987200095,0.0,0.0,-5.119962016881385e-07,0.0,0.0,0.0,1.0,9.165151387118511
0.14905516300000002,8.000150846753831e-06,-23.999996000301703,7.999997948851592,0.0003200090507625611,0.00015998189779221623,-8.10219438622697e-05,0.0,0.0,0.0,1.0,9.165142213598797
0.15876600200000002,3.200120675696339e-05,-23.99998400241365,7.999991885005713,0.0006400362023675538,0.00031992758980359975,-0.00016153189126358298,0.0,0.0,0.0,1.0,9.16511470421237
0.208928928,7.194003591860074e-05,-23.999964040152527,7.9999818117725665,0.0009575199565072447,0.00047855686862193587,-0.00024139743448031882,0.0,0.0,0.0,1.0,9.165068932339521
0.258654123,0.00012775350164015217,-23.999936147325457,7.9999677452622775,0.0012750216645947884,0.0006371502273713878,-0.00032126297692458864,0.0,0.0,0.0,1.0,9.165004971360627
0.308913669,0.00019937890609698816,-23.999900357496212,7.999949701472139,0.0015899974817875332,0.0007944370031666129,-0.0004004886284087844,0.0,0.0,0.0,1.0,9.164922894142165
0.358628376,0.00028675354662139436,-23.999856704219077,7.999927696399458,0.0019049911071296053,0.0009516881426408245,-0.00047971427861142604,0.0,0.0,0.0,1.0,9.164822773550704
0.40878229600000004,0.0003898151564621681,-23.99980522080677,7.999901745929482,0.0022174762304911413,0.0011076424573017417,-0.0005583045201180721,0.0,0.0,0.0,1.0,9.164704681942423
0.459021636,0.0005085014640611555,-23.999745940562587,7.999871865947475,0.002529979017291487,0.001263561417438626,-0.000636894759838157,0.0,0.0,0.0,1.0,9.164568691673596
0.508921649,0.0006427506308460596,-23.999678896550027,7.999838072227411,0.002839990574155401,0.001418193239330224,-0.000714854042377544,0.0,0.0,0.0,1.0,9.164414874593616
0.558977797,0.0007925008134735008,-23.999604121823232,7.999800380543276,0.0031500196508276266,0.0015727899865569791,-0.000792813322629415,0.0,0.0,0.0,1.0,9.164243302551956
0.609043922,0.0009576905986748885,-23.99952164919831,7.999758806558532,0.0034575746535182106,0.0017261092110546924,-0.0008701460666773034,0.0,0.0,0.0,1.0,9.164054046894686
0.6589637700000001,0.0011382585684461537,-23.999431511482072,7.999713365936654,0.0037651470334586997,0.001879393638821975,-0.000947478807940745,0.0,0.0,0.0,1.0,9.163847178967954
0.7089424120000001,0.001334143731966405,-23.99933374124505,7.999664074231351,0.004070262380058666,0.002031410088842082,-0.0010241894036470986,0.0,0.0,0.0,1.0,9.163622769617957
0.758887183,0.0015452850937146157,-23.999228371048535,7.999610946996344,0.004375394962414349,0.002183392018154317,-0.0011008999960760704,0.0,0.0,0.0,1.0,8.919379906208272
0.808616466,0.001763622249778392,-23.999110996806422,7.99955889762863,0.004358097475434568,0.002511577992508778,-0.000981074711950058,0.0,0.0,0.0,1.0,8.91928585598171
0.858933978,0.00198109546078832,-23.9989772132167,7.9995128395252015,0.0043408371602696215,0.0028397659217404875,-0.0008612494246846297,0.0,0.0,0.0,1.0,8.919174346065663
0.9085890950000001,0.002197709602821565,-23.9988270860704,7.999472748819257,0.004323734666680363,0.003165320252888566,-0.0007423788126494348,0.0,0.0,0.0,1.0,8.919045446365036
0.958635051,0.0024134695420188292,-23.9986606811592,7.999438601643976,0.004306669046839475,0.003490876516869853,-0.0006235081982386452,0.0,0.0,0.0,1.0,8.918899226786234
1.008716799,0.0026283801040387373,-23.99847806381427,7.999410374299582,0.004289759530246785,0.0038138175991023517,-0.0005055855772226735,0.0,0.0,0.0,1.0,8.918735756746695
1.0590019860000002,0.0028424461046729532,-23.99827929936744,7.99938804308628,0.004272886591420803,0.004136760592352027,-0.00038766295458884004,0.0,0.0,0.0,1.0,8.91855510566535
1.1091055330000001,0.0030556723196299863,-23.998064452693157,7.999371584470177,0.0042561680541653235,0.004457106694239127,-0.0002706816893462836,0.0,0.0,0.0,1.0,8.918357342475485
1.158978003,0.0032680635148204123,-23.997833588666527,7.9993609749173595,0.0042394858007654326,0.004777454685553265,-0.00015370042323755218,0.0,0.0,0.0,1.0,8.91814253611184
1.208861302,0.003479624416466992,-23.99758677170841,7.999356191058676,0.004222956263760156,0.005095223950799418,-3.7653924035132834e-05,0.0,0.0,0.0,1.0,8.91791075502684
1.25907918,0.003690359741063109,-23.99732406624031,7.999357209524958,0.004206462718755723,0.0054129950841062605,7.83925752877782e-05,0.0,0.0,0.0,1.0,8.91766206767433
1.308986181,0.0039002741658061197,-23.9970455362326,7.999364007110667,0.0041901202213250836,0.005728205532399282,0.0001935108529819246,0.0,0.0,0.0,1.0,8.917396542029126
1.358984583,0.004109372358232091,-23.996751245656288,7.999376560610246,0.004173813426082851,0.006043417827608353,0.0003086291300568409,0.0,0.0,0.0,1.0,8.917114246067438
1.4086636920000002,0.0043176589469693305,-23.996441258034327,7.99939484698065,0.004157656025803156,0.006356087355462754,0.00042282568588215504,0.0,0.0,0.0,1.0,8.916815247289716
1.45992658,0.004525138551052478,-23.99611563689031,7.9994188431788125,0.004141534039927763,0.00666875870930821,0.000537022240354437,0.0,0.0,0.0,1.0,8.916499613197773
1.5088664980000002,0.004731815750993191,-23.995774445302835,7.9994485263230635,0.004125559812468933,0.006978905090902807,0.0006503035293648157,0.0,0.0,0.0,1.0,8.91616741082091
1.558967551,0.0049376951177766155,-23.995417746351134,7.999483873531714,0.004109620713644759,0.007289053277781062,0.0007635848162942386,0.0,0.0,0.0,1.0,8.915818707189768
1.6089971170000001,0.0051427811842462345,-23.99504560267249,7.999524862083364,0.00409382775261339,0.007596694165790901,0.0008759572492628177,0.0,0.0,0.0,1.0,8.915453568865686
1.658958734,0.005347078473785716,-23.99465807690481,7.999571469256594,0.004078069636447703,0.007904336838592572,0.0009883296794283543,0.0,0.0,0.0,1.0,8.915072062411335
1.7086146530000001,0.005550591472014949,-23.994255231247077,7.9996236724891725,0.004062456053231421,0.008209489765015215,0.001099799623150209,0.0,0.0,0.0,1.0,8.914674253923275
1.75901383,0.005753324655160253,-23.993837127898896,7.99968144921885,0.004046877033098828,0.00851464445595142,0.001211269563352731,0.0,0.0,0.0,1.0,8.914260209499377
1.8089829110000002,0.005955282462058646,-23.99340382862395,7.9997447770414745,0.004031440956711934,0.008817326832927614,0.0013218433409455095,0.0,0.0,0.0,1.0,8.913829994774579
1.859064633,0.006156469322219365,-23.99295539518653,7.999813633552874,0.0040160391636001255,0.00912001095435067,0.0014324171143084207,0.0,0.0,0.0,1.0,8.913383675385107
1.9090841070000002,0.006356889628133457,-23.992491888917993,7.999887996505889,0.004000778740530523,0.009420240074979458,0.001542101005510922,0.0,0.0,0.0,1.0,8.91292131650741
1.9588478710000001,0.006556547763029524,-23.992013371150293,7.999967843653343,0.0039855523228872845,0.009720470920197996,0.0016517848917787367,0.0,0.0,0.0,1.0,8.912442983319197
2.0089779500000002,0.00675544807348574,-23.991519902785416,8.000053152903991,0.003970465716944671,0.010018263959346296,0.0017605851332474502,0.0,0.0,0.0,1.0,8.911948740541543
