method,time,rx,ry,rz,vx,vy,vz,ax,ay,az
safe_graph_adp,2.0,18.045236344545565,-41.93581442324367,11.986709684966396,0.04528478827928129,0.06415142097122528,-0.013290309363110217,0.02250059936009096,0.032126889377362744,-0.006629800465991043
safe_graph_adp,4.0,18.179356342525626,-41.74650827677288,11.947441915661399,0.08888136795498167,0.12512184303586862,-0.02597744318776503,0.021514592375976575,0.030636949925618693,-0.006328246462364233
safe_graph_adp,6.0,18.398957076049943,-41.43842692522725,11.883403173434978,0.13076324654886107,0.18292791934926497,-0.0380612717156687,0.020522183292601942,0.02915148710371611,-0.006026660058369711
safe_graph_adp,8.0,18.70058270179562,-41.01788224921265,11.795800192976685,0.1709039911727831,0.23758648074489183,-0.04954167136564229,0.019523377191061675,0.027670529872656648,-0.005725042798117748
safe_graph_adp,10.0,19.08072457065028,-40.49115229026141,11.685839949960464,0.20927722899157503,0.2891145354175118,-0.060418524734572376,0.018518179185202918,0.026194107170373522,-0.005423396225876606
safe_graph_adp,12.0,19.535821348280347,-39.86448089642866,11.55472964868762,0.24585664768531817,0.3375292686039255,-0.07069172059831226,0.017506594421599072,0.024722247911583346,-0.005121721886064617
safe_graph_adp,14.0,20.06225913662338,-39.14407736852952,11.40367670972802,0.28061599591106523,0.3828480422613376,-0.08036115391253582,0.01648862807952351,0.02325498098763809,-0.004820021323242284
safe_graph_adp,16.0,20.656371596303224,-38.336116107022,11.233888757559646,0.3135290837639798,0.4250883947433387,-0.08942672581354381,0.015464285370923009,0.021792335266377128,-0.0045182960821043726
safe_graph_adp,18.0,21.314440069966892,-37.446736259540224,11.046573608206572,0.34456978323789506,0.4642680404735061,-0.09788834361902277,0.014433571540391097,0.020334339591979497,-0.004216547707471995
safe_graph_adp,20.0,22.032693706541963,-36.48204136908294,10.842939256875482,0.37371202868528647,0.5004048696166267,-0.10574592082875643,0.013396491865141188,0.018881022784816157,-0.003914777744284716
safe_graph_adp,22.0,22.807309586413336,-35.44809902286188,10.624193865590799,0.4009298172766555,0.5335169477475435,-0.11299937712528967,0.012353051654979564,0.017432413641302456,-0.003612987737592623
safe_graph_adp,24.0,23.634412847518163,-34.35094050181483,10.391545750828545,0.4261972094593195,0.5636225155176311,-0.11964863837454492,0.011303256252278189,0.01598854093375071,-0.0033111792325484276
safe_graph_adp,26.0,24.510076812357767,-33.196560430788125,10.146203371149012,0.44948832941560407,0.5907399883189002,-0.12569363662639127,0.010247111031947365,0.01454943341022286,-0.003009353774399555
safe_graph_adp,28.0,25.43032311592534,-31.990916429393277,9.889375314828342,0.4707773655204343,0.6148879559457364,-0.13113431011516583,0.009184621401408202,0.013115119794383304,-0.002707512908480228
safe_graph_adp,30.0,26.391121834548215,-30.739928763542522,9.622270287489108,0.4900385707983201,0.6360851822542758,-0.13597060326014782,0.00811579280056492,0.011685628785351808,-0.002405658180203556
safe_graph_adp,32.0,27.38839161564351,-29.449479997667954,9.346097099730004,0.507246263379732,0.6543506048194186,-0.1402024666659851,0.007040630701777047,0.010260989057556609,-0.0021037911350536235
safe_graph_adp,34.0,28.4179998083859,-28.125414647628993,9.06206465475472,0.5223748269568639,0.6697033345894868,-0.14382985712307317,0.005959140609831327,0.008841229260587563,-0.0018019133185775797
safe_graph_adp,36.0,29.475762595286312,-26.773538834312898,8.771381936000104,0.5353987112387776,0.6821626555385263,-0.1468527376078867,0.004871328061913596,0.007426378019049486,-0.0015000262763777182
safe_graph_adp,38.0,30.557445124680264,-25.39961993793303,8.475257994763728,0.5462924324059264,0.6917480243162576,-0.14927107728326353,0.0037771986275804102,0.006016463932415573,-0.0011981315541035684
safe_graph_adp,40.0,31.658761644124652,-24.009386253029543,8.17490193783091,0.5550305735640532,0.6984790698956789,-0.15108485149864126,0.002676757908730534,0.0046115155748810005,-0.0008962306974439858
safe_graph_adp,42.0,32.77537563470169,-22.608526644177253,7.8715229151013215,0.5615877851974582,0.7023755932183233,-0.15229404179024625,0.001570011539576245,0.0032115614952165925,-0.0005943252521192306
safe_graph_adp,44.0,33.90289994622875,-21.202690202405293,7.566330107215263,0.565938785621635,0.7034575668371739,-0.15289863588123512,0.0004569651866144892,0.0018166302166226997,-0.00029241676387305356
safe_graph_adp,46.0,35.036896933372866,-19.7974859023333,7.260532713179708,0.5680583614352671,0.7017451345572396,-0.1528986276817888,-0.0006623754514020941,0.00042675023658310406,9.493221535208755e-06
safe_graph_adp,48.0,36.17287859266853,-18.398482260028782,6.955339937994197,0.5679213679715848,0.6972586110737963,-0.152294017289159,-0.0017880046434944087,-0.0009580499732808393,0.0003114031583385593
safe_graph_adp,50.0,37.30630670043763,-17.011206991590342,6.651960980276698,0.5655027297490757,0.6900184816082935,-0.1510848109876673,-0.002919916626486198,-0.002337741967356012,0.0006133115007702465
safe_graph_adp,52.0,38.4325929516101,-15.641146672461412,6.3516050198895035,0.5607774409215464,0.680045401541933,-0.14927102124865646,-0.004058105605033568,-0.003712297326183139,0.0009152167030716824
safe_graph_adp,54.0,39.54709909944407,-14.293746397479152,6.055481205565283,0.5537205657275308,0.6673601960469208,-0.14685266673039468,-0.005202565751654668,-0.005081687656602317,0.0012171172195003582
safe_graph_adp,56.0,40.6451370961442,-12.974409441663179,5.76479864253337,0.5443072389390412,0.6519838597153952,-0.14382977227793184,-0.00635329120675952,-0.006445884591898385,0.0015190115043377563
safe_graph_adp,58.0,41.721969234376786,-11.688496921748753,5.480766380146383,0.5325126663096582,0.6339375561860369,-0.14020236892290866,-0.007510276078680002,-0.007804859791946146,0.0018208980118972632
safe_graph_adp,60.0,42.77280828968045,-10.441327458469065,5.204593399507277,0.5183121250219557,0.6132426177683605,-0.13597049388331806,-0.008673514443700044,-0.00915858494335549,0.0021227751965320844
safe_graph_adp,62.0,43.79281766377096,-9.23817683959125,4.937488601096922,0.5016809641342567,0.5899205450646946,-0.13113419056321923,-0.009843000346085937,-0.010507031759616335,0.0024246415126431614
safe_graph_adp,64.0,44.77711152873895,-8.084277683710752,4.6806607924022945,0.4825946050267163,0.5639930065898503,-0.12569350855240405,-0.011018727798116837,-0.011850171981243472,0.002726495414687078
