method,sooa_id,seed_view_id,sample_count,visible_target_count,visible_target_ids,delta_v,min_clearance,peak_input,max_speed,terminal_error,passive_margin,passive_safe,feasible,rejection_reason
safe_graph_adp,0,cand_0001,45,5,mesh_00000;mesh_00001;mesh_00002;mesh_00003;mesh_00005,0.8489645795463944,23.800920404685286,0.018477388520586193,0.42253142824232504,1.7130564986077266e-14,23.04124052301861,True,True,
safe_graph_adp,1,cand_0003,45,5,mesh_00001;mesh_00002;mesh_00003;mesh_00044;mesh_00046,0.4009443276166517,23.39734453874651,0.008714021436825233,0.2005842677474291,2.161145436330964e-14,9.236051087893529,True,True,
safe_graph_adp,2,cand_0024,45,5,mesh_00023;mesh_00036;mesh_00037;mesh_00038;mesh_00043,2.517676406982806,17.835719230731435,0.05473247092103922,1.258368173675018,1.6042626665492003e-14,17.832982744227678,True,True,
safe_graph_adp,3,cand_0019,45,5,mesh_00024;mesh_00026;mesh_00027;mesh_00028;mesh_00029,1.5522224605465316,50.23548065418611,0.033686994912040864,0.7747785495223797,5.772476473450155e-14,49.797995118434685,True,True,
