method,sequence,candidate_id,viewpoint_x,viewpoint_y,viewpoint_z,new_target_count,cumulative_coverage,score,transfer_delta_v,transfer_min_clearance,transfer_tracking_error,transfer_dynamic_cost,coverage_gain_area,coverage_per_delta_v,transfer_feasible,sooa_id,seed_view_id,selected_inspection_action,sooa_visible_target_count,sooa_delta_v,sooa_min_clearance,sooa_peak_input,sooa_passive_margin,sooa_passive_safe,adp_estimated_cost_to_go,adp_safe_action_count,adp_shield_rejections
safe_graph_adp,0,cand_0012,-0.8662280960933155,5.883517442184143,50.17988047095117,12,0.13333333333333333,-334.8124779829648,1.9123747280198764,18.58217039717129,34.416397060164314,15.756825110928958,2314.32992347033,1210.1864187813487,True,0,cand_0012,SOOA,12,1.9123747280198764,18.58217039717129,0.041550967279271864,17.72769147546382,True,334.8124779829648,3,9
safe_graph_adp,1,cand_0015,16.09830129444599,48.03037917015,41.478375860508145,13,0.2777777777777778,-300.2711671721017,1.5459491043427545,31.88502856742234,27.772011814227522,12.728707648274725,2507.190750426191,1621.7809133452029,True,1,cand_0015,SOOA,13,1.5459491043427545,31.88502856742234,0.033569298681213396,30.942036940382984,True,300.2711671721017,4,3
safe_graph_adp,2,cand_0058,28.257025352716443,38.614731344920116,-39.754714018188714,9,0.37777777777777777,-225.87024775793174,2.753781242825601,33.63453242936491,49.62952915944278,22.70222146282771,1735.7474426027475,630.314207827827,True,2,cand_0058,SOOA,9,2.753781242825601,33.63453242936491,0.05985927120567667,32.70247267235187,True,225.87024775793174,2,10
safe_graph_adp,3,cand_0044,5.083574832422295,1.8301748904979456,-50.04148705788724,10,0.4888888888888889,-182.5285084716311,1.4928169890587786,38.594796017691145,26.821506805521658,12.29195617028779,1928.6082695586083,1291.9254561636494,True,3,cand_0044,SOOA,10,1.4928169890587786,38.594796017691145,0.03245140840115386,36.41405894193804,True,182.5285084716311,4,2
safe_graph_adp,4,cand_0065,-14.566330230236053,48.069904560661854,-32.07242113694792,6,0.5555555555555556,-158.31695749753627,1.782375727160988,36.1391023773921,32.034251918936604,14.678043981213527,1157.164961735165,649.2261671327436,True,4,cand_0065,SOOA,7,1.782375727160988,36.1391023773921,0.03870905597364593,35.04285162185326,True,158.31695749753627,4,4
safe_graph_adp,5,cand_0007,-0.38656135084674204,47.83582549452614,1.869051073393751,5,0.6111111111111112,-134.09918318165472,1.226296416889074,34.87548926213688,22.08199856817747,10.106241826717316,964.3041347793041,786.3548498539985,True,5,cand_0007,SOOA,6,1.226296416889074,34.87548926213688,0.02665075508864925,32.019727922363145,True,134.09918318165472,4,4
safe_graph_adp,6,cand_0075,29.057205196336707,37.70409602829488,1.486281695834873,3,0.6444444444444445,-127.34474621923243,1.0427965126837107,30.67525986569497,18.695462078851392,8.579165737611804,578.5824808675825,554.8373760654027,True,6,cand_0075,SOOA,7,1.0427965126837107,30.67525986569497,0.02269312578382279,14.477751041808485,True,127.34474621923243,4,3
safe_graph_adp,7,cand_0021,-2.224775711377706,46.57688588512727,39.75388600862191,5,0.7,-122.95990041252219,1.6767324876160608,31.193154186137114,30.145787075682176,13.809904111703094,964.3041347793041,575.1091136489694,True,7,cand_0021,SOOA,12,1.6767324876160608,31.193154186137114,0.036471564259467446,31.193154186137114,True,122.95990041252219,4,4
safe_graph_adp,8,cand_0030,4.143465138077736,-30.61234038114548,53.22086807250977,2,0.7222222222222222,-101.45738360384912,2.6257709556937736,28.398777621094663,47.19703609099183,21.624321274847397,385.72165391172166,146.89843875198451,True,8,cand_0030,SOOA,2,2.6257709556937736,28.398777621094663,0.05699026049414322,26.703162081040496,True,101.45738360384912,3,9
safe_graph_adp,9,cand_0082,18.10868760383598,-31.920621285655468,0.4859411843203348,2,0.7444444444444445,-89.08263612045695,1.8181352112204037,21.231135476904097,32.756978375917114,14.9869321637671,385.72165391172166,212.15234792840855,True,9,cand_0082,SOOA,2,1.8181352112204037,21.231135476904097,0.03955235958550742,21.231135476904097,True,89.08263612045695,3,9
safe_graph_adp,10,cand_0079,22.848791811399927,-13.194116716119785,-37.42292863443598,3,0.7777777777777778,-95.2048938187302,1.4185044545646686,19.568609171742175,25.541038656643337,11.689909231019143,578.5824808675825,407.88203308472964,True,10,cand_0079,SOOA,8,1.4185044545646686,19.568609171742175,0.030819302148010264,19.568609171742175,True,95.2048938187302,4,6
safe_graph_adp,11,cand_0005,-14.216049847602841,-36.53834050628878,15.53200695987428,5,0.8333333333333334,-80.81709858306995,2.293735156237589,15.277337460446283,41.256020021886386,18.894759385127493,964.3041347793041,420.4077930082613,True,11,cand_0005,SOOA,6,2.293735156237589,15.277337460446283,0.049824713821909866,10.766635752729243,True,80.81709858306995,4,3
safe_graph_adp,12,cand_0038,12.035514495080317,-29.406669373235395,25.116045767444415,1,0.8444444444444444,-82.14256537656271,0.9654978899632649,26.911564980856582,17.315156755901754,7.94421766587864,192.86082695586083,199.75271718429002,True,12,cand_0038,SOOA,1,0.9654978899632649,26.911564980856582,0.020975363867904814,26.911564980856582,True,82.14256537656271,3,9
safe_graph_adp,13,cand_0016,29.06902539737309,40.031036391104735,39.75474212287525,1,0.8555555555555555,-85.08842155082627,2.4386513607202276,10.900390127681101,43.81436727771469,20.07984291358978,192.86082695586083,79.08503448352765,True,13,cand_0016,SOOA,8,2.4386513607202276,10.900390127681101,0.052921831284288255,10.273866453521611,True,85.08842155082627,3,8
safe_graph_adp,14,cand_0009,47.418921929442895,25.245130518419753,3.9077469340009117,1,0.8666666666666667,-68.17425052938245,1.430499624126764,22.47480324288076,25.75289663240162,11.78801951446611,192.86082695586083,134.82060652311674,True,14,cand_0009,SOOA,8,1.430499624126764,22.47480324288076,0.03116579492439173,16.28470938812675,True,68.17425052938245,4,3
safe_graph_adp,15,cand_0060,15.28630124926567,38.61575322329179,-41.47921715915113,1,0.8777777777777778,-53.93137153418368,1.9092983508926828,22.44869804891602,34.33485382147582,15.72676544232906,192.86082695586083,101.01136203552981,True,15,cand_0060,SOOA,9,1.9092983508926828,22.44869804891602,0.04155501991379499,22.448573825762608,True,53.93137153418368,4,3
