profile_id,split,method,scenario_count,success_count,success_rate,required_visibility_available_count,mean_required_coverage,mean_penalized_cost,mean_successful_cost,mean_successful_delta_v,mean_successful_background_coverage,mean_successful_whole_sample_coverage,median_online_time_s,unsafe_selected_edges,successful_base_bound_violations
required09,ood,incumbent,30,0,0.0,9,0.45925925925925926,851.0590761020912,nan,nan,nan,nan,0.00032795852166600525,0,0
required09,ood,one_step_adp,30,8,0.26666666666666666,9,0.26666666666666666,770.6937366732368,140.10151252463814,17.012396266490008,0.743966704446007,0.325,0.003661312541225925,0,0
required09,ood,seeded_local_search,30,8,0.26666666666666666,9,0.26666666666666666,768.2243812186454,130.8414295699201,15.888288968910357,0.7419602415856392,0.32361111111111107,0.0037133750156499445,0,0
required09,ood,adaptive_rollout_adp,30,9,0.3,9,0.3,736.2253211084869,120.75107036162315,14.655696798078518,0.7396191752606562,0.33209876543209876,0.17471479196683504,0,0
required09,ood,coverage_only80,30,0,0.0,9,0.5,826.3646596207514,nan,nan,nan,nan,0.17697172999032773,0,0
required09,test,incumbent,50,0,0.0,43,0.2733333333333333,911.2424267236495,nan,nan,nan,nan,0.000359437515726313,0,0
required09,test,one_step_adp,50,43,0.86,43,0.86,256.91286815367096,135.94519552752436,16.51171352067165,0.6626060109887828,0.30439276485788114,0.024033854017034173,0,0
required09,test,seeded_local_search,50,43,0.86,43,0.86,251.7068637172948,129.8917019968544,15.777135745330057,0.6626060109887828,0.30439276485788114,0.02471535454969853,0,0
required09,test,adaptive_rollout_adp,50,43,0.86,43,0.86,239.45112112942743,115.64083852259003,14.033367225846476,0.7232208781244271,0.33204134366925064,1.026889457978541,0,0
required09,test,coverage_only80,50,1,0.02,43,0.6688888888888889,754.0515026809985,136.61358873877077,16.572732195729923,0.818277721182517,0.3888888888888889,0.5158625209878664,0,0
