profile_id,split,scenario_id,scenario_seed,method,adaptive_rollout_depth,success,native_goal_success,required_coverage,required_target_count,required_covered_count,missing_required_ids,coverage,covered_target_count,inspectable_sample_coverage,whole_sample_coverage,graph_cost,penalized_cost,total_delta_v,selected_count,mission_duration_s,online_time_s,base_policy_time_s,safe_action_evaluations,shield_rejections,min_clearance,peak_input,unsafe_selected_edges,required_visibility_available,required_visibility_upper_bound,available_node_count,base_success,base_graph_cost,cost_exceeds_successful_base,policy_source,route_node_ids,covered_target_mask,base_route_node_ids,seed_route_node_ids,seed_success,seed_graph_cost,seed_time_s
required09,test,required09_test_042,202609360042,coverage_only80,3,False,True,0.6666666666666666,9,6,mesh_00007;mesh_00052;mesh_00055,0.816016988897279,34,0.8292682926829268,0.37777777777777777,101.69566569364993,768.3623323603166,12.320328346937215,11,990.0,0.5178000420564786,0.000514709041453898,184993,100094,2.80753987333066,0.04253615042051259,0,True,1.0,23,False,124.31870357233679,False,adaptive_rollout_adp,cand_0005;cand_0010;cand_0070;cand_0068;cand_0021;cand_0015;cand_0009;cand_0066;cand_0055;cand_0051;cand_0062,2198677618679,cand_0005;cand_0010;cand_0013;cand_0070;cand_0068;cand_0021;cand_0015;cand_0055;cand_0051;cand_0062;cand_0063;cand_0045,,False,nan,0.0
required09,test,required09_test_043,202609360043,incumbent,3,False,False,0.2222222222222222,9,2,mesh_00015;mesh_00019;mesh_00033;mesh_00052;mesh_00055;mesh_00059;mesh_00079,0.21712138150070714,9,0.21951219512195122,0.1,40.48636682821154,929.3752557171005,4.903459065925027,5,450.0,0.00035458197817206383,0.0003544159699231386,123,103,1.9085174912558591,0.0384879681927742,0,True,1.0,23,False,40.48636682821154,False,deterministic_base,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,1099512807883,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,,False,nan,0.0
required09,test,required09_test_043,202609360043,one_step_adp,1,True,True,1.0,9,9,,0.740075164747525,30,0.7317073170731707,0.3333333333333333,141.42658950077168,141.42658950077168,17.175025867001455,9,810.0,0.0340874990215525,0.0003643329837359488,9810,5863,3.043484822370052,0.05858419313244918,0,True,1.0,23,False,40.48636682821154,False,adaptive_rollout_adp,cand_0015;cand_0027;cand_0009;cand_0052;cand_0062;cand_0045;cand_0066;cand_0005;cand_0000,1065137602107,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,cand_0015;cand_0027;cand_0009;cand_0052;cand_0062;cand_0045;cand_0066;cand_0005;cand_0000,True,141.42658950077168,0.033716000034473836
required09,test,required09_test_043,202609360043,seeded_local_search,3,True,True,1.0,9,9,,0.740075164747525,30,0.7317073170731707,0.3333333333333333,126.26243195504061,126.26243195504061,15.329187070980835,9,810.0,0.03055108297849074,0.000801415997557342,550,93,3.1132871756951523,0.0585962290483111,0,True,1.0,23,False,40.48636682821154,False,reference_improved,cand_0000;cand_0005;cand_0066;cand_0052;cand_0062;cand_0045;cand_0009;cand_0015;cand_0027,1065137602107,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,cand_0015;cand_0027;cand_0009;cand_0052;cand_0062;cand_0045;cand_0066;cand_0005;cand_0000,True,141.42658950077168,0.026760292006656528
required09,test,required09_test_043,202609360043,adaptive_rollout_adp,3,True,True,1.0,9,9,,0.740075164747525,30,0.7317073170731707,0.3333333333333333,118.47958257423159,118.47958257423159,14.379198452297974,9,810.0,0.999098707921803,0.0003653749590739608,345338,185527,2.80753987333066,0.059201291408881127,0,True,1.0,23,False,40.48636682821154,False,adaptive_rollout_adp,cand_0005;cand_0000;cand_0070;cand_0068;cand_0019;cand_0015;cand_0052;cand_0062;cand_0045,1408739180127,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,,False,nan,0.0
required09,test,required09_test_043,202609360043,coverage_only80,3,False,True,0.8888888888888888,9,8,mesh_00007,0.8042803453751768,33,0.8048780487804879,0.36666666666666664,106.96855133148746,662.524106887043,12.965554369807004,11,990.0,0.6536210000049323,0.0005050000036135316,226442,138175,1.0871041962737076,0.0585962290483111,0,True,1.0,23,False,124.82869306113109,False,adaptive_rollout_adp,cand_0005;cand_0066;cand_0052;cand_0055;cand_0062;cand_0063;cand_0045;cand_0068;cand_0009;cand_0015;cand_0027,1099509923383,cand_0005;cand_0010;cand_0013;cand_0070;cand_0068;cand_0015;cand_0055;cand_0051;cand_0062;cand_0063;cand_0066,,False,nan,0.0
required09,test,required09_test_044,202609360044,incumbent,3,False,False,0.2222222222222222,9,2,mesh_00015;mesh_00019;mesh_00033;mesh_00052;mesh_00055;mesh_00059;mesh_00079,0.2579117410290335,9,0.21951219512195122,0.1,40.48636682821154,929.3752557171005,4.903459065925027,5,450.0,0.0003718339721672237,0.00037162500666454434,123,102,1.9085174912558591,0.0384879681927742,0,True,1.0,23,False,40.48636682821154,False,deterministic_base,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,1099512807883,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,,False,nan,0.0
required09,test,required09_test_044,202609360044,one_step_adp,1,True,True,1.0,9,9,,0.6460826785851783,27,0.6585365853658537,0.3,134.8970267938332,134.8970267938332,16.385268295751978,8,720.0,0.02334525005426258,0.00033504102611914277,8542,5001,3.0815624836831237,0.059201291408881127,0,True,1.0,23,False,40.48636682821154,False,adaptive_rollout_adp,cand_0021;cand_0015;cand_0052;cand_0062;cand_0045;cand_0066;cand_0005;cand_0000,1065135504907,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,cand_0021;cand_0015;cand_0052;cand_0062;cand_0045;cand_0066;cand_0005;cand_0000,True,134.8970267938332,0.023004124988801777
required09,test,required09_test_044,202609360044,seeded_local_search,3,True,True,1.0,9,9,,0.6460826785851783,27,0.6585365853658537,0.3,129.60460091435027,129.60460091435027,15.743617807385604,8,720.0,0.024561417056247592,0.0003860840224660933,261,51,3.2643887457740823,0.059205790001008125,0,True,1.0,23,False,40.48636682821154,False,reference_improved,cand_0000;cand_0005;cand_0066;cand_0045;cand_0062;cand_0052;cand_0015;cand_0021,1065135504907,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,cand_0021;cand_0015;cand_0052;cand_0062;cand_0045;cand_0066;cand_0005;cand_0000,True,134.8970267938332,0.02291445794980973
required09,test,required09_test_044,202609360044,adaptive_rollout_adp,3,True,True,1.0,9,9,,0.6611351786493437,30,0.7317073170731707,0.3333333333333333,113.47191958718973,113.47191958718973,13.768885294460114,9,810.0,0.9995613759965636,0.00046195898903533816,357428,191701,2.80753987333066,0.059201291408881127,0,True,1.0,23,False,40.48636682821154,False,adaptive_rollout_adp,cand_0005;cand_0000;cand_0070;cand_0068;cand_0021;cand_0015;cand_0052;cand_0062;cand_0045,1408739180127,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,,False,nan,0.0
required09,test,required09_test_044,202609360044,coverage_only80,3,False,True,0.5555555555555556,9,5,mesh_00007;mesh_00052;mesh_00055;mesh_00079,0.8079888392284237,31,0.7560975609756098,0.34444444444444444,88.75181401900402,810.9740362412263,10.74910407983635,10,900.0,0.48024925094796345,0.0005562089500017464,166519,85715,2.80753987333066,0.04253615042051259,0,True,1.0,23,False,108.24440515737051,False,adaptive_rollout_adp,cand_0005;cand_0010;cand_0070;cand_0068;cand_0021;cand_0015;cand_0009;cand_0066;cand_0055;cand_0051,1898029907959,cand_0005;cand_0010;cand_0013;cand_0070;cand_0068;cand_0021;cand_0015;cand_0055;cand_0066;cand_0051,,False,nan,0.0
