scenario_id,split,scenario_seed,method,action,candidate_id,sample,time,rx,ry,rz,vx,vy,vz,ax,ay,az
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,0,3.0,-0.045494680385305825,-35.007913314698484,10.017839947929797,-0.030335804010919072,-0.0052412222481652586,0.011893287202371691,-0.010105907869716279,-0.0017813881922581704,0.003977236584168219
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,1,6.0,-0.17891655809490087,-35.03060676629083,10.070131243924887,-0.05861759134599459,-0.009855748439651188,0.02296754332818552,-0.009409742319340627,-0.0016388081060305123,0.0037042713710665085
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,2,9.0,-0.39409596144769693,-35.066242473790766,10.154416409007444,-0.08484030089816558,-0.013871722422930744,0.033222512784779515,-0.008712950147675473,-0.0015009558620913649,0.0034312634851161195
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,3,12.0,-0.6848482515927743,-35.11306705782084,10.268237225730683,-0.10899901568519574,-0.01731733459236141,0.04265795885265042,-0.008015539381699391,-0.0013678356868310072,0.003158216071341551
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,4,15.0,-1.0449742551298515,-35.16941177853673,10.409134794804535,-0.13108896301320858,-0.02022082074574153,0.051273663689546785,-0.007317518055517089,-0.0012394517521267428,0.0028851322752226558
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,5,18.0,-1.4682606972157852,-35.23369267012224,10.574649591733104,-0.1511055146371721,-0.022610460940622697,0.05906942833423582,-0.006618894210266876,-0.0011158081752948405,0.0026120152426584086
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,6,21.0,-1.9484806351479445,-35.30441067185152,10.762321523462939,-0.1690441869183299,-0.02451457834940081,0.06604507270994404,-0.00591967589402802,-0.0009969090190431041,0.0023388681199306635
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,7,24.0,-2.479393892415295,-35.38015175571468,10.969689985041134,-0.18490064097857598,-0.025961538113208445,0.07220043562747168,-0.005219871161728045,-0.0008827582914240718,0.002065694053667913
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,8,27.0,-3.054747493208018,-35.45958705060332,11.194293916282295,-0.19867068285176964,-0.026979746194631136,0.0775353747879807,-0.004519488075049918,-0.0007733599457888406,0.0017924961908090346
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,9,30.0,-3.6682760973764816,-35.54147296305249,11.433671858443361,-0.21035026363198825,-0.02759764822927028,0.08204976678545645,-0.003818534702339205,-0.0006687178807415254,0.0015192776785670405
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,10,33.0,-4.313702435830374,-35.62465129453566,11.685362010905342,-0.2199354796187147,-0.02784372837617534,0.08574350710884297,-0.0031170191185111063,-0.0005688359400943498,0.0012460416643928227
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,11,36.0,-4.984737746368793,-35.70804935530925,11.946902287860954,-0.22742257245895672,-0.027746508167168053,0.08861651014385179,-0.002414949404957441,-0.00047371791282336184,0.0009727912959388929
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,12,39.0,-5.6750822099321,-35.790680074803554,12.215830375007204,-0.2328079292862953,-0.02733454535508139,0.09066870917444425,-0.0017123336494535473,-0.00038336753302478844,0.0006995297210231222
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,13,42.0,-6.378425387266288,-35.87164210855679,12.489683786241928,-0.23608808285685975,-0.02663643276093599,0.09190005638398739,-0.0010091799460651178,-0.0002977884798720166,0.00042626008759247963
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,14,45.0,-7.088446655990688,-35.95011994168908,12.765999920363301,-0.2372597116822264,-0.025680797120076874,0.09231052285608328,-0.0003054963950549489,-0.00021698437757321231,0.00015298554368676966
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,15,48.0,-7.798815648059728,-36.02538398891331,13.04231611777136,-0.23631964015923854,-0.024496297927293208,0.09190009857507184,0.00039870889721036645,-0.00014095879532956734,-0.00012029076259763814
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,16,51.0,-8.503192687609552,-36.09679069107988,13.316169717170528,-0.23326483869674502,-0.023111626280943917,0.09066879242620711,0.001103427818353828,-6.971524729418408e-05,-0.0003935656831440715
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,17,54.0,-9.195229229180212,-36.163782608252355,13.58509811227219,-0.22809242383925504,-0.021555503726112007,0.08861663219550703,0.0018086522500814822,-3.2571925315926648e-06,-0.0006668360698518197
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,18,57.0,-9.86856829630421,-36.22588850931115,13.846638808496323,-0.2207996583875066,-0.019856681096810422,0.08574366456927664,0.002514374068275937,5.8411965022097734e-05,-0.0009400987746724025
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,19,60.0,-10.516844920452101,-36.28272345808243,14.098329479671206,-0.21138395151594624,-0.018043937357262285,0.08204995513330478,0.00322058514308996,0.00011528887659841165,-0.0012133506496458356
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,20,63.0,-11.13368658032591,-36.33398889598951,14.33770802473023,-0.1998428588871178,-0.01614607844227843,0.07753558837173427,0.00392727733904013,0.00016737024863508446,-0.0014865885469368904
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,21,66.0,-11.712713641491067,-36.37947272122407,14.562312624404834,-0.1861740827629578,-0.014191936096755123,0.07220066766560562,0.004634442515100557,0.00021465284281400426,-0.001759809318871363
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,22,69.0,-12.247539796337586,-36.41904936443451,14.769681797912575,-0.1703754721129953,-0.01221036671431486,0.06604531529107421,0.0053420725247966625,0.0002571334760985175,-0.0020330098179723293
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,23,72.0,-12.731772504361203,-36.45267986092905,14.957354459639365,-0.15244502271945404,-0.010230250175113207,0.05906967241730107,0.006050159216299033,0.0002948090207700955,-0.002306186896996409
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,24,75.0,-13.15901343275517,-36.480411919391024,15.122869975814886,-0.1323808772792545,-0.008280488682834602,0.051273899104017244,0.006758694432517326,0.00032767640446436787,-0.002579337408970017
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,25,78.0,-13.5228588973034,-36.50237998710387,15.263768221180213,-0.11018132550291426,-0.006390005600900103,0.04265817429876176,0.007467670011194229,0.0003557326102065137,-0.002852458207225618
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,26,81.0,-13.816900303565657,-36.518805311683735,15.377589635646661,-0.08584480421034418,-0.004587744287910035,0.03322269583379328,0.008177077784999508,0.0003789746764460184,-0.003125546145437976
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,27,84.0,-14.03472458834547,-36.52999599931719,15.461875280944877,-0.05936989742353861,-0.00290266693234456,0.02296768042267547,0.008886909581624074,0.0003973996970907894,-0.003398598077660402
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,28,87.0,-14.169914661431484,-36.53634706950199,15.514166897263195,-0.030755336456157724,-0.0013637533865451532,0.011893363656536107,0.00959715722387414,0.0004110048215406346,-0.0036716108583609874
validation_000,validation,10731,adaptive_rollout_adp,1,cand_0005,29,90.0,-14.216049847602848,-36.53834050628877,15.532006959874282,-4.5102810375396984e-17,-1.3660947373317356e-17,4.85722573273506e-17,0.010307812529765415,0.0004197872547201009,-0.00394458134245885
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,0,93.0,-14.027260675817596,-36.388769922929555,15.426174095719881,0.12597246175747964,0.09957120133305328,-0.07055517503700531,0.04193235549207362,0.033332793626698214,-0.02349855601263482
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,1,96.0,-13.472317025821766,-35.95244621541487,15.11596372853322,0.24409467741595087,0.1911776309351716,-0.13625153788767608,0.039097889351480355,0.03095403969419842,-0.021879219771023035
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,2,99.0,-12.574910455630848,-35.25309663737585,14.615954578299469,0.35427284780089047,0.27493076930194854,-0.19708757559820436,0.03624869234304725,0.028594576701089277,-0.020259631482911145
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,3,102.0,-11.35901304578551,-34.31411259836309,13.940729735925109,0.45641375758858305,0.35094303133094595,-0.2530618871776537,0.03338479728924887,0.026254504532139823,-0.018639809805799944
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,4,105.0,-9.848875642375921,-33.15854686760316,13.104876327312692,0.5504247789197485,0.41932776167598534,-0.30417318362216406,0.030506237181879812,0.023933922848738687,-0.017019773399878802
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,5,108.0,-8.06902608924386,-31.80911079173415,12.122985177365878,0.6362138750007013,0.48019923007350707,-0.35042028793722196,0.027613045181674685,0.02163293108774597,-0.015399540927810748
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,6,111.0,-6.044267449400147,-30.288171526603985,11.009650473930577,0.7136896036919704,0.5336726266410904,-0.3918021351579955,0.024705254617926088,0.01935162846034777,-0.013779131054517491
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,7,114.0,-3.799676215695114,-28.617749283214746,9.779469431677976,0.7827611210843098,0.5798640571482272,-0.4283177723677334,0.021782898988100673,0.017090113950913265,-0.012158562446964383
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,8,117.0,-1.3606005107800416,-26.819514587896215,8.447041955935285,0.8433381850620292,0.6188905382594431,-0.4599663587142283,0.01884601195745327,0.01484848631585443,-0.010537853773945366
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,9,120.0,1.2473417236022808,-24.914785556791408,7.026970306469991,0.8953311588535742,0.6508699927498601,-0.4867471654243441,0.015894627358638974,0.012626844082488339,-0.008917023705867933
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,10,123.0,3.9982645479595282,-22.924525184736623,5.5338587612334305,0.9386510145692878,0.6759212446932963,-0.5086595758166065,0.012928779191323554,0.0104252855479022,-0.007296090914538037
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,11,126.0,6.866015856985771,-20.86933864861829,3.982313280069505,0.9732093367262817,0.6941640146229958,-0.5257030853118573,0.009948501621791627,0.008243908777820943,-0.0056750740729449856
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,12,129.0,9.824179222052608,-18.769470625288527,2.3869411683943316,0.9989183257603492,0.7057189146650875,-0.5378773014419719,0.006953828982553163,0.00608281160547749,-0.004053991855046346
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,13,132.0,12.846075744216504,-16.64480262412114,0.76235074085265,1.01569080152485,0.7107074436448662,-0.5451819438566398,0.003944795771947904,0.003942091630485799,-0.0024328629355527993
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,14,135.0,15.904765917703156,-14.514850334289402,-0.8768490150432104,1.0234402067764987,0.7092519821659945,-0.5476168443282081,0.0009214366537480621,0.001821846217716454,-0.0008117059897130505
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,15,138.0,18.97305150382949,-12.398760986846725,-2.5160487752859844,1.0220806106479865,0.7014757876627223,-0.5451819467545883,-0.0021162135432411366,-0.00027782750382494533,0.0008094603069013634
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,16,141.0,22.023477415323683,-10.315310731691024,-4.140639215751941,1.0115267121073703,0.6875029894252211,-0.5378773071602256,-0.005168119825582614,-0.00235683264211669,0.002430617278611165
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,17,144.0,25.02833361100344,-8.282902029493293,-5.736011348579359,0.9916938434041579,0.6674585835981326,-0.5257030936951312,-0.008234247035610535,-0.00441507254323714,0.004051746249844508
validation_000,validation,10731,adaptive_rollout_adp,2,cand_0066,18,147.0,27.959657000772445,-6.3195610586705655,-7.287556858541185,0.9624979735020236,0.6414684281524287,-0.5086595866319776,-0.011314559851835377,-0.0064524507924782065,0.0056728285453521085
