scenario_id,split,scenario_seed,method,action,candidate_id,time,viewpoint_x,viewpoint_y,viewpoint_z,boresight_x,boresight_y,boresight_z,weighted_coverage,covered_target_count,total_target_count,visible_target_ids
test_021,test,20764,adaptive_rollout_adp,5,cand_0051,450.0,39.80640209072506,26.101506155121356,-47.16134365842713,-0.8660253479034363,-0.5000000941140544,5.171720138922152e-05,0.38958035774107186,14,41,mesh_00049;mesh_00053;mesh_00060;mesh_00064;mesh_00065
test_021,test,20764,adaptive_rollout_adp,6,cand_0062,540.0,7.4038132011875835,-0.22808597444695908,-68.702571188211,3.563287231415979e-14,-1.4550647976322809e-07,0.9999999999999896,0.44913308668227797,17,41,mesh_00068;mesh_00070;mesh_00079
test_021,test,20764,adaptive_rollout_adp,7,cand_0063,630.0,7.1672668915132745,11.571294664875204,-61.59617538183524,-2.129268237413715e-06,2.938294077067969e-07,0.9999999999976898,0.5062065372233834,18,41,mesh_00045;mesh_00070
test_021,test,20764,adaptive_rollout_adp,8,cand_0068,720.0,29.057205196336707,37.70409602829488,1.486281695834873,-0.582703080724057,-0.8126851295026215,1.548604120070793e-08,0.6228327167056948,22,41,mesh_00006;mesh_00008;mesh_00039;mesh_00041
test_021,test,20764,adaptive_rollout_adp,9,cand_0021,810.0,37.17635404906447,32.28739450664882,39.75388600862191,-0.8660254068563558,-0.4999999836472751,0.00010503336641304057,0.741938174588107,28,41,mesh_00019;mesh_00020;mesh_00024;mesh_00028;mesh_00029;mesh_00033
test_021,test,20764,adaptive_rollout_adp,10,cand_0015,900.0,47.59665442568226,17.14589082464908,41.47837586050816,-0.8660254067557756,-0.49999998376727023,0.00010529113535134061,0.8014909035293131,31,41,mesh_00015;mesh_00016;mesh_00020;mesh_00024;mesh_00025;mesh_00029;mesh_00033
test_021,test,20764,local_search,1,cand_0005,90.0,-14.216049847602841,-36.53834050628878,15.53200695987428,1.6917684184764294e-16,0.9238795005218702,-0.3826835095943641,0.039701819294137394,2,41,mesh_00001;mesh_00005
test_021,test,20764,local_search,2,cand_0066,180.0,47.10610591334751,5.947555696210703,-17.285705478945466,-0.9999966786955914,0.0025722812100429826,-0.00016114329809013825,0.13647708912938017,5,41,mesh_00072;mesh_00073;mesh_00087
test_021,test,20764,local_search,3,cand_0052,270.0,45.477154697086974,1.9083032715960648,-39.7547140181887,-0.8660254067675105,-0.49999998377404475,-0.00010516236568178397,0.27295417825876034,10,41,mesh_00048;mesh_00049;mesh_00055;mesh_00059;mesh_00060
test_021,test,20764,local_search,4,cand_0063,360.0,7.1672668915132745,11.571294664875204,-61.59617538183524,-2.1292682360814465e-06,2.938294079680257e-07,0.9999999999976901,0.34987853844693445,12,41,mesh_00045;mesh_00070
test_021,test,20764,local_search,5,cand_0062,450.0,7.4038132011875835,-0.22808597444695908,-68.702571188211,3.474469389445964e-14,-1.4550647964559726e-07,0.9999999999999893,0.38958035774107186,14,41,mesh_00068;mesh_00070;mesh_00079
test_021,test,20764,local_search,6,cand_0051,540.0,39.80640209072506,26.101506155121356,-47.16134365842713,-0.8660253479034367,-0.5000000941140537,5.171720138837557e-05,0.4863556275763146,17,41,mesh_00049;mesh_00053;mesh_00060;mesh_00064;mesh_00065
test_021,test,20764,local_search,7,cand_0068,630.0,29.057205196336707,37.70409602829488,1.486281695834873,-0.5827030807240569,-0.8126851295026218,1.5486041750532674e-08,0.6029818070586261,21,41,mesh_00006;mesh_00008;mesh_00039;mesh_00041
test_021,test,20764,local_search,8,cand_0021,720.0,37.17635404906447,32.28739450664882,39.75388600862191,-0.8660254068563558,-0.4999999836472751,0.00010503336641304057,0.7220872649410383,27,41,mesh_00019;mesh_00020;mesh_00024;mesh_00028;mesh_00029;mesh_00033
test_021,test,20764,local_search,9,cand_0015,810.0,47.59665442568226,17.14589082464908,41.47837586050816,-0.8660254067557756,-0.49999998376727023,0.00010529113535134061,0.7816399938822444,30,41,mesh_00015;mesh_00016;mesh_00020;mesh_00024;mesh_00025;mesh_00029;mesh_00033
test_021,test,20764,local_search,10,cand_0016,900.0,47.15438218014242,1.9132428633870262,39.75474212287527,-0.8660254067832573,-0.4999999838009228,0.00010490457840487339,0.8014909035293131,31,41,mesh_00015;mesh_00016;mesh_00024;mesh_00025;mesh_00034
test_022,test,20765,adaptive_rollout_adp,1,cand_0005,90.0,-14.216049847602841,-36.53834050628878,15.53200695987428,1.6917684184764294e-16,0.9238795005218702,-0.3826835095943641,0.039016285992977406,2,41,mesh_00001;mesh_00005
test_022,test,20765,adaptive_rollout_adp,2,cand_0066,180.0,47.10610591334751,5.947555696210703,-17.285705478945466,-0.9999966786955914,0.0025722812100429826,-0.00016114329809013825,0.09754071498244352,5,41,mesh_00072;mesh_00073;mesh_00087
test_022,test,20765,adaptive_rollout_adp,3,cand_0052,270.0,45.477154697086974,1.9083032715960648,-39.7547140181887,-0.8660254067675105,-0.49999998377404475,-0.00010516236568178397,0.24512296425087782,10,41,mesh_00048;mesh_00049;mesh_00055;mesh_00059;mesh_00060
test_022,test,20765,adaptive_rollout_adp,4,cand_0062,360.0,7.4038132011875835,-0.22808597444695908,-68.702571188211,3.54425483670812e-14,-1.4550647975463713e-07,0.9999999999999896,0.35368892752633474,13,41,mesh_00068;mesh_00070;mesh_00079
test_022,test,20765,adaptive_rollout_adp,5,cand_0051,450.0,39.80640209072506,26.101506155121356,-47.16134365842713,-0.8660253479034367,-0.5000000941140537,5.171720138837557e-05,0.46225489080179166,16,41,mesh_00049;mesh_00053;mesh_00060;mesh_00064;mesh_00065
test_022,test,20765,adaptive_rollout_adp,6,cand_0055,540.0,45.92088104692785,17.141790760942456,-41.4783779233683,-0.8660254067909682,-0.49999998378758964,-0.00010490447285452628,0.4817630337982804,17,41,mesh_00048;mesh_00049;mesh_00059;mesh_00060;mesh_00065;mesh_00071
test_022,test,20765,adaptive_rollout_adp,7,cand_0068,630.0,29.057205196336707,37.70409602829488,1.486281695834873,-0.5827030807240566,-0.8126851295026218,1.548604154434839e-08,0.5597956057842352,21,41,mesh_00006;mesh_00008;mesh_00039;mesh_00041
test_022,test,20765,adaptive_rollout_adp,8,cand_0021,720.0,37.17635404906447,32.28739450664882,39.75388600862191,-0.8660254068563558,-0.4999999836472751,0.00010503336641304057,0.7268859980491582,27,41,mesh_00019;mesh_00020;mesh_00024;mesh_00028;mesh_00029;mesh_00033
test_022,test,20765,adaptive_rollout_adp,9,cand_0016,810.0,47.15438218014242,1.9132428633870262,39.75474212287527,-0.866025406783257,-0.4999999838009234,0.00010490457840299249,0.804918570035113,31,41,mesh_00015;mesh_00016;mesh_00024;mesh_00025;mesh_00034
test_022,test,20765,local_search,1,cand_0005,90.0,-14.216049847602841,-36.53834050628878,15.53200695987428,1.6917684184764294e-16,0.9238795005218702,-0.3826835095943641,0.039016285992977406,2,41,mesh_00001;mesh_00005
test_022,test,20765,local_search,2,cand_0010,180.0,-16.572466607169815,9.225170298302405,50.11357745774859,-0.08714201450124336,0.0015214326251882372,-0.996194737263469,0.09754071498244352,5,41,mesh_00010;mesh_00011;mesh_00012
test_022,test,20765,local_search,3,cand_0013,270.0,-1.563469170619293,5.883515063149469,58.14943848153044,0.08715513431574698,2.9737933436381696e-07,-0.9961947513224088,0.13655700097542092,7,41,mesh_00010;mesh_00011;mesh_00012;mesh_00031;mesh_00036
test_022,test,20765,local_search,4,cand_0070,360.0,-21.267895854685477,24.293408803350808,29.54039926540888,0.6125437009629934,-0.4943538831034133,-0.6167693674876661,0.15606514397190963,8,41,mesh_00010;mesh_00088
test_022,test,20765,local_search,5,cand_0068,450.0,29.057205196336707,37.70409602829488,1.486281695834873,-0.5827030807240573,-0.8126851295026214,1.548604215761444e-08,0.23409771595786444,12,41,mesh_00006;mesh_00008;mesh_00039;mesh_00041
test_022,test,20765,local_search,6,cand_0021,540.0,37.17635404906447,32.28739450664882,39.75388600862191,-0.8660254068563558,-0.4999999836472751,0.00010503336641304057,0.4011881082227875,18,41,mesh_00019;mesh_00020;mesh_00024;mesh_00028;mesh_00029;mesh_00033
test_022,test,20765,local_search,7,cand_0066,630.0,47.10610591334751,5.947555696210703,-17.285705478945466,-0.9999966786955914,0.0025722812100430034,-0.00016114329809022285,0.4597125372122536,21,41,mesh_00072;mesh_00073;mesh_00087
test_022,test,20765,local_search,8,cand_0055,720.0,45.92088104692785,17.141790760942456,-41.4783779233683,-0.8660254067909676,-0.4999999837875902,-0.0001049044728541879,0.6768444637631673,27,41,mesh_00048;mesh_00049;mesh_00059;mesh_00060;mesh_00065;mesh_00071
test_022,test,20765,local_search,9,cand_0051,810.0,39.80640209072506,26.101506155121356,-47.16134365842713,-0.8660253479034363,-0.5000000941140544,5.171720138922152e-05,0.7158607497561448,29,41,mesh_00049;mesh_00053;mesh_00060;mesh_00064;mesh_00065
test_022,test,20765,local_search,10,cand_0062,900.0,7.4038132011875835,-0.22808597444695908,-68.702571188211,3.563287231415979e-14,-1.4550647976322809e-07,0.9999999999999896,0.8244267130316018,32,41,mesh_00068;mesh_00070;mesh_00079
test_023,test,20766,adaptive_rollout_adp,1,cand_0005,90.0,-14.216049847602841,-36.53834050628878,15.53200695987428,1.6917684184764294e-16,0.9238795005218702,-0.3826835095943641,0.04418634612711925,2,41,mesh_00001;mesh_00005
test_023,test,20766,adaptive_rollout_adp,2,cand_0066,180.0,47.10610591334751,5.947555696210703,-17.285705478945466,-0.9999966786955914,0.0025722812100429826,-0.00016114329809013825,0.11046586531779813,5,41,mesh_00072;mesh_00073;mesh_00087
test_023,test,20766,adaptive_rollout_adp,3,cand_0052,270.0,45.477154697086974,1.9083032715960648,-39.7547140181887,-0.8660254067675105,-0.49999998377404475,-0.00010516236568178397,0.22093173063559626,10,41,mesh_00048;mesh_00049;mesh_00055;mesh_00059;mesh_00060
test_023,test,20766,adaptive_rollout_adp,4,cand_0055,360.0,45.92088104692785,17.141790760942456,-41.4783779233683,-0.8660254067909678,-0.49999998378759,-0.00010490447285469551,0.2651180767627155,12,41,mesh_00048;mesh_00049;mesh_00059;mesh_00060;mesh_00065;mesh_00071
test_023,test,20766,adaptive_rollout_adp,5,cand_0062,450.0,7.4038132011875835,-0.22808597444695908,-68.702571188211,3.569631362985267e-14,-1.455064800460707e-07,0.9999999999999893,0.3627908974180795,15,41,mesh_00068;mesh_00070;mesh_00079
