method,action,candidate_id,required_coverage,weighted_coverage,whole_sample_coverage,cumulative_delta_v,cumulative_graph_cost,covered_target_mask
adaptive_rollout_adp,0,initial,0.0,0.0,0.0,0.0,0.0,0
adaptive_rollout_adp,1,cand_0005,0.1111111111111111,0.04142284395801456,0.022222222222222223,0.5136259428055551,4.262164001319716,3
adaptive_rollout_adp,2,cand_0000,0.2222222222222222,0.062134265937021836,0.03333333333333333,2.3034958428058165,18.99980871152708,11
adaptive_rollout_adp,3,cand_0070,0.2222222222222222,0.1337234496671767,0.05555555555555555,3.4566984267719274,28.511845171159358,1099511627851
adaptive_rollout_adp,4,cand_0068,0.2222222222222222,0.2467354773553461,0.1,5.4370879781101,44.80707666493219,1099517919327
adaptive_rollout_adp,5,cand_0021,0.4444444444444444,0.40117034900153004,0.16666666666666666,6.753999746807362,55.676056182807734,1099518294111
adaptive_rollout_adp,6,cand_0015,0.5555555555555556,0.46330461493855196,0.2,7.370722407371643,60.78935698833747,1099518312031
adaptive_rollout_adp,7,cand_0052,0.7777777777777778,0.5970280646057285,0.25555555555555554,10.127002999992552,83.48539695733083,1101447691871
adaptive_rollout_adp,8,cand_0062,0.8888888888888888,0.6893286703148908,0.28888888888888886,11.72868183574439,96.67740507257795,1402095402591
adaptive_rollout_adp,9,cand_0045,1.0,0.7721743582309198,0.3333333333333333,13.768885294460114,113.47191958718973,1408739180127
seeded_local_search,0,initial,0.0,0.0,0.0,0.0,0.0,0
seeded_local_search,1,cand_0000,0.1111111111111111,0.02071142197900728,0.011111111111111112,2.108515272035063,17.34768012275153,8
seeded_local_search,2,cand_0005,0.2222222222222222,0.062134265937021836,0.03333333333333333,3.90005166045938,32.093649619675105,11
seeded_local_search,3,cand_0066,0.2222222222222222,0.12426853187404367,0.06666666666666667,6.627902000909721,54.52228408650903,755914244107
seeded_local_search,4,cand_0045,0.3333333333333333,0.2071142197900728,0.1111111111111111,8.726676535250897,71.79846205974565,762558021643
seeded_local_search,5,cand_0062,0.4444444444444444,0.2994148254992349,0.14444444444444443,10.765836423063375,88.58775735156351,1063205732363
seeded_local_search,6,cand_0052,0.6666666666666666,0.4331382751664116,0.2,12.367598189597732,101.78018714065774,1065135112203
seeded_local_search,7,cand_0015,0.8888888888888888,0.6082845687916029,0.2777777777777778,15.124496293928049,124.47931528110634,1065135470091
seeded_local_search,8,cand_0021,1.0,0.6497074127496174,0.3,15.743617807385602,129.60460091435024,1065135504907
