method,final_coverage_ratio,final_inspectable_coverage_ratio,inspectable_area_ratio,coverage_success,feasible,total_delta_v,peak_requested_input,input_limit,clipped_step_count,clipped_step_ratio,min_clearance,max_speed,rms_tracking_error,delta_v_per_raw_coverage,coverage_per_delta_v,total_dynamic_cost,selected_viewpoint_count,mission_duration,planning_time,certificate_status,certificate_expansions,certificate_candidate_count,certificate_target_count,certificate_objective_cost
certified_graph_search,0.25,0.42857142857142855,0.5833333333333334,True,True,3.284446851751503,0.03815483410171732,0.06,0,0.0,2.433407091681988,0.9045658284551107,28.892876414772076,13.137787407006012,0.07611631768883154,26.768207298180222,2,180.0,0.044110874994657934,optimal,39,8,13,26.768207298180222
set_cover_cw_tour,0.2916666666666667,0.5,0.5833333333333334,True,True,3.3240496111176103,0.03815483410171732,0.06,0,0.0,5.550814345514512,0.9045658284551107,29.207779253194776,11.396741523831807,0.08774437833032302,27.092355198237755,2,180.0,0.009782874956727028,,,,,
safe_coverage_greedy,0.2916666666666667,0.5,0.5833333333333334,True,True,3.724568420294201,0.04653911603990563,0.06,0,0.0,5.843911544161686,1.1060384925690188,33.1977555227665,12.769948869580116,0.0783088491749678,30.366407319707786,2,180.0,0.0038165419828146696,,,,,
