profile_id,split,scenario_id,scenario_seed,method,adaptive_rollout_depth,success,native_goal_success,required_coverage,required_target_count,required_covered_count,missing_required_ids,coverage,covered_target_count,inspectable_sample_coverage,whole_sample_coverage,graph_cost,penalized_cost,total_delta_v,selected_count,mission_duration_s,online_time_s,base_policy_time_s,safe_action_evaluations,shield_rejections,min_clearance,peak_input,unsafe_selected_edges,required_visibility_available,required_visibility_upper_bound,available_node_count,base_success,base_graph_cost,cost_exceeds_successful_base,policy_source,route_node_ids,covered_target_mask,base_route_node_ids
required06,test,required06_test_037,202609060037,incumbent,3,False,False,0.3333333333333333,6,2,mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.35483563223755543,9,0.21951219512195122,0.1,40.48636682821154,873.8197001615449,4.903459065925027,5,450.0,0.00035445799585431814,0.00035429198760539293,123,103,1.9085174912558591,0.0384879681927742,0,True,1.0,23,False,40.48636682821154,False,deterministic_base,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,1099512807883,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_037,202609060037,rollout,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.0003469579969532788,0.00032824999652802944,0,0,nan,nan,0,True,1.0,23,False,40.48636682821154,False,no_candidate,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_037,202609060037,local_search,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.00033895805245265365,0.00032491603633388877,0,0,nan,nan,0,True,1.0,23,False,40.48636682821154,False,no_candidate,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_037,202609060037,adaptive_rollout_adp,3,True,True,1.0,6,6,,0.5819904334084423,26,0.6341463414634146,0.28888888888888886,107.9186751059325,107.9186751059325,13.099623303396713,8,720.0,0.7380318340146914,0.0003490840317681432,266294,149029,4.047226057779389,0.0585962290483111,0,True,1.0,23,False,40.48636682821154,False,adaptive_rollout_adp,cand_0000;cand_0005;cand_0066;cand_0052;cand_0045;cand_0068;cand_0014;cand_0024,764494050847,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_037,202609060037,coverage_only80,3,False,True,0.5,6,3,mesh_00001;mesh_00052;mesh_00055,0.8185475215668125,32,0.7804878048780488,0.35555555555555557,112.02758166115606,862.0275816611561,13.59518166707673,9,810.0,0.4270483330474235,0.0005102910217829049,146029,87075,1.7987818850562964,0.048074778454512024,0,True,1.0,23,False,123.2433675316304,False,adaptive_rollout_adp,cand_0016;cand_0021;cand_0066;cand_0055;cand_0051;cand_0068;cand_0070;cand_0000;cand_0013,1898031611868,cand_0005;cand_0010;cand_0013;cand_0000;cand_0070;cand_0068;cand_0021;cand_0016;cand_0055;cand_0051;cand_0066
required06,test,required06_test_038,202609060038,incumbent,3,False,False,0.3333333333333333,6,2,mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.22630013566036414,9,0.21951219512195122,0.1,40.48636682821154,873.8197001615449,4.903459065925027,5,450.0,0.000324999971780926,0.00032483297400176525,111,90,1.9085174912558591,0.0384879681927742,0,True,1.0,21,False,40.48636682821154,False,deterministic_base,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013,1099512807883,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_038,202609060038,rollout,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.00032691704109311104,0.0003082500188611448,0,0,nan,nan,0,True,1.0,21,False,40.48636682821154,False,no_candidate,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_038,202609060038,local_search,3,False,False,0.0,6,0,mesh_00001;mesh_00007;mesh_00015;mesh_00033;mesh_00052;mesh_00055,0.0,0,0.0,0.0,0.0,1000.0,0,0,0.0,0.0003445000038482249,0.00032533297780901194,0,0,nan,nan,0,True,1.0,21,False,40.48636682821154,False,no_candidate,,0,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_038,202609060038,adaptive_rollout_adp,3,True,True,1.0,6,6,,0.5853195116226891,25,0.6097560975609756,0.2777777777777778,96.73112628412977,96.73112628412977,11.7416937124608,7,630.0,0.5598034580470994,0.0003070830134674907,190157,99846,2.80753987333066,0.059201291408881127,0,True,1.0,21,False,40.48636682821154,False,adaptive_rollout_adp,cand_0005;cand_0000;cand_0070;cand_0068;cand_0015;cand_0052;cand_0045,1108091434591,cand_0005;cand_0000;cand_0070;cand_0010;cand_0013
required06,test,required06_test_038,202609060038,coverage_only80,3,False,True,0.6666666666666666,6,4,mesh_00007;mesh_00052,0.8116196472830531,34,0.8292682926829268,0.37777777777777777,101.39822542633242,768.0648920929991,12.28466871659884,11,990.0,0.3334783340105787,0.00045300001511350274,110072,57332,1.7781803100982474,0.04253615042051259,0,True,1.0,21,False,107.11371399745765,False,adaptive_rollout_adp,cand_0005;cand_0010;cand_0013;cand_0070;cand_0068;cand_0021;cand_0016;cand_0066;cand_0052;cand_0055;cand_0051,1898300047319,cand_0005;cand_0010;cand_0013;cand_0070;cand_0068;cand_0021;cand_0015;cand_0055;cand_0051;cand_0062
