depth,n,success_n,common_success_n,mean_graph_cost,mean_delta_v,mean_penalized_cost,median_time_s,min_time_s,max_time_s,median_common_success_time_s,mean_safety_evaluations,cost_difference_vs_depth3_pct,time_ratio_vs_depth3,screen_ratio_vs_depth3
1,12,9,9,135.7143291180459,16.483698802583163,351.7857468385344,0.02721310398192145,0.0037223330000415444,0.030535708996467292,0.028262499952688813,7131.833333333333,14.50711225553556,0.026960581082977785,0.02212457098775964
2,12,9,9,133.44970044918605,16.20756676134146,350.0872753368895,0.22070445847930387,0.03283129201736301,0.27956112602259964,0.235290625016205,65928.25,12.596362735662225,0.21865644037368787,0.20452444400323871
3,12,9,9,118.5204363683402,14.38497546119908,338.89032727625516,1.0093663744919468,0.2528495420119725,1.2779722499544732,1.1930394179653376,322349.0,0.0,1.0,1.0
4,12,9,9,115.27161054974506,13.988315621548187,336.4537079123088,4.675954999984242,1.2755597499781288,6.324362583982293,5.973531791009009,1527408.1666666667,-2.7411524275006593,4.632564664478576,4.738367938683435
5,12,9,9,115.27161054974506,13.988315621548187,336.4537079123088,17.660147916030837,4.532794792030472,24.634111042076256,22.94037191598909,5757081.0,-2.7411524275006593,17.49627128694462,17.85977620529302
6,12,9,9,115.27161054974506,13.988315621548187,336.4537079123088,53.01330527101527,12.95387412403943,77.37760683300439,71.66393199993763,17454611.083333332,-2.7411524275006593,52.52137044658232,54.148178165073666
