scenario_id,split,scenario_seed,method,action,candidate_id,sample,time,rx,ry,rz,vx,vy,vz,ax,ay,az
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,0,3.0,0.14428861408920857,-34.87132300555347,10.095955074169698,0.09628961698878516,0.08567572420654963,0.0639699880356148,0.031999300494366986,0.028667403619834064,0.02133617019082121
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,1,6.0,0.5685813252270182,-34.495749897519566,10.377212324542446,0.1866623019218085,0.16460410327148883,0.12353466554297518,0.029839672440980212,0.026629480104814092,0.019867976171854176
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,2,9.0,1.2550062686709222,-33.8933960245128,10.83055374763002,0.2710374037578589,0.2368696863141742,0.17869265971255965,0.027667291625499957,0.0246062598750413,0.018399553275719186
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,3,12.0,2.1854502925955233,-33.084121878907354,11.442757373780937,0.34933471593084287,0.3025578278726081,0.2294426992475861,0.02548218307354355,0.022597829413957923,0.016930918418506302
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,4,15.0,3.341560296204992,-32.08753068588421,12.200597571751914,0.4214744794730865,0.36175468436451674,0.27578361438598237,0.023284371957350603,0.020604275034629464,0.015462088518747318
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,5,18.0,4.704744577201186,-30.92296600313133,13.090845353342617,0.48737738612913184,0.41454721052427634,0.3177143369206024,0.02107388359549305,0.01862568287875041,0.013993080497220929
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,6,21.0,6.25617418857882,-29.60950933126914,14.10026867808843,0.5469645814599656,0.46102315581575726,0.3552339002176877,0.018850743452583474,0.016662138915651874,0.01252391127675774
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,7,24.0,7.976784304718896,-28.165977735073586,15.21563275800596,0.60015766793762,0.5012710608211577,0.3883414392335738,0.016614977138981767,0.014713728941311253,0.011054597782045403
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,8,27.0,9.847275596751416,-26.61092147556853,16.423700362386047,0.6468787080300848,0.5353802536058985,0.41703619052964147,0.01436661041050007,0.012780538577363849,0.009585156939433535
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,9,30.0,11.848115617158218,-24.962621653059355,17.711232122628978,0.6870502272764689,0.5634408460596506,0.4413174922855129,0.01210566916810609,0.010862653270116495,0.008115605676738847
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,10,33.0,13.959540193586598,-23.23908786117914,19.064986837116678,0.7205952173523527,0.5855437302135688,0.4611847843104915,0.009832179457624728,0.00896015828956329,0.006645960923050032
required09_test_000_bg95,supplemental,202609360000,adaptive_rollout_adp,1,cand_0016,11,36.0,16.161554831844196,-21.458055852018774,20.471721776116553,0.7474371391252693,0.6017805745338025,0.4766376080532464,0.007546167469438036,0.00707313872840323,0.005176239608532824
