method,action,sample,time_s,rx,ry,rz,vx,vy,vz,ux,uy,uz
adaptive_rollout_adp,8,19,690.0,46.115481452278296,14.229732020784043,-35.208599575730375,-0.013819839457921349,0.16646117441525127,-0.35882214605970253,-9.26368536640347e-05,-0.002508034920926652,0.005340108801329357
adaptive_rollout_adp,8,20,693.0,46.07624520706243,14.71546801588949,-36.25545351466228,-0.012348028131801478,0.15736115716512483,-0.3390798099140295,-5.276528537883222e-05,-0.003062932803008909,0.00653503574303092
adaptive_rollout_adp,8,21,696.0,46.04148785680579,15.171390625172084,-37.23769770174149,-0.010835796603853986,0.14658553813666972,-0.3157490195078054,-1.666319894964616e-05,-0.003618088547517199,0.007729887401751451
adaptive_rollout_adp,8,22,699.0,46.011296710923624,15.592471663318843,-38.14456756771836,-0.009305779845133285,0.13413342295298367,-0.2888303107516415,1.5668989730972024e-05,-0.004173476565018942,0.008924650012915161
adaptive_rollout_adp,8,23,702.0,45.9856911650348,15.973680607546955,-38.96530027501133,-0.007780618618522598,0.12000414768429855,-0.25832430217919283,4.423090819932941e-05,-0.0047290712634057855,0.010119309812972085
adaptive_rollout_adp,8,24,705.0,45.96462268495473,16.309985289011763,-39.68913496556023,-0.006282958566418575,0.10419727889134296,-0.22423169493647951,6.902222742488184e-05,-0.0052848470481884355,0.011313853039556634
adaptive_rollout_adp,8,25,708.0,45.94797479342548,16.59635258433424,-40.30531300864548,-0.004835449298302833,0.0867126136616267,-0.186553272769781,9.004266181402462e-05,-0.005840778322791506,0.012508265931646119
adaptive_rollout_adp,8,26,711.0,45.93556305958326,16.827749107226683,-40.80307824866882,-0.0034607434782184567,0.06755017963864675,-0.14528990201210307,0.00010729196921338238,-0.006396839488848374,0.013702534729719306
adaptive_rollout_adp,8,27,714.0,45.92713509116364,16.999141900195415,-41.17167725289126,-0.0021814959121694583,0.04671023504401377,-0.10044253156821781,0.00012076995091259864,-0.0069530049464960894,0.014896645675914907
adaptive_rollout_adp,8,28,717.0,45.92237052944464,17.105499126299247,-41.40035955912404,-0.0010203626354612309,0.02419326869249886,-0.05201219289827717,0.0001304764516466251,-0.0075092490946702655,0.01609058501419007
adaptive_rollout_adp,8,29,720.0,45.920881046927875,17.141790760942456,-41.47837792336831,-8.456776945386935e-18,4.85722573273506e-17,1.3877787807814457e-16,0.00013641135959751007,-0.00806554633140001,0.017284338990478848
adaptive_rollout_adp,9,0,723.0,45.89931024221389,17.169367470122843,-41.49670455204811,-0.01435975995175058,0.01840071892475742,-0.012217740724227976,-0.004983693474805534,0.006117303315489154,-0.004125679990621134
adaptive_rollout_adp,9,1,726.0,45.83639437765314,17.250434560725175,-41.55042239436868,-0.02756474518692327,0.035658947808950896,-0.023594119777002452,-0.0046389500700565935,0.005705289020633065,-0.0038452724774894727
adaptive_rollout_adp,9,2,729.0,45.73557205654679,17.38154237698241,-41.63700696697314,-0.03963211304725696,0.05175991563357453,-0.0341288732122863,-0.00429717175024129,0.00529094460018162,-0.003564820667189995
adaptive_rollout_adp,9,3,732.0,45.60023030177284,17.55919721565151,-41.75393302374737,-0.05057909303841838,0.06668902851528014,-0.043821756471803155,-0.00395836245261289,0.0048742901951069,-0.0032843277905004907
adaptive_rollout_adp,9,4,735.0,45.433704340361274,17.779861858272543,-41.898674613989776,-0.06042298611847808,0.08043187027365863,-0.05267254438927384,-0.003622526080221793,0.0044553459729917855,-0.0030037970786718276
adaptive_rollout_adp,9,5,738.0,45.23927739020606,18.03995610512134,-42.068705140593124,-0.06918116398488891,0.0929742029929893,-0.06068103119431777,-0.0032896665018706025,0.004034132127797625,-0.0027232317633907295
adaptive_rollout_adp,9,6,741.0,45.020180448918424,18.335857310839074,-42.26149741823769,-0.076871068359981,0.10430196757844613,-0.06784703051601935,-0.002959787552069529,0.0036106688796316137,-0.0024426350767425492
adaptive_rollout_adp,9,7,744.0,44.779592084825836,18.663900921722135,-42.47452373159452,-0.0835102102749875,0.11440128430675003,-0.07417037538615912,-0.00263289303099224,0.0031849764745138444,-0.0021620102511740354
adaptive_rollout_adp,9,8,747.0,44.520638230121115,19.020381014655626,-42.70525589353796,-0.08911616935261524,0.12325845337125621,-0.07965091824210961,-0.002308986704432068,0.0027570751841440883,-0.001881360519456094
adaptive_rollout_adp,9,9,750.0,44.24639197616599,19.401550837673756,-42.95116530336629,-0.09370659308817443,0.1308599554214661,-0.08428853092939612,-0.001988072303758631,0.002326985305668254,-0.001600689114646548
adaptive_rollout_adp,9,10,753.0,43.959873370953424,19.803623352130383,-43.20972300502959,-0.0972991961292818,0.13719245209695313,-0.08808310470392196,-0.0016701535258748545,0.0018947271614445833,-0.001319999270052892
adaptive_rollout_adp,9,11,756.0,43.66404921873292,20.22277177646295,-43.478399745363774,-0.09991175955415124,0.14224278655569175,-0.09103455023385851,-0.0013552340331743728,0.001460321098809524,-0.0010392942191950454
adaptive_rollout_adp,9,12,759.0,43.36183288180309,20.655130131532996,-43.75466603232978,-0.1015621301484864,0.14599798399677955,-0.09314279760119978,-0.0010433174534993503,0.00102378748984334,-0.0007585771957681004
adaptive_rollout_adp,9,13,762.0,43.0560840844756,21.096793787526423,-44.03599219325691,-0.10226821968098937,0.1484452521775418,-0.09440779630298167,-0.0007344073800986776,0.0005851467311354193,-0.0004778514336050725
adaptive_rollout_adp,9,14,765.0,42.74960871921466,21.543820012396612,-44.31984843308934,-0.1020480041774999,0.1495719819250087,-0.09482951525216575,-0.00042850737158658795,0.00014441924354931696,-0.00019712016663965114
adaptive_rollout_adp,9,15,768.0,42.44515865495614,21.992228521833542,-44.60370489263479,-0.1009195231937795,0.14936574764175486,-0.09440794277818763,-0.00012562095190165337,-0.00029837452801250027,8.361337113106399e-05
