method,runs,success_rate,mean_coverage,mean_delta_v,mean_min_distance,violation_count
fixed_waypoints,2,0.0,0.4531417710778334,0.2143151818036319,2.2987591767977666,0
random_safe,2,0.0,0.47122604064213913,0.2144620351796874,2.698488836610321,1
greedy_nbv,2,0.0,0.662031412373876,0.15915576446714852,2.3821305230267495,0
greedy_nbv_safety_filter,2,1.0,0.8046414247153401,0.11698469381603713,3.7323789001909624,0
