time,coverage_ratio,inspected_targets
0.0,0.0,0
80.0,0.08571428571428572,6
160.0,0.17142857142857143,12
240.0,0.24285714285714285,17
320.0,0.2714285714285714,19
400.0,0.3,21
480.0,0.35714285714285715,25
560.0,0.38571428571428573,27
640.0,0.4,28
720.0,0.4142857142857143,29
800.0,0.42857142857142855,30
880.0,0.44285714285714284,31
960.0,0.45714285714285713,32
1040.0,0.4714285714285714,33
