time,rx,ry,rz,vx,vy,vz,ax,ay,az
1.0,-0.003197887774249125,-34.99719758761246,9.995993600474822,-0.0063936629820923714,0.005607235967179551,-0.008012798195664398,-0.0064,0.0056,-0.008
2.0,-0.012526243834967284,-34.98900631462925,9.984296521480719,-0.012261105279639258,0.01077752274185537,-0.015381357297185481,-0.005885948651213211,0.005149179192715606,-0.007355771024726706
3.0,-0.027477938811203067,-34.975848388766266,9.965530313606836,-0.01764049807116419,0.015540357672432495,-0.0221510544471525,-0.005409090582560886,0.004729003232354971,-0.006756928633409738
4.0,-0.047582656923689584,-34.95811748924035,9.940272716376924,-0.022567298116208397,0.019923299384956343,-0.028364134624424758,-0.004966777803257902,0.0043374500972184135,-0.006200339895113269
5.0,-0.07240427763195717,-34.93618064235269,9.909060682678325,-0.027074439838195546,0.023952094133467945,-0.03405992611425856,-0.004556550025164376,0.003972630040595774,-0.00568308740314756
6.0,-0.10153844258356744,-34.91037997481343,9.872393195127975,-0.031192513849016338,0.02765079396208677,-0.03927504116410367,-0.0041761213908387915,0.0036327769832047154,-0.005202454457001975
7.0,-0.13461029478481135,-34.88103435273217,9.830733888680543,-0.034949932870371084,0.031041867206477853,-0.04404356284350833,-0.003823368138011839,0.003316240462883803,-0.004755911262974087
8.0,-0.17127237783367402,-34.848440913688115,9.784513492800372,-0.03837308593976576,0.034146301828572166,-0.04839721905655841,-0.003496317134542464,0.0030214781056675096,-0.004341102083463768
9.0,-0.21120268391254265,-34.81287649881575,9.73413210560308,-0.041486481726625925,0.03698370204676911,-0.05236554459007617,-0.0031931352225518005,0.0027470485846647196,-0.003955833269715625
10.0,-0.254102840034568,-34.77459899139431,9.679961311519826,-0.0443128817259435,0.03957237869422251,-0.05597603202008591,-0.0029121193147398925,0.0024916050353110688,-0.0035980621172763717
11.0,-0.2996964227780117,-34.73384856801081,9.622346153242956,-0.04687342404289678,0.04192943371006934,-0.05925427224251003,-0.0026516871898968667,0.00225388889757765,-0.003265886487608988
12.0,-0.34772739243125456,-34.690848867974175,9.561606967972203,-0.04918773843169832,0.04407083914248501,-0.0622240853414021,-0.0024103689383458485,0.0020327241576031043,-0.0029575351431935636
13.0,-0.39795863811105975,-34.64580808629165,9.4980410972917,-0.05127405320526349,0.0460115110181285,-0.0649076424589868,-0.002186799011519131,0.0018270119629805394,-0.0026713587470655947
14.0,-0.45017062601157976,-34.59891999517526,9.431924479366765,-0.05314929458890722,0.04776537840977032,-0.06732557928611066,-0.0019797088330900737,0.0016357255875830415,-0.0024058214811144172
15.0,-0.5041601434946316,-34.55036489872493,9.363513131551963,-0.054829179050938114,0.04934544801257865,-0.06949710174918128,-0.0017879199320781592,0.0014579057233585812,-0.00215949324060456
16.0,-0.5597391322458761,-34.50031052513456,9.293044530945744,-0.056328299105514165,0.05076386451958146,-0.07144008443006936,-0.0016103375611292454,0.0012926560779736515,-0.0019310423653070693
17.0,-0.6167336041994639,-34.448912860485954,9.220738899908882,-0.057660203048254345,0.052031967068139506,-0.07317116221856797,-0.0014459447657621666,0.0011391392585411312,-0.001719228870351047
18.0,-0.6749826343779896,-34.39631692793256,9.146800403081556,-0.058837469052679774,0.05316034201177544,-0.0747058156626579,-0.0012937968727800815,0.0009965729229376033,-0.0015228981424416687
19.0,-0.7343374252075975,-34.34265751582868,9.071418261984604,-0.05987177402541645,0.05415887225533281,-0.07605845044984423,-0.0011530163682832266,0.0008642261814040125,-0.0013409750694526133
20.0,-0.7946604372519978,-34.28805985812967,8.994767792872171,-0.06077395759006758,0.055036783376113944,-0.07724247142304401,-0.0010227881378006062,0.0007414162322363169,-0.0011724585736001452
21.0,-0.8558245816660296,-34.232640270172986,8.91701137311331,-0.06155408154360972,0.055802686739301936,-0.07827035150676713,-0.000902355042992996,0.0006275052164146219,-0.0010164165204542162
22.0,-0.9177124700011505,-34.1765067427484,8.838299341017288,-0.06222148510494447,0.05646461980254569,-0.07915369589350195,-0.0007910138111783989,0.0005218972769942343,-0.0008719809779492776
23.0,-0.9802157173035987,-34.11975949717722,8.75877083367948,-0.06278483625271808,0.05703008379202154,-0.07990330181616184,-0.000688111215603522,0.0004240358099950655,-0.0007383438013336746
24.0,-1.0432342947326172,-34.06249150394368,8.678554567110037,-0.0632521794285856,0.057506078920523986,-0.08052921421004793,-0.000593040525939675,0.00033340089438005285,-0.0006147525216506364
25.0,-1.1066759281925738,-34.00478896725688,8.59776956261455,-0.06363097986263261,0.05789913730713143,-0.08104077754692131,-0.0005052382099270582,0.0002495068895130275,-0.0005005065168841964
26.0,-1.1704555397204708,-33.94673177776698,8.51652582312298,-0.063928164759573,0.058215353747692274,-0.08144668410435155,-0.000424180868435332,0.0001719001892349888,-0.00039495344633793533
27.0,-1.2344947286005488,-33.888393935515225,8.434924962909069,-0.06415016156752015,0.05846041447573691,-0.08175501891541583,-0.00034938238745778425,0.0001001571223982001,-0.0002974859301502599
28.0,-1.2987212893916606,-33.829843945062,8.35306079390576,-0.06430293353549026,0.058639624044400505,-0.08197330162697572,-0.0002803912917179489,3.388199035322687e-05,-0.0002075384570939887
29.0,-1.3630687642519834,-33.77114518461092,8.271019871601773,-0.06439201275125934,0.05875793045150015,-0.08210852547906833,-0.00021678828564745175,-2.7294767502438963e-05,-0.00012458450496654998
30.0,-1.4274760271304983,-33.71235625082869,8.188882003299263,-0.06442253083768089,0.0588199486220111,-0.08216719360333792,-0.00015818396849766585,-8.371828843127364e-05,-4.8133858955952055e-05
31.0,-1.4918868975664907,-33.65353128094995,8.106720721321377,-0.06439924747300765,0.05882998235479585,-0.08215535282482689,-0.0001042167112811302,-0.00013571088909793486,2.226988562762343e-05
32.0,-1.5562497819980274,-33.594720253652945,8.024603723580496,-0.06432657688908262,0.05879204483352426,-0.0820786251387741,-5.4550684106195735e-05,-0.0001835735636237087,8.70516489290497e-05
33.0,-1.6205173406288023,-33.53596927009506,7.94259328375226,-0.06420861249040731,0.05870987779525237,-0.08194223702226827,-8.874023274967752e-06,-0.00022758738375958446,0.0001466070322375312
34.0,-1.6846461780407016,-33.47732081640692,7.860746633146075,-0.06404914972700375,0.05858696944407356,-0.08175104672961483,3.3102871735626524e-05,-0.0002680148075441431,0.00020130433477965302
35.0,-1.74859655586767,-33.41881400885914,7.779116316219079,-0.06385170734460502,0.058426571191591725,-0.08150956971004174,7.164892059286117e-05,-0.0003051009024003463,0.0002514864318523269
36.0,-1.812332125965622,-33.360484822836625,7.697750521546685,-0.06361954712698897,0.05823171330066712,-0.08122200227683903,0.00010701383226253795,-0.00033907448824002824,0.00029747252382807555
37.0,-1.875819682623916,-33.30236630668156,7.616693389938161,-0.06335569223716336,0.05800521950392792,-0.08089224364815255,0.00013942947093161483,-0.00037014920578406964,0.0003395597649097741
