method,sequence,candidate_id,viewpoint_x,viewpoint_y,viewpoint_z,new_target_count,cumulative_coverage,score,transfer_delta_v,transfer_min_clearance,transfer_tracking_error,transfer_dynamic_cost,coverage_gain_area,coverage_per_delta_v,transfer_feasible
set_cover_cw_tour,0,cand_0350,0.9747743928905603,-36.619934489864164,14.997571738431628,12,0.06666666666666667,65.31294939176499,0.17805285804839333,23.7969858834031,3.2075292135405586,1.4676195486792671,1157.164961735165,6498.996839582642,True
set_cover_cw_tour,1,cand_0016,-14.596743045700334,-25.780527945854118,24.59290011897844,5,0.09444444444444444,22.38170689989755,0.7108154812278846,24.126067924583225,12.76404476484345,5.851605463811244,482.1520673896521,678.3083375685173,True
set_cover_cw_tour,2,cand_0162,5.20494117842263,-29.399625542958884,35.7544967543118,9,0.14444444444444443,44.156036638147604,0.7700883377638131,24.133394773752663,13.818050053985708,6.337690698536493,867.8737213013737,1126.9794369585059,True
set_cover_cw_tour,3,cand_0143,6.215553840588,-8.435062455742827,57.036025946304136,13,0.21666666666666667,64.64447496145017,0.9972336698257729,31.3806766769413,17.944062907344875,8.216099672450943,1253.5953752130954,1257.0728537797079,True
set_cover_cw_tour,4,cand_0354,-23.118161543895557,2.1613546369581247,37.70869942696241,4,0.2388888888888889,12.908877038695856,1.226958779702311,17.778597835339372,22.027550323585594,10.099752956756962,385.72165391172166,314.37213726552966,True
set_cover_cw_tour,5,cand_0084,-25.008296478538423,46.57706456979709,41.47837568055363,18,0.3388888888888889,88.68509073850599,1.4894398608877153,17.789523169698093,26.78574908971576,12.268634140587412,1735.7474426027475,1165.3692694703573,True
set_cover_cw_tour,6,cand_0108,-5.0987407723577105,46.57470631682915,50.22344983842683,8,0.38333333333333336,38.92189113908555,0.7279012595872739,49.72136344824233,13.054741335048966,5.9893597382451835,771.4433078234433,1059.8186191638933,True
set_cover_cw_tour,7,cand_0098,13.512606841921807,48.02987937129974,48.498963894840486,10,0.4388888888888889,50.79200912143436,0.6281269990814097,54.44210607235666,11.255192188977787,5.16656958942305,964.3041347793041,1535.205676860777,True
set_cover_cw_tour,8,cand_0164,-10.099097095497754,44.586555931995576,15.713129919958288,6,0.4722222222222222,23.05131272278424,1.3533847642089185,34.90969283932154,24.342407768567114,11.148557219386673,578.5824808675825,427.5077540168527,True
set_cover_cw_tour,9,cand_0308,35.755323414717424,34.49044165648442,4.498457471144148,12,0.5388888888888889,54.40450044413477,1.6164875351650134,29.003267365439616,28.981080409359247,13.299032149509731,1157.164961735165,715.8514597621316,True
set_cover_cw_tour,10,cand_0242,30.85118206313429,46.61557093919158,-33.79687488906741,20,0.65,100.85695280650668,1.3489217573737247,30.5991809206632,24.292356375547662,11.117232934467202,1928.6082695586083,1429.740649534411,True
set_cover_cw_tour,11,cand_0232,19.321627589464185,46.614732189067794,-39.75387179714283,8,0.6944444444444444,41.14890628278717,0.4343392447903379,51.20838590153099,7.790905912479578,3.574059288198013,771.4433078234433,1776.1307942500812,True
set_cover_cw_tour,12,cand_0212,-6.504154582846726,48.06838415390501,-50.223446252734206,12,0.7611111111111111,59.5794014832618,0.9341819961958672,51.73939753054849,16.75268599310703,7.686393459738602,1157.164961735165,1238.6932808032254,True
set_cover_cw_tour,13,cand_0334,5.8899579990705435,17.100434236679217,-41.0055803164055,17,0.8555555555555555,85.66427967993309,1.1562225505888282,33.82077865530582,20.77637281078016,9.52085985888457,1639.317029124817,1417.8213599881476,True
set_cover_cw_tour,14,cand_0180,-4.652837703879095,4.777137565112047,-58.07734489936044,5,0.8833333333333333,21.80705467415339,0.7858927824153994,33.83283643624059,14.13575986981395,6.473900688643509,482.1520673896521,613.5087103202342,True
set_cover_cw_tour,15,cand_0023,-26.95237514560484,5.377535562558326,-40.026275288153236,3,0.9,9.384270274196618,0.9592431926118735,36.175978818712174,17.227118110112777,7.897097222879667,289.29124043379124,301.58279220736,True
set_cover_cw_tour,16,cand_0265,-27.734549719797347,-13.386988360385955,-33.06360141524905,1,0.9055555555555556,0.4706625335051329,0.6699653388006523,31.084903457695454,12.025158334239064,5.514355194166294,96.43041347793041,143.9334363932269,True
set_cover_cw_tour,17,cand_0332,-37.1911008573381,-8.99871238387806,-11.637565621516437,1,0.9111111111111111,-0.48279596362730226,0.7943981052524043,9.910694612040205,14.303795490866202,6.546673714617938,96.43041347793041,121.38802049042093,True
set_cover_cw_tour,18,cand_0263,4.979320015981793,-30.101111456751134,-36.64389412442733,3,0.9277777777777778,3.1162026318195357,1.7854273136334688,9.955587989956362,32.04377390156628,14.695015870449275,289.29124043379124,162.02913343196448,True
set_cover_cw_tour,19,cand_0323,46.10407354005372,-22.26108509478983,-4.318872254161317,5,0.9555555555555556,14.353883973462478,1.7683280254134326,19.24657652958173,31.752908513307847,14.557163659462574,482.1520673896521,272.65985748143396,True
set_cover_cw_tour,20,cand_0136,45.70576859626182,-11.52524220831843,31.813721663173087,5,0.9833333333333333,18.225158948684026,1.2567228754240107,13.589507422620022,22.628636636988542,10.356768971777992,482.1520673896521,383.658224751401,True
