split,scenario_id,scenario_seed,method,success,coverage,graph_cost,penalized_cost,selected_count,online_time_s,safe_action_evaluations,shield_rejections,policy_source,total_delta_v,min_clearance,peak_input
ood,ood_006,30739,search_only,False,0.76050558405597,163.59125713866774,433.33846511068276,11,0.24442360003013164,3350,1616,learned_adp,19.860461068137525,0.7790148013746747,0.058840434181677274
ood,ood_006,30739,incumbent,True,0.8180337365680257,109.91886200378427,109.91886200378427,11,0.0003288000007160008,11,0,reference_safeguard,13.320583884375553,0.06192179818181032,0.048526707969407994
ood,ood_006,30739,rollout,True,0.8055899254760336,89.28959355447297,89.28959355447297,11,0.011364300036802888,444,119,rollout_adp,10.810891237083684,0.06192179818181032,0.045039813134170464
ood,ood_006,30739,local_search,True,0.8180337365680257,109.91886200378427,109.91886200378427,11,0.0035485999542288482,275,52,reference_safeguard,13.320583884375553,0.06192179818181032,0.048526707969407994
ood,ood_006,30739,frozen_adp_safeguard,True,0.8180337365680257,109.91886200378427,109.91886200378427,11,0.3105731999967247,3335,1432,reference_safeguard,13.320583884375553,0.06192179818181032,0.048526707969407994
ood,ood_007,30740,adaptive_rollout_adp,True,0.8052839296915124,84.62492228726401,84.62492228726401,10,0.8504829999874346,151476,84745,adaptive_rollout_adp,10.250101202105732,0.06192179818181032,0.045039813134170464
ood,ood_007,30740,frozen_adp,False,0.6342139882819191,135.55439059845827,468.4473964574987,12,0.36321229999884963,5048,2003,learned_adp,16.442875837294128,0.2921722543963532,0.051431755536636786
ood,ood_007,30740,search_only,True,0.8609170926367946,166.73349828703036,166.73349828703036,11,0.24685049999970943,3788,1983,learned_adp,20.248079552326057,0.2921722543963532,0.05977833261849183
ood,ood_007,30740,incumbent,True,0.8052839296915124,99.5211622910481,99.5211622910481,10,0.0001876000314950943,10,0,reference_safeguard,12.063248698183678,0.06192179818181032,0.05607177021441597
ood,ood_007,30740,rollout,True,0.8052839296915124,89.53759524335936,89.53759524335936,10,0.007643999997526407,435,127,rollout_adp,10.84965614853817,0.06192179818181032,0.045039813134170464
ood,ood_007,30740,local_search,True,0.8052839296915124,99.5211622910481,99.5211622910481,10,0.001541100034955889,203,44,reference_safeguard,12.063248698183678,0.06192179818181032,0.05607177021441597
ood,ood_007,30740,frozen_adp_safeguard,True,0.8052839296915124,99.5211622910481,99.5211622910481,10,0.3834818000323139,5058,2003,reference_safeguard,12.063248698183678,0.06192179818181032,0.05607177021441597
ood,ood_008,30742,adaptive_rollout_adp,True,0.8053330071721609,77.06586088377544,77.06586088377544,7,1.0719921000418253,183770,100498,adaptive_rollout_adp,9.34697005557017,2.667354001566131,0.04730356039675085
ood,ood_008,30742,frozen_adp,True,0.8748569331821034,156.61393791347186,156.61393791347186,12,0.49811429996043444,6958,3457,learned_adp,19.00971530113957,0.23514062630541765,0.051431755536636786
ood,ood_008,30742,search_only,True,0.860952147980115,102.37843323201075,102.37843323201075,8,0.26934240001719445,3816,1956,learned_adp,12.424795443985913,2.604209870306918,0.05528737844391178
ood,ood_008,30742,incumbent,True,0.8331425775761379,97.92858966970361,97.92858966970361,9,0.00016140000661835074,9,0,reference_safeguard,11.877610650998724,0.8763668286441497,0.04682686602826832
ood,ood_008,30742,rollout,True,0.8053330071721609,85.23826337529188,85.23826337529188,8,0.0063037999789230525,310,117,rollout_adp,10.336679683833726,0.8763668286441497,0.04682686602826832
ood,ood_008,30742,local_search,True,0.8331425775761379,91.15950357715163,91.15950357715163,9,0.003982800000812858,447,92,reference_improved,11.049189260386422,0.8763668286441497,0.04682686602826832
ood,ood_008,30742,frozen_adp_safeguard,True,0.8331425775761379,97.92858966970361,97.92858966970361,9,0.5152479000389576,6967,3457,reference_safeguard,11.877610650998724,0.8763668286441497,0.04682686602826832
ood,ood_009,30743,adaptive_rollout_adp,True,0.8030564835001136,113.83103735296793,113.83103735296793,9,0.4347101000021212,81696,41472,adaptive_rollout_adp,13.81504307410419,4.832934123174302,0.05271328551644736
ood,ood_009,30743,frozen_adp,True,0.8183389010006801,135.15494550646105,135.15494550646105,12,0.20090749999508262,2881,1280,learned_adp,16.397617926743038,2.604209870306918,0.05528737844391178
ood,ood_009,30743,search_only,True,0.8183389010006801,161.68514928324734,161.68514928324734,10,0.2602598999510519,3515,1228,learned_adp,19.640546300177046,4.832934123174295,0.05397446747857916
ood,ood_009,30743,incumbent,True,0.8183389010006801,118.65341346739959,118.65341346739959,10,0.00018319999799132347,10,0,reference_safeguard,14.39819927009918,4.832934123174302,0.05981690391174639
ood,ood_009,30743,rollout,True,0.8030564835001136,117.98074853456193,117.98074853456193,10,0.007064200006425381,384,117,rollout_adp,14.315430221400181,4.832934123174302,0.05981690391174639
ood,ood_009,30743,local_search,True,0.8183389010006801,115.78241639954169,115.78241639954169,9,0.003926100034732372,395,66,reference_improved,14.054934366192654,4.832934123174302,0.05981690391174639
ood,ood_009,30743,frozen_adp_safeguard,True,0.8183389010006801,118.65341346739959,118.65341346739959,10,0.2120539000025019,2891,1280,reference_safeguard,14.39819927009918,4.832934123174302,0.05981690391174639
ood,ood_010,30746,adaptive_rollout_adp,True,0.8084073379180472,91.58765559603862,91.58765559603862,6,0.28527549997670576,44572,23933,adaptive_rollout_adp,11.122311889131513,0.1662076960375658,0.051066116543538875
ood,ood_010,30746,frozen_adp,False,0.7275897237350607,127.08149247920511,413.2866306116748,11,0.28453859995352104,4003,2176,learned_adp,15.41884659085898,0.23514062630541765,0.05407679126934144
ood,ood_010,30746,search_only,True,0.8297724768454354,209.40471297137492,209.40471297137492,12,0.21682690002489835,3248,1768,learned_adp,25.436766129950513,3.226345982215955,0.05977833261849183
ood,ood_010,30746,incumbent,True,0.8084073379180472,94.34587678443357,94.34587678443357,8,0.00018149998504668474,8,0,reference_safeguard,11.444740757336707,0.06192179818181032,0.05106700889857069
ood,ood_010,30746,rollout,True,0.8211801820568441,94.0941199770847,94.0941199770847,8,0.006021499983035028,322,92,rollout_adp,11.41458998130779,0.06192179818181032,0.05106700889857069
ood,ood_010,30746,local_search,True,0.8084073379180472,91.58765559603862,91.58765559603862,6,0.0015929000219330192,170,37,reference_improved,11.122311889131513,0.1662076960375658,0.051066116543538875
ood,ood_010,30746,frozen_adp_safeguard,True,0.8084073379180472,94.34587678443357,94.34587678443357,8,0.26290630002040416,4011,2176,reference_safeguard,11.444740757336707,0.06192179818181032,0.05106700889857069
