split,method,n,success_rate,mean_coverage,mean_successful_cost,median_successful_cost,mean_successful_delta_v,worst_min_clearance,peak_input,mean_penalized_cost,median_online_time_s,p95_online_time_s,mean_safe_action_evaluations,training_time_s
test,adaptive_rollout_adp,30,1,0.8100282059040248,92.78860224985183,92.46766720074534,11.239381504325918,0.06192179818181032,0.05528737844391178,92.78860224985183,1.3805425000318792,2.32766360003734,249828.13333333333,0.0
test,frozen_adp,30,0.6,0.7640792457817903,159.95894528028893,161.906906784197,19.415957249109756,0.06192179818181032,0.05977833261849183,273.4103996142653,0.38854514999547973,0.6282257999991998,4960.3,0.31934039999032393
test,search_only,30,0.8333333333333334,0.7894001433557141,145.99683056259516,140.5002382321368,17.721759856309966,0.06192179818181032,0.05981690391174639,198.58847547589843,0.36284600003273226,0.6859590000240132,4578.966666666666,0.0
test,incumbent,30,1,0.816669312716518,111.92377845628198,111.29502307838445,13.566212960330086,0.06192179818181032,0.05981690391174639,111.92377845628198,0.00021540001034736633,0.00031890004174783826,11.3,0.0
test,rollout,30,1,0.8126045599664463,103.28583720088099,100.888106681824,12.51823049507189,0.06192179818181032,0.05981690391174639,103.28583720088099,0.009297599986894056,0.014304000011179596,496.6333333333333,0.0
test,local_search,30,1,0.8139490921407317,106.80449918081989,104.12605208304025,12.94595893165574,0.06192179818181032,0.05981690391174639,106.80449918081989,0.005723699985537678,0.017889300012029707,625.5666666666667,0.0
test,frozen_adp_safeguard,30,1,0.816669312716518,111.92377845628198,111.29502307838445,13.566212960330086,0.06192179818181032,0.05981690391174639,111.92377845628198,0.38197600000421517,0.6146296999650076,4971.6,0.31934039999032393
ood,adaptive_rollout_adp,20,1,0.8061414690236698,92.06287720786827,89.34086528671207,11.162320755633026,0.06192179818181032,0.055561091013098786,92.06287720786827,0.5983578499872237,1.1586785999825224,124824.45,0.0
ood,frozen_adp,20,0.55,0.7453850646161058,139.7910199948768,138.58776213869783,16.963714638877317,0.06192179818181032,0.059804780908862966,279.1877614092021,0.2941827999893576,0.46543739998014644,4139.05,0.31934039999032393
ood,search_only,20,0.65,0.7557939114083454,154.36659428495838,161.68514928324734,18.742716790972874,0.2921722543963532,0.05981690391174639,262.7409393998103,0.2441557499987539,0.352170699974522,3470.3,0.0
ood,incumbent,20,1,0.8127766661140017,107.85297572962399,102.4823311625564,13.08265833885872,0.06192179818181032,0.05981690391174639,107.85297572962399,0.00017965000006370246,0.000248999975156039,9.4,0.0
ood,rollout,20,1,0.8097209682048669,98.7823173937241,94.31709950165597,11.97930455050903,0.06192179818181032,0.05981690391174639,98.7823173937241,0.006829299993114546,0.011364300036802888,372.55,0.0
ood,local_search,20,1,0.8121188506598747,100.45314071751892,95.59361465040881,12.182425870403673,0.06192179818181032,0.05981690391174639,100.45314071751892,0.003590449981857091,0.009249299997463822,393.7,0.0
ood,frozen_adp_safeguard,20,1,0.8127766661140017,107.36079446789452,102.4823311625564,13.022721452906083,0.06192179818181032,0.05981690391174639,107.36079446789452,0.3101302499999292,0.4648691000184044,4148.45,0.31934039999032393
