method,final_coverage_ratio,final_inspectable_coverage_ratio,inspectable_area_ratio,coverage_success,feasible,total_delta_v,peak_requested_input,input_limit,clipped_step_count,clipped_step_ratio,min_clearance,max_speed,rms_tracking_error,terminal_error_rms,rho_min,passive_margin_min,passive_safety_horizon,passive_safety_distance,passive_safe,input_feasible,clearance_feasible,trajectory_feasible,delta_v_per_raw_coverage,coverage_per_delta_v,total_dynamic_cost,selected_viewpoint_count,selected_sooa_count,selected_sooa_ids,mission_duration,planning_time,certificate_status,certificate_expansions,certificate_candidate_count,certificate_target_count,certificate_objective_cost,adp_candidate_pool_size,adp_goal_reached,adp_graph_cost,adp_training_episodes,adp_td_update_count,adp_mean_absolute_td_error,adp_safe_action_evaluations,adp_shield_rejections,adp_lookahead_depth,adp_branch_width,adp_critic_weights,adp_exact_cost,adp_optimality_gap,adp_exact_expansions,adp_policy_source,adp_learned_graph_cost,adp_rollout_graph_cost,adp_reference_graph_cost,adp_improved_reference_graph_cost,adp_incumbent_improvement
safe_graph_adp,0.9833333333333333,0.9833333333333333,1.0,True,True,20.098986939416555,0.04908235486061991,0.06,0,0.0,6.862639504263001,1.1256807081465725,21.42807965116652,2.8883063613001327e-14,6.862639504263001,6.862639504263001,300.0,2.0,True,True,True,True,20.439647734999888,0.048924522230764635,165.4950019875338,18,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",1620.0,239.29163395900105,,,,,,72,True,166.39500198753382,50,116,151.86362009458827,13556,4878,2,5,65.8873584;309.172477;249.258142;67.650601;-68.8935708;14.1571525;33.1498552;12.1595805;50;63.6543978,,,,rollout_adp,285.66386838199776,166.39500198753382,167.24251241099478,166.39500198753382,0.8475104234609603
set_cover_cw_tour,0.9833333333333333,0.9833333333333333,1.0,True,True,20.19340183154762,0.04908235486061991,0.06,0,0.0,6.862639504263001,1.1256807081465725,20.743632567272577,2.7175517364360422e-14,6.862639504263001,6.862639504263001,300.0,2.0,True,True,True,True,20.535662879539956,0.04869577407195936,166.2925124109948,19,19,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",1710.0,5.458683083998039,,,,,,,,,,,,,,,,,,,,,,,,,
