method,time,boresight_x,boresight_y,boresight_z,yaw_rad,pitch_rad,qx,qy,qz,qw
safe_graph_adp,2.0,0.0009467942635835679,0.9615901440022573,-0.2744877019801441,1.5698117140016723,0.2780569008031663,-0.09794331461907291,0.0980397983670187,0.6999391407860848,0.7006286493237492
safe_graph_adp,4.0,0.0037434662755395803,0.9617796394603484,-0.2737990350234385,1.566904117791594,0.2773407991384331,-0.09755042600301811,0.09793085348127838,0.6989548016851007,0.7016805879632124
safe_graph_adp,6.0,0.008299113421540822,0.962069900892412,-0.2726767876319526,1.5621702305326326,0.2761741568296108,-0.09691159443815611,0.09775118960122181,0.6973486561403668,0.7033901474816269
safe_graph_adp,8.0,0.014518016548128846,0.9624300855254299,-0.271141213523547,1.5557127215264588,0.27457846145409626,-0.09604088141834516,0.09750056044948362,0.6951507983437638,0.7057160600202123
safe_graph_adp,10.0,0.022300098735262293,0.9628228558130575,-0.2692115412094844,1.5476393022893375,0.2725742539595451,-0.09495271784716143,0.09717739816542048,0.6923918716436295,0.7086141621087377
safe_graph_adp,12.0,0.031541266371045644,0.9632061728206812,-0.26690638275591405,1.5380619024113709,0.27018152702408704,-0.09366192690457843,0.09677919552759608,0.6891031520226187,0.7120379741516911
safe_graph_adp,14.0,0.0421337062105268,0.9635350453353075,-0.264244143192715,1.5270959116237965,0.26742012483000666,-0.09218375251856101,0.09630288012361492,0.6853166437309349,0.7159392494317239
safe_graph_adp,16.0,0.0539662007024715,0.9637632131454673,-0.2612434078962859,1.514859450743998,0.26431012003550436,-0.09053387955832205,0.0957451725701169,0.6810651669101003,0.7202685034092182
safe_graph_adp,18.0,0.06692451062268472,0.9638447421368735,-0.2579232888535233,1.5014726428730112,0.2608721477461211,-0.08872843485768316,0.09510292133948609,0.6763824207069202,0.7249755307312437
safe_graph_adp,20.0,0.08089185963006938,0.9637355072570665,-0.2543037142818675,1.4870568657973053,0.25712768033089245,-0.08678396137569765,0.09437340704174432,0.6713030092501437,0.7300099135374643
safe_graph_adp,22.0,0.09574954040789538,0.9633945381163107,-0.25040564977519353,1.4717339762856636,0.2530992311028879,-0.08471736108669328,0.0935546093991295,0.665862421868233,0.7353215207883246
safe_graph_adp,24.0,0.11137764725484398,0.9627852018974535,-0.24625124304103566,1.4556255062304728,0.2488104792278738,-0.0825458054270837,0.09264543083396992,0.6600969629669311,0.7408609948119931
safe_graph_adp,26.0,0.12765592609047124,0.9618761999515713,-0.24186388837672543,1.438851838790003,0.24428631269014933,-0.08028661515696407,0.0916458716852997,0.6540436309282478,0.7465802183770162
safe_graph_adp,28.0,0.1444647206008865,0.9606423582467867,-0.2372682111951792,1.4215313793668845,0.23955279059620382,-0.07795711415628899,0.09055715360613474,0.6477399490770287,0.7524327535752724
safe_graph_adp,30.0,0.16168598338735746,0.9590651976706361,-0.2324899769733025,1.4037797410543988,0.2346370303308828,-0.07557446381200658,0.08938178961559745,0.6412237550118011,0.7583742427807042
safe_graph_adp,32.0,0.1792043140731761,0.9571332777092314,-0.22755593272676058,1.3857089668959324,0.2295670288561137,-0.07315548613720707,0.08812360145932609,0.634532957244342,0.7643627619688291
safe_graph_adp,34.0,0.19690798273510546,0.9548423156380855,-0.2224935922719803,1.3674268119055857,0.22437143051947592,-0.07071648451912402,0.0867876871884145,0.6277052699993311,0.7703591176748733
safe_graph_adp,36.0,0.21468989684120637,0.9521950923012183,-0.21733097890495576,1.3490361064344658,0.21907925592051647,-0.0682730710061641,0.08538034400034784,0.6207779381049064,0.7763270806792653
