time,total_targets,inspected_targets,coverage_ratio,new_targets_seen,visible_target_count
89.86887618300001,41,2,0.04142284395801456,2,2
179.86896940600002,41,2,0.04142284395801456,0,1
269.86868849800004,41,4,0.1130120276881694,2,2
359.869155517,41,8,0.2260240553763388,4,4
449.86887769000003,41,14,0.38045892702252276,6,6
539.869099866,41,17,0.4425931929595447,3,7
629.868865473,41,22,0.5763166426267213,5,5
719.869381692,41,22,0.5763166426267213,0,3
809.8687321990001,41,26,0.6591623305427504,4,4
