time,event,state,current_waypoint_id,current_waypoint_index,coverage_ratio,position_error,terminal_speed,credited,credited_actions,failed_actions,success,reason
90.03541148100001,observation_credited,executing,cand_0005,1,0.04142284395801456,0.0049567084267265115,0.0006827455427183794,True,0,0,False,
180.03553323100002,observation_rejected,executing,cand_0000,2,0.04142284395801456,4.276306522160366,0.24587167168774957,False,0,0,False,
270.03551266100004,observation_credited,executing,cand_0070,3,0.1130120276881694,0.016052733393736612,0.0019027822105009144,True,0,0,False,
360.03558497,observation_credited,executing,cand_0068,4,0.2260240553763388,0.08092308999932092,0.00704124889177065,True,0,0,False,
450.035537653,observation_credited,executing,cand_0021,5,0.38045892702252276,0.013031267002292369,0.0017756204312968458,True,0,0,False,
540.0355865700001,observation_credited,executing,cand_0015,6,0.4425931929595447,0.0060892500825002645,0.0008307345688652855,True,0,0,False,
630.0355117920001,observation_credited,executing,cand_0052,7,0.5763166426267213,0.027256813075664094,0.003703801970948446,True,0,0,False,
720.035689358,observation_rejected,executing,cand_0062,8,0.5763166426267213,1.382555537316397,0.09724268314680834,False,0,0,False,
810.03545312,observation_credited,executing,cand_0045,9,0.6591623305427504,0.024588605252798403,0.0029531980626470926,True,0,0,False,
810.03545312,mission_failed,failed,,9,0.6591623305427504,0.0,0.0,False,7,2,False,terminal_tracking_or_coverage_gate_failed
