method,final_coverage_ratio,final_inspectable_coverage_ratio,inspectable_area_ratio,coverage_success,feasible,total_delta_v,peak_requested_input,input_limit,clipped_step_count,clipped_step_ratio,min_clearance,max_speed,rms_tracking_error,terminal_error_rms,rho_min,passive_margin_min,passive_safety_horizon,passive_safety_distance,passive_safe,input_feasible,clearance_feasible,trajectory_feasible,delta_v_per_raw_coverage,coverage_per_delta_v,total_dynamic_cost,selected_viewpoint_count,selected_sooa_count,selected_sooa_ids,mission_duration,planning_time,certificate_status,certificate_expansions,certificate_candidate_count,certificate_target_count,certificate_objective_cost,adp_candidate_pool_size,adp_goal_reached,adp_graph_cost,adp_training_episodes,adp_td_update_count,adp_mean_absolute_td_error,adp_safe_action_evaluations,adp_shield_rejections,adp_lookahead_depth,adp_branch_width,adp_critic_weights,adp_exact_cost,adp_optimality_gap,adp_exact_expansions,adp_policy_source,adp_learned_graph_cost,adp_rollout_graph_cost,adp_reference_graph_cost,adp_improved_reference_graph_cost,adp_incumbent_improvement,adp_variant,adp_critic_enabled,adp_rollout_enabled,adp_safeguard_enabled,adp_local_improvement_enabled
set_cover_cw_tour,0.9833333333333333,0.9833333333333333,1.0,True,True,21.592132727998507,0.038829011624937425,0.06,0,0.0,9.910694612040198,0.8898301013900891,19.969520661320185,2.9537139271930663e-14,1.5091074156907407,1.5091074156907407,300.0,2.0,True,True,True,True,21.958101079320517,0.045541278655546864,177.78444204067262,21,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",1890.0,6.117380415991647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_graph_adp_critic_only,0.9833333333333333,0.9833333333333333,1.0,True,True,42.86134989501608,0.05984767875410508,0.06,0,0.0,1.3446789305806757,1.375961263558047,32.28349012428748,3.4751468092904853e-14,1.327381347316161,1.327381347316161,300.0,2.0,True,True,True,True,43.587813452558734,0.022942192342095956,352.95509920130934,26,26,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",2340.0,277.10589620799874,,,,,,96,True,354.2550992013093,80,167,136.66771198157534,13221,8834,2,6,63.3112398;317.349531;255.649022;66.9512605;-67.7045977;18.6830347;28.1810054;11.8588868;50;62.113139,,,,learned_adp,354.2550992013093,,,,,safe_graph_adp_critic_only,True,False,False,False
safe_graph_adp_critic_safeguard,0.9833333333333333,0.9833333333333333,1.0,True,True,21.592132727998507,0.038829011624937425,0.06,0,0.0,9.910694612040198,0.8898301013900891,19.969520661320185,2.9537139271930663e-14,1.5091074156907407,1.5091074156907407,300.0,2.0,True,True,True,True,21.958101079320517,0.045541278655546864,177.78444204067262,21,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",1890.0,278.98735445798957,,,,,,96,True,178.83444204067263,80,167,136.66771198157534,13242,8834,2,6,63.3112398;317.349531;255.649022;66.9512605;-67.7045977;18.6830347;28.1810054;11.8588868;50;62.113139,,,,reference_safeguard,354.2550992013093,,178.83444204067263,178.83444204067263,0.0,safe_graph_adp_critic_safeguard,True,False,True,False
safe_graph_adp_rollout,0.9833333333333333,0.9833333333333333,1.0,True,True,20.9243880421538,0.0371124629788799,0.06,0,0.0,9.910694612040224,0.8522649554691841,20.268341513932654,3.346397105496899e-14,6.7301882293129065,6.7301882293129065,300.0,2.0,True,True,True,True,21.27903868693607,0.04699460416009931,172.3145211507057,20,20,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1800.0,97.64039679200505,,,,,,96,True,173.3145211507057,0,0,0.0,2623,294,2,6,0;275;225;50;-75;-10;25;10;50;25,,,,rollout_adp,,173.3145211507057,178.83444204067263,178.83444204067263,5.519920889966926,safe_graph_adp_rollout,False,True,True,False
safe_graph_adp_local_search,0.9833333333333333,0.9833333333333333,1.0,True,True,19.465129023481527,0.038490484884177716,0.06,0,0.0,9.910694612040198,0.8817194778161189,20.737443879663356,3.2993699756152697e-14,1.5091074156907407,1.5091074156907407,300.0,2.0,True,True,True,True,19.795046464557487,0.05051768894760989,160.28106556478437,18,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",1620.0,52.81435116700595,,,,,,96,True,161.18106556478438,0,0,0.0,9273,435,2,6,0;275;225;50;-75;-10;25;10;50;25,,,,reference_improved,,,178.83444204067263,161.18106556478438,17.65337647588825,safe_graph_adp_local_search,False,False,True,True
safe_graph_adp_no_local,0.9833333333333333,0.9833333333333333,1.0,True,True,20.9243880421538,0.0371124629788799,0.06,0,0.0,9.910694612040224,0.8522649554691841,20.268341513932654,3.346397105496899e-14,6.7301882293129065,6.7301882293129065,300.0,2.0,True,True,True,True,21.27903868693607,0.04699460416009931,172.3145211507057,20,20,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1800.0,334.11161125000217,,,,,,96,True,173.3145211507057,80,167,136.66771198157534,15817,9112,2,6,63.3112398;317.349531;255.649022;66.9512605;-67.7045977;18.6830347;28.1810054;11.8588868;50;62.113139,,,,rollout_adp,354.2550992013093,173.3145211507057,178.83444204067263,178.83444204067263,5.519920889966926,safe_graph_adp_no_local,True,True,True,False
safe_graph_adp,0.9833333333333333,0.9833333333333333,1.0,True,True,19.465129023481527,0.038490484884177716,0.06,0,0.0,9.910694612040198,0.8817194778161189,20.737443879663356,3.2993699756152697e-14,1.5091074156907407,1.5091074156907407,300.0,2.0,True,True,True,True,19.795046464557487,0.05051768894760989,160.28106556478437,18,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",1620.0,339.9205380829808,,,,,,96,True,161.18106556478438,80,167,136.66771198157534,25069,9547,2,6,63.3112398;317.349531;255.649022;66.9512605;-67.7045977;18.6830347;28.1810054;11.8588868;50;62.113139,,,,reference_improved,354.2550992013093,173.3145211507057,178.83444204067263,161.18106556478438,17.65337647588825,safe_graph_adp,True,True,True,True
