time,total_targets,inspected_targets,coverage_ratio,new_targets_seen,visible_target_count
0.43109901100000003,142,0,0.0,0,2
0.928261717,142,2,0.014084507042253521,2,2
1.42661359,142,2,0.014084507042253521,0,2
1.926773518,142,2,0.014084507042253521,0,2
2.4289721710000003,142,2,0.014084507042253521,0,2
2.92733533,142,2,0.014084507042253521,0,2
3.4266808130000004,142,2,0.014084507042253521,0,2
3.9277848040000003,142,2,0.014084507042253521,0,2
4.428556132000001,142,2,0.014084507042253521,0,2
4.927470081,142,2,0.014084507042253521,0,2
5.427097409,142,2,0.014084507042253521,0,2
5.9281723070000005,142,2,0.014084507042253521,0,2
6.427397141,142,2,0.014084507042253521,0,2
6.928331095000001,142,2,0.014084507042253521,0,2
7.428122510000001,142,2,0.014084507042253521,0,2
7.928407907,142,2,0.014084507042253521,0,2
8.427895089,142,2,0.014084507042253521,0,2
8.928212785000001,142,2,0.014084507042253521,0,2
9.427440664,142,2,0.014084507042253521,0,2
9.938672855,142,2,0.014084507042253521,0,2
10.42814648,142,2,0.014084507042253521,0,2
10.927088349,142,2,0.014084507042253521,0,2
11.427414760000001,142,2,0.014084507042253521,0,2
11.928064742,142,2,0.014084507042253521,0,2
12.428295938000002,142,2,0.014084507042253521,0,2
12.927606543000001,142,2,0.014084507042253521,0,2
